Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;
19.12. ИННОВАЦИОННАЯ АКТИВНОСТЬ ОРГАНИЗАЦИИ;;;;;;;;;;;;
19.12.1. Удельный вес организаций, осуществлявших технологические, маркетинговые и организационные инновации, в общем числе обследованных организаций в 2006-2016 гг.1);;;;;;;;;;;;
(в процентах);;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
Чувашская Республика;8,8;17,6;13,4;14,1;15,7;15,2;20,9;18,8;23,7;24,0;24,5;
Пермский край;26,1;23,2;26,4;23,7;21,3;13,6;14,1;11,4;11,1;10,5;7,9;
Кировская область;5,8;8,0;9,2;7,5;7,4;8,5;8,7;9,1;9,4;9,8;9,6;
Нижегородская область;14,8;13,5;13,2;18,4;17,7;17,7;14,7;15,4;14,3;13,5;12,8;
Оренбургская область;13,3;14,9;17,0;15,2;14,4;15,2;12,7;12,5;12,4;10,8;7,1;
Пензенская область;8,2;8,6;9,3;8,2;9,2;11,0;11,4;15,6;17,1;14,7;20,1;
Самарская область;17,3;17,8;13,8;12,3;12,1;9,8;6,3;5,4;5,8;5,0;3,9;
Саратовская область;8,7;8,5;7,7;7,3;6,4;5,5;7,0;6,4;6,8;6,3;4,8;
Ульяновская область;7,9;8,2;8,7;7,5;7,6;8,0;6,3;7,1;5,1;5,2;3,6;
Уральский   федеральный округ;11,2;11,5;10,1;10,2;11,5;11,5;10,6;9,6;8,9;7,9;8,2;
Курганская область;11,0;13,6;11,1;10,9;12,4;13,1;9,2;8,3;5,5;4,2;4,6;
Свердловская область;14,6;14,3;13,3;12,9;15,0;13,6;13,3;11,5;11,0;8,5;9,4;
Тюменская область;6,7;6,6;6,5;7,5;9,8;9,8;8,2;8,1;8,4;8,0;9,2;
в том числе:;;;;;;;;;;;;
Ханты-Мансийский автономный     округ – Югра;8,6;7,7;5,2;7,0;7,5;8,2;6,1;6,6;5,4;5,0;6,3;
Ямало-Ненецкий автономный округ;6,5;6,4;8,1;6,4;10,9;10,1;7,6;5,1;7,8;7,4;9,0;
Тюменская область    без автономных округов;7,5;5,8;7,4;8,9;12,4;11,7;11,3;11,5;12,5;12,3;12,9;
Челябинская область;13,0;14,1;10,9;11,3;9,9;10,9;11,5;9,8;8,5;9,2;7,0;
Сибирский         федеральный округ;8,2;8,3;7,8;7,5;8,2;8,8;8,5;9,1;8,8;8,0;6,9;
Республика Алтай   ;5,5;1,5;2,4;5,5;6,5;22,1;18,5;19,4;10,7;10,9;6,2;
Республика Тыва;1,8;- ;-;12,5;13,0;6,8;4,5;3,3;1,8;4,9;2,4;
Республика Хакасия;12,2;9,6;7,5;5,3;5,4;5,6;6,8;9,1;8,1;3,0;2,1;
Алтайский край;9,1;8,9;7,2;7,6;8,2;11,0;10,5;11,3;11,4;12,0;12,4;
Красноярский край;8,0;12,3;14,0;12,2;10,0;10,2;9,5;11,2;9,3;8,8;7,1;
Иркутская область;9,2;11,2;9,0;7,5;8,7;6,5;6,9;8,7;6,4;7,9;4,8;
Кемеровская область;7,3;6,7;6,0;4,8;5,9;6,4;6,1;4,6;7,0;3,9;3,2;
Новосибирская область;5,3;4,9;5,4;5,6;5,5;8,2;8,6;9,9;9,7;9,4;7,6;
Омская область;7,8;6,3;5,8;6,0;7,3;7,1;8,2;8,3;8,2;6,4;7,6;
Томская область;18,4;16,9;16,0;15,3;18,4;15,7;11,4;14,6;13,7;12,8;12,2;
Дальневосточный    федеральный округ;6,4;6,0;7,0;7,5;8,6;11,2;10,8;9,5;8,9;7,2;6,4;
Республика Бурятия;7,5;7,2;7,5;6,0;11,0;11,8;10,2;6,7;8,5;4,8;6,4;
Республика Саха (Якутия);7,0;5,7;4,7;4,6;7,4;8,1;6,7;7,9;8,5;7,0;7,6;
