Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.10. ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;;;;;;;;;;;;
20.10.2. Физических лиц;;;;;;;;;;;;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;90184;140943;236351;388043;452166;502886;648963;604214;664702;1571643;1968350;1895859;2162849;2479405;2953123;4983991;6912395;5831431;5451785;6229432
Центральный федеральный округ;56120;82337;140440;233078;283440;320988;429108;410027;457378;1087578;1351408;1328461;1529196;1763782;2125448;3374054;4667241;3890680;3697229;4202577
Белгородская область;524;893;1284;2140;2333;2449;2832;2382;2526;5450;5410;4774;6287;11186;14352;30978;45560;44734;40969;34194
Брянская область;261;377;611;1052;1211;1354;1634;1426;1512;2631;3234;2825;3615;4389;4433;8005;10570;8639;8241;9753
Владимирская область;346;543;857;1485;1578;1706;2062;1671;1787;4229;5503;6668;8702;8121;9943;13271;23220;21345;21587;20429
Воронежская область;651;987;1703;2825;3003;3331;4036;3156;3708;8173;11015;9625;11356;13249;14745;29984;43521;38383;35024;41111
Ивановская область;126;216;405;674;692;780;900;786;933;3183;4327;4014;4488;5324;6191;13881;20536;19096;17358;15139
Калужская область;412;644;998;1562;1594;1753;2221;2447;2366;4160;5161;4311;4300;5140;5930;11604;16137;13311;13226;14081
Костромская область;190;286;469;795;748;776;891;718;718;1629;1855;1582;1730;1876;2331;4248;5827;4918;4185;4956
Курская область;357;444;666;1033;1038;1114;1260;1064;1197;2176;2726;2413;2821;3241;3709;7228;9679;8653;8885;9793
Липецкая область;219;370;644;1111;1180;1231;1508;1358;1938;3995;4674;4581;3644;4358;4578;9970;12704;10533;9704;10119
Московская область;3204;5010;8057;12946;15768;16601;22114;20490;22136;48749;49428;45851;45367;59410;82783;146354;219463;185212;179532;207673
Орловская область;166;252;412;692;669;692;831;692;810;1648;1898;1717;1972;2204;2496;4531;5875;5117;5182;6185
Рязанская область;386;602;908;1422;1453;1511;1811;1475;1552;3158;4059;3531;3929;4563;5005;9869;12956;11154;10002;11825
Смоленская область;361;575;932;1480;1579;1664;1899;1636;1558;2982;3970;3327;3618;4055;4566;7837;11970;10201;9650;11385
Тамбовская область;186;309;427;679;671;729;852;769;856;1601;1863;1511;1614;1889;2196;5037;6637;5805;5297;5594
Тверская область;345;442;763;1266;1417;1499;1819;1592;1592;3408;4735;3840;4818;5540;6348;12058;15999;12795;11226;12430
Тульская область;601;984;1538;2392;2544;2538;3108;2579;2501;5416;6975;5460;6475;7180;7218;13074;20318;16044;13543;16118
Ярославская область;524;879;1561;2594;2596;2576;3197;3656;4393;8416;11223;6801;7088;8212;12557;23626;33549;26996;22800;26697
г. Москва;47261;68524;118206;196930;243366;278683;376133;362130;405295;976574;1223353;1215630;1407372;1613845;1936067;3022499;4152720;3447744;3280819;3745096
Северо-Западный федеральный округ;8965;15232;25599;41115;48085;56064;74113;68738;72989;170973;229267;217834;234891;260482;294499;539548;760909;658459;606694;691206
Республика Карелия;172;293;517;925;1032;1114;1355;1175;1253;2605;3266;2767;2974;3282;3651;6556;7543;6476;6412;7236
Республика Коми;608;1052;1434;2127;2093;1912;1996;1639;1626;3142;3854;3260;3748;4451;5124;10334;12909;10803;9634;9844
Архангельская область;272;488;854;1350;1423;1561;1838;1562;1654;3251;4379;3839;4327;5080;5857;11443;14761;12723;10921;12380
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;6;-;36;71;54;35;51;52;43;42;115;136;287;305;311;252;251
Архангельская область   без автономного округа;272;488;854;1344;1423;1525;1767;1508;1619;3200;4327;3796;4285;4965;5721;11156;14456;12412;10669;12130
