СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
10. СИСТЕМА НАЦИОНАЛЬНЫХ СЧЕТОВ*);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Показатели национальных счетов;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;2663,2;39418,4;321038,4;1092239,8;2876517,3;3978741,9;4542126,0;4820340,4;8798562,8;13385659,2;17020277,1;20239740,0;24861573,0;31659046,4;40112701,7;50163724,2;62515174,5;77695808,7;73092342,8;88323078,6;109158800,3;122259822,4;132429930,3;143402383,9;154822385,9;163118910,4;175731889,5;
Выпуск в основных ценах;2612,1;39083,7;305481,0;1044341,5;2767620,5;3799125,9;4327531,3;4573977,1;8303202,6;12552211,7;15922787,8;18990498,6;23273089,5;29490622,6;37020602,0;46223866,5;57752132,5;71601657,9;68116448,0;82054614,9;100960390,7;113092172,5;123165485,1;133110237,9;146356047,9;154577983,2;166753822,7;
Налоги на продукты;141,1;3592,0;26028,6;71923,4;184071,2;269095,0;320255,8;338824,5;613854,6;980880,4;1268911,4;1415153,0;1775123,2;2352124,6;3248224,8;4090102,5;4977558,7;6323848,4;5202132,9;6462567,9;8413321,9;9411798,2;9510857,9;10550847,8;8738499,6;8817205,9;9264512,5;
Субсидии на продукты (-);90,0;3257,3;10471,2;24025,1;75174,4;89479,0;105661,1;92461,2;118494,4;147432,9;171422,1;165911,6;186639,7;183700,7;156125,1;150244,8;214516,7;229697,6;226238,1;194104,2;214912,3;244148,3;246412,7;258701,8;272161,6;276278,7;286445,7;
Использование;2663,2;39418,4;321038,4;1092239,8;2876517,3;3978741,9;4542126,0;4820340,4;8798562,8;13385659,2;17020277,1;20239740,0;24861573,0;31659046,4;40112701,7;50163724,2;62515174,5;77695808,7;73092342,8;88323078,6;109158800,3;122259822,4;132429930,3;143402383,9;154822385,9;163118910,4;175731889,5;
Промежуточное потребление;1264,7;20412,9;149528,9;481494,6;1447995,2;1970916,8;2199612,0;2190717,4;3975329,3;6080012,9;8076694,7;9409204,9;11653339,2;14631855,5;18502936,2;23246522,8;29267661,3;36418959,6;34285124,2;42014537,4;48876259,9;54095939,3;59296035,2;64202725,4;71435194,2;76970344,8;83694713,8;
Валовой внутренний продукт в рыночных ценах;1398,5;19005,5;171509,5;610745,2;1428522,1;2007825,1;2342514,0;2629623,0;4823233,5;7305646,3;8943582,4;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,4;68163883,1;73133895,1;79199658,5;83387191,7;86148565,6;92037175,7;
"Счет образования доходов  (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;1398,5;19005,5;171509,5;610745,2;1428522,1;2007825,1;2342514,0;2629623,0;4823233,5;7305646,3;8943582,4;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,4;68163883,1;73133895,1;79199658,5;83387191,7;86148565,6;92037175,7;
Валовой внутренний продукт в рыночных ценах;1398,5;19005,5;171509,5;610745,2;1428522,1;2007825,1;2342514,0;2629623,0;4823233,5;7305646,3;8943582,4;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,4;68163883,1;73133895,1;79199658,5;83387191,7;86148565,6;92037175,7;
Использование;1398,5;19005,5;171509,5;610745,2;1428522,1;2007825,1;2342514,0;2629623,0;4823233,5;7305646,3;8943582,4;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,5;68163883,1;73133895,1;79199658,5;83387191,7;86148565,6;92037175,7;
Оплата труда наемных работников;610,9;6979,4;76346,2;300997,6;647875,8;1022643,3;1202900,5;1263046,9;1933606,1;2937229,9;3848398,5;5065100,6;6231387,9;7845036,7;9474266,7;11985905,6;15526114,7;19559761,0;20411614,4;22995636,0;26386675,4;30201161,5;33792282,2;37387176,4;38697771,5;40941461,9;43904226,5;
в том числе оплата труда и смешанные доходы, не наблюдаемые прямыми статистическими методами -  всего ;;;9100,0;52000,0;110000,0;220000,0;270000,0;270000,0;525000,0;810000,0;993500,0;1249000,0;1496400,0;1995100,0;2551000,0;3450000,0;4450000,0;5200000,0;5790000,0;6632000,0;6466513,0;7706849,0;8839093,0;10536077,0;10152588,4;10637278,7;11367991,5;
Налоги на производство и импорт;152,0;3892,9;28672,8;85044,1;252401,3;378712,0;469958,6;517923,0;883308,1;1404111,5;1585833,1;2028443,0;2318223,0;3079045,6;4410767,1;5542275,3;6564455,7;8498539,1;6808387,9;8494621,8;9106986,3;10204505,8;10411927,8;11497947,1;9787221,1;9942260,5;10507927,4;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
налоги на продукты ;141,1;3592,0;26028,6;71923,4;184071,2;269095,0;320255,8;338824,5;613854,6;980880,4;1268911,4;1415153,0;1775123,2;2352124,6;3248224,8;4090102,5;4977558,7;6323848,4;5202132,9;6462567,9;8413321,9;9411798,2;9510857,9;10550847,9;8738499,6;8817205,9;9264512,5;
другие налоги на производство;10,9;300,9;2644,2;13120,7;68330,1;109617,0;149702,8;179098,5;269453,5;423231,1;316921,7;613290,0;543099,8;726921,0;1162542,3;1452172,8;1586897,0;2174690,7;1606255,0;2032053,9;693664,4;792707,6;901069,9;947099,2;1048721,5;1125054,6;1243414,9;
Субсидии на производство и импорт           (-);90,0;3257,3;10471,2;26640,9;82547,0;92897,2;113688,8;98035,3;125192,6;155627,5;183250,6;181199,2;205705,4;203595,1;162407,7;155563,8;230138,8;280117,0;333869,4;275454,3;359982,9;373817,0;349608,3;493706,9;516719,3;521404,4;553138,9;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
субсидии на продукты ;90,0;3257,3;10471,2;24025,1;75174,4;89479,0;105661,1;92461,2;118494,4;147432,9;171422,1;165911,6;186639,7;183700,7;156125,1;150244,8;214516,7;229697,6;226238,1;194104,2;214912,3;244148,3;246412,7;258701,8;272161,6;276278,7;286445,7;
другие субсидии на производство;;;;2615,8;7372,6;3418,2;8027,7;5574,1;6698,2;8194,6;11828,5;15287,6;19065,7;19894,4;6282,6;5319,0;15622,1;50419,4;107631,3;81350,1;145070,6;129668,7;103195,6;235005,1;244557,7;245125,7;266693,2;
Валовая прибыль экономики и валовые смешанные доходы;725,6;11390,5;76961,7;251344,4;610792,0;699367,0;783343,7;946688,4;2131511,9;3119932,4;3692601,4;3918190,6;4864328,3;6306703,7;7887139,4;9544584,3;11387081,6;13498666,1;11921085,8;15093737,7;25148861,7;28132032,8;29279293,4;30808241,9;35418918,4;35786247,6;38178160,7;
"Счет распределения первичных доходов (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;1398,5;19679,1;173772,0;616708,4;1445305,2;2026641,0;2364236,9;2658220,2;4910508,4;7433342,2;9126673,1;10991181,3;13520752,2;17329843,6;22017851,4;27560158,8;34204936,6;42354172,6;39475844,3;47073765,9;61142048,6;69158828,5;73919260,5;80441480,3;85150730,8;88465855,8;94488397,4;
Валовая прибыль экономики и валовые смешанные доходы;725,6;11390,5;76961,7;251344,4;610792,0;699367,0;783343,7;946688,4;2131511,9;3119932,4;3692601,4;3918190,6;4864328,3;6306703,7;7887139,4;9544584,3;11387081,6;13498666,1;11921085,8;15093737,8;25148861,7;28132032,8;29279293,4;30808241,9;35418918,4;35786247,6;38178160,7;
