СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
инвестиции  в жилища;;;;;;;;16,3;14,3;11,3;11,4;12,2;12,6;11,9;12,0;11,8;13,0;13,6;13,0;12,2;12,7;12,2;12,5;14,5;15,6;14,7;;;;;;;;;;;;;;;;;
инвестиции в здания  (кроме жилых) и сооружения;;;;;;;;45,1;41,4;43,1;41,8;41,0;43,5;41,9;40,4;40,9;41,7;42,6;43,7;43,3;43,3;44,2;41,5;40,8;43,7;44,7;;;;;;;;;;;;;;;;;
инвестиции в машины, оборудование, транспортные средства;;;;;;;;29,9;36,4;36,6;35,0;37,7;37,1;40,4;41,1;40,5;38,9;37,7;37,2;37,9;37,9;37,6;38,8;36,3;31,5;31,5;;;;;;;;;;;;;;;;;
прочие инвестиции в основной капитал;;;;;;;;8,7;7,9;9,0;11,8;9,1;6,8;5,8;6,5;6,8;6,4;6,1;6,1;6,6;6,1;6,0;7,2;8,4;9,2;9,1;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором основных фондов (ОКОФ) ОК 013-2014 (СНС 2008);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Всего, млн. руб.;;;;;;;;;;;;;;;;;;;;;;;;;;;15966803,9;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
жилые здания и помещения;;;;;;;;;;;;;;;;;;;;;;;;;;;2282830,9;;;;;;;;;;;;;;;;
здания (кроме жилых) и сооружения расходы на улучшение земель;;;;;;;;;;;;;;;;;;;;;;;;;;;7215094,8;;;;;;;;;;;;;;;;
машины, оборудование, транспортные средства;;;;;;;;;;;;;;;;;;;;;;;;;;;5083306,3;;;;;;;;;;;;;;;;
объекты интеллектуальной собствености;;;;;;;;;;;;;;;;;;;;;;;;;;;478670,7;;;;;;;;;;;;;;;;
прочие инвестиции в основной капитал;;;;;;;;;;;;;;;;;;;;;;;;;;;906901,2;;;;;;;;;;;;;;;;
Всего, в процентах к итогу;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
жилые здания и помещения;;;;;;;;;;;;;;;;;;;;;;;;;;;14,3;;;;;;;;;;;;;;;;
здания (кроме жилых) и сооружения расходы на улучшение земель;;;;;;;;;;;;;;;;;;;;;;;;;;;45,2;;;;;;;;;;;;;;;;
машины, оборудование, транспортные средства;;;;;;;;;;;;;;;;;;;;;;;;;;;31,8;;;;;;;;;;;;;;;;
объекты интеллектуальной собствености;;;;;;;;;;;;;;;;;;;;;;;;;;;3,0;;;;;;;;;;;;;;;;
прочие инвестиции в основной капитал;;;;;;;;;;;;;;;;;;;;;;;;;;;5,7;;;;;;;;;;;;;;;;
Структура инвестиций в основной капитал по формам собственности в фактически действовавших ценах ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Всего7),  млн.руб. (до 1998 г. - млрд. руб.) ;;;27124,5;108809,9;266973,6;375958,1;408797,3;407086,3;670438,8;1165234,2;1504712,1;1762407,3;2186365,2;2865013,9;3611109,0;4730022,9;6716222,4;8781616,4;7976012,8;9152096,0;11035652,0;12586090,4;13450238,2;13902645,3;13897187,7;14748846,9;15966803,9;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
российская;;;26460,8;106925,8;259685,3;364684,4;391338,1;378830,3;594701,0;1005409,2;1285387,5;1510680,7;1837840,6;2389760,3;2909014,6;3861335,3;5580727,7;7358956,2;6795581,2;7886584,6;9693269,7;10643554,4;11540509,1;11975593,3;11720541,8;12251659,6;13545831,1;;;;;;;;;;;;;;;;
из нее:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
государственная;;;13775,1;35233,9;83510,7;102028,0;100157,6;92622,2;153080,4;277893,8;332585,4;355816,0;459094,8;489269,1;677688,0;828289,4;1190776,1;1589600,5;1537270,0;1577058,3;1861811,4;2114610,0;2315524,4;2069665,5;2052205,2;2238045,9;2232252,1;;;;;;;;;;;;;;;;
муниципальная;;;3375,7;8806,6;16829,1;19696,0;22242,5;21307,5;31068,4;52937,2;74071,9;82232,1;94860,7;119231,3;137627,1;197474,6;298143,9;380143,1;288918,3;294491,6;346583,4;404669,3;462751,5;466309,9;414141,2;404165,5;374120,2;;;;;;;;;;;;;;;;
частная;;;3275,4;19897,9;35682,7;60305,4;92630,3;122629,8;163648,4;348292,3;551255,6;740869,0;900765,7;1331600,1;1623095,3;2249609,3;3336870,4;4490580,6;4405436,2;5213924,4;5986688,0;6385469,3;7252326,9;7832887,8;7903220,3;8240662,7;9536201,5;;;;;;;;;;;;;;;;
потребительской кооперации;;;;;;;;;;810,4;1023,3;1407,8;1830,0;2058,2;2449,7;2654,1;3425,2;3215,0;2661,9;2993,0;2440,2;2383,2;2922,8;3702,1;2303,7;1307,5;1363,5;;;;;;;;;;;;;;;;
общественных и религиозных организаций (объединений);;;39,6;128,6;363,7;371,0;434,7;387,9;634,4;1496,6;1531,9;1654,7;1963,0;2256,1;2536,5;3808,1;5361,2;7827,9;5134,9;3966,0;3580,0;4912,1;4944,6;11986,7;9164,3;5808,0;4674,0;;;;;;;;;;;;;;;;
смешанная российская;;;5995,0;42858,8;123299,1;182284,0;175873,0;141882,9;246269,4;323978,9;324919,4;328701,1;379326,4;445345,5;465618,0;579499,8;746151,0;887588,5;556159,5;683027,5;1311517,9;1519285,4;1271382,3;1350947,8;1138813,6;1153929,0;1200905,9;;;;;;;;;;;;;;;;
собственность государственных корпораций;;;;;;;;;;;;;;;;;;;;111123,8;180648,8;212225,1;230022,7;238979,4;200687,3;207676,2;196309,3;;;;;;;;;;;;;;;;
иностранная;;;;;;;4905,6;10235,3;23237,9;17743,6;35294,9;63599,5;89584,8;196226,4;298427,2;367255,3;476773,6;655709,1;545007,3;537756,9;665220,3;1142859,8;1038124,9;975810,0;1147083,5;1098575,5;1041238,0;;;;;;;;;;;;;;;;
совместная российская и иностранная;;;663,7;1884,1;7288,3;11273,7;12553,6;17989,1;52500,1;142081,4;184029,7;188127,1;258939,8;279027,2;403667,2;501432,3;658721,1;766951,2;635424,2;727754,5;677162,0;799676,2;871604,2;951242,0;1029562,4;1398611,8;1379734,8;;;;;;;;;;;;;;;;
Всего, в процентах к итогу;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
российская;;;97,5;98,3;97,3;97,0;95,7;93,1;88,7;86,3;85,5;85,7;84,1;83,4;80,6;81,6;83,1;83,8;85,2;86,2;87,8;84,5;85,8;86,1;84,3;83,1;84,8;;;;;;;;;;;;;;;;
из нее:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
государственная;;;50,8;32,4;31,3;27,1;24,5;22,8;22,8;23,9;22,1;20,2;21,0;17,1;18,8;17,5;17,7;18,1;19,3;17,2;16,9;16,8;17,2;14,9;14,8;15,2;14,0;;;;;;;;;;;;;;;;
муниципальная;;;12,4;8,1;6,3;5,3;5,4;5,2;4,7;4,5;4,9;4,7;4,3;4,1;3,8;4,2;4,4;4,3;3,6;3,2;3,1;3,2;3,4;3,4;3,0;2,7;2,3;;;;;;;;;;;;;;;;
частная;;;12,1;18,3;13,4;16,0;22,7;30,1;24,4;29,9;36,7;42,0;41,2;46,5;44,9;47,5;49,7;51,1;55,2;57;54,2;50,7;53,9;56,3;56,8;55,9;59,7;;;;;;;;;;;;;;;;
потребительской кооперации;;;;;;;;;;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,04;0,03;0,03;0,02;0,02;0,02;0,03;0,02;0,0;0,0;;;;;;;;;;;;;;;;
общественных и религиозных организаций (объединений);;;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,04;0,03;0,04;0,04;0,1;0,1;0,0;0,0;;;;;;;;;;;;;;;;
смешанная российская;;;22,1;39,4;46,2;48,5;43,0;34,9;36,7;27,8;21,6;18,6;17,4;15,5;12,9;12,2;11,1;10,1;7,0;7,5;11,9;12,1;9,5;9,7;8,2;7,8;7,5;;;;;;;;;;;;;;;;
собственность государственных корпораций;;;;;;;;;;;;;;;;;;;;1,2;1,6;1,7;1,7;1,7;1,4;1,4;1,2;;;;;;;;;;;;;;;;
иностранная;;;;;;;1,2;2,5;3,5;1,5;2,3;3,6;4,1;6,9;8,2;7,8;7,1;7,5;6,8;5,9;6,0;9,1;7,7;7,0;8,3;7,4;6,5;;;;;;;;;;;;;;;;
совместная российская и иностранная;;;2,5;1,7;2,7;3,0;3,1;4,4;7,8;12,2;12,2;10,7;11,8;9,7;11,2;10,6;9,8;8,7;8,0;7,9;6,2;6,4;6,5;6,9;7,4;9,5;8,7;;;;;;;;;;;;;;;;
Структура инвестиций в основной капитал по источникам финансирования в фактически действовавших ценах;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Всего1);8),  млн.руб. (до 1998 г. - млрд. руб.) ";;2670,2;27124,5;108809,9;266973,6;375958,1;408797,3;319573,8;582167,3;1053694,9;1335849,7;1455723,1;1824885,5;2246751,6;2893237,7;3808968,1;5217191,8;6705509,9;6040845,7;6624988,0;8445193,7;9595721,2;10065735,2;10379660,2;10496342,7;11282489,3;12256313,3;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
собственные средства;;;;;130940,8;196558,0;248587,3;170044,8;304927,8;500556,5;660291,2;654597,0;825105,8;1020814,5;1287191,4;1603571,5;2105046,0;2648612,2;2243277,2;2714965,2;3539480,0;4274644,8;4549936,9;4742314,4;5271134,5;5750670,3;6283922,9;;;;;;;;;;;;;;;;
привлеченные средства;;;;;136032,8;179400,0;160210,0;149529,0;277239,5;553138,4;675558,5;801126,1;999779,7;1225937,1;1606046,3;2205396,6;3112145,8;4056897,7;3797568,5;3910022,8;4905713,7;5321076,4;5515798,3;5637345,8;5225208,2;5531819,0;5972390,4;;;;;;;;;;;;;;;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
кредиты банков;;;;;;;;15247,6;24460,3;30623,1;58582,1;85183,6;116275,6;176542,8;235648,9;364159,3;543980,9;791882,0;621552,0;595835,2;725686,5;806284,9;1003609,7;1098743,0;849879,1;1174546,8;1369590,3;;;;;;;;;;;;;;;;
в том числе иностранных банков;;;;;;;;;;6150,8;11498,8;12940,8;21328,4;23777,5;27944,5;59156,4;86869,0;198137,7;195249,9;149986,9;149397,6;113741,8;107717,2;265169,3;183452,1;329354,2;665092,9;;;;;;;;;;;;;;;;
заемные средства других организаций;;;;;;;;13882,0;32709,8;75549,2;65102,8;95273,9;123593,2;163061,3;171055,7;227039,5;370389,7;413569,3;445351,9;404649,9;485784,7;588191,3;626118,7;660097,6;701046,8;674447,6;662556,8;;;;;;;;;;;;;;;;
инвестиции из-за рубежа;;;;;;;;;;;;;;;;;;;;;;;76387,8;88787,7;120380,5;86674,6;95874,3;;;;;;;;;;;;;;;;
бюджетные средства (средства консолидированного бюджета);;718,4;9303,7;28225,0;58180,2;75584,0;84642,5;61080,7;99201,3;232138,7;272937,0;289609,3;358005,1;401002,4;589244,2;769240,5;1118996,4;1404686,3;1324068,6;1294901,3;1622019,6;1712866,7;1916290,1;1761265,9;1922665,4;1856683,5;2005468,4;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
федерального бюджета;;442,5;5207,9;14565,0;26968,1;37057,0;41520,3;20916,8;37521,2;62870,3;77596,6;88751,8;122479,5;118094,3;202163,1;267407,8;431338,7;537913,5;691841,2;661947,6;855103,0;926575,2;1009845,1;933563,5;1185712,5;1048555,3;1046254,8;;;;;;;;;;;;;;;;
бюджетов субъектов Российской Федерации9);;275,9;4095,8;11523,0;27463,7;38527,0;43122,2;37094,5;55940,4;151187,8;167317,6;178274,9;219981,3;260204,8;356083,8;446411,1;611121,0;759518,4;552841,3;542769,3;665691,1;677014,7;753345,9;676612,8;600254,0;681303,4;825588,8;;;;;;;;;;;;;;;;
средства местных бюджетов;;;;;;;;;;;;;;;;;;;;;;109276,8;153099,1;151089,6;136698,9;126824,8;133624,8;;;;;;;;;;;;;;;;
средства внебюджетных фондов;;;;;30588,7;45929,0;18720,2;34282,8;50112,0;50326,5;34734,9;34338,9;16468,5;18956,8;15605,6;19821,7;27322,8;23692,5;16196,7;21000,7;18250,2;33341,2;27854,6;23968,7;27337,9;27773,5;24465,6;;;;;;;;;;;;;;;;
средства организаций и населения, привлеченные для долевого строительства;;;;;;;;;;;;60007,0;60450,2;84511,2;108638,7;144724,1;194219,9;232257,9;158032,0;144217,5;172697,1;259536,4;294940,3;367641,9;334278,5;340722,9;399715,8;;;;;;;;;;;;;;;;
в том числе средства населения;;;;;;;;;;;;;;;;50168,8;78472,7;124633,7;76855,2;80543,8;111570,8;197054,7;234686,3;281670,2;252269,5;264655,7;303462,4;;;;;;;;;;;;;;;;
прочие;;;;;;;;25035,9;70756,1;164500,9;244201,7;236713,4;324987,1;381862,8;485853,1;680411,5;857236,1;1190809,8;1232367,3;1449418,2;1881275,6;1920855,9;1570597,1;1636841,0;1269620,0;1370970,1;1414719,2;;;;;;;;;;;;;;;;
Всего, в процентах к итогу;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
собственные средства;;;;;49,0;52,3;60,8;53,2;52,4;47,5;49,4;45,0;45,2;45,4;44,5;42,1;40,4;39,5;37,1;41,0;41,9;44,5;45,2;45,7;50,2;51,0;51,3;;;;;;;;;;;;;;;;
привлеченные средства;;;;;51,0;47,7;39,2;46,8;47,6;52,5;50,6;55,0;54,8;54,6;55,5;57,9;59,6;60,5;62,9;59,0;58,1;55,5;54,8;54,3;49,8;49,0;48,7;;;;;;;;;;;;;;;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
кредиты банков;;;;;;;;4,8;4,2;2,9;4,4;5,9;6,4;7,9;8,1;9,5;10,4;11,8;10,3;9,0;8,6;8,4;10,0;10,6;8,1;10,4;11,2;;;;;;;;;;;;;;;;
в том числе иностранных банков;;;;;;;;;;0,6;0,9;0,9;1,2;1,1;1,0;1,6;1,7;3,0;3,2;2,3;1,8;1,2;1,1;2,6;1,7;2,9;5,4;;;;;;;;;;;;;;;;
заемные средства других организаций;;;;;;;;4,3;5,6;7,2;4,9;6,5;6,8;7,3;5,9;6,0;7,1;6,2;7,4;6,1;5,8;6,1;6,2;6,4;6,7;6,0;5,4;;;;;;;;;;;;;;;;
инвестиции из-за рубежа;;;;;;;;;;;;;;;;;;;;;;;0,8;0,9;1,1;0,8;0,8;;;;;;;;;;;;;;;;
бюджетные средства (средства консолидированного бюджета);;26,9;34,3;25,9;21,8;20,1;20,7;19,1;17,0;22,0;20,4;19,9;19,6;17,8;20,4;20,2;21,5;20,9;21,9;19,5;19,2;17,9;19,0;17,0;18,3;16,4;16,3;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
федерального бюджета;;16,6;19,2;13,4;10,1;9,9;10,2;6,5;6,4;6,0;5,8;6,1;6,7;5,3;7,0;7,0;8,3;8,0;11,5;10,0;10,1;9,7;10,0;9,0;11,3;9,3;8,5;;;;;;;;;;;;;;;;
бюджетов субъектов Российской Федерации9);;10,3;15,1;10,6;10,3;10,2;10,5;11,6;9,6;14,3;12,5;12,2;12,1;11,6;12,3;11,7;11,7;11,3;9,2;8,2;7,9;7,1;7,5;6,5;5,7;6,0;6,7;;;;;;;;;;;;;;;;
средства местных бюджетов;;;;;;;;;;;;;;;;;;;;;;1,1;1,5;1,5;1,3;1,1;1,1;;;;;;;;;;;;;;;;
средства внебюджетных фондов;;;;;11,5;12,2;4,6;10,7;8,6;4,8;2,6;2,4;0,9;0,8;0,5;0,5;0,5;0,4;0,3;0,3;0,2;0,4;0,3;0,2;0,3;0,2;0,2;;;;;;;;;;;;;;;;
средства организаций и населения, привлеченные для долевого строительства;;;;;;;;;;;;4,0;3,3;3,8;3,8;3,8;3,7;3,5;2,6;2,2;2,0;2,7;2,9;3,5;3,2;3,0;3,3;;;;;;;;;;;;;;;;
в том числе средства населения;;;;;;;;;;;;;;;;1,3;1,5;1,9;1,3;1,2;1,3;2,1;2,3;2,7;2,4;2,3;2,5;;;;;;;;;;;;;;;;
прочие;;;;;;;;7,8;12,2;15,6;18,3;16,3;17,8;17,0;16,8;17,9;16,4;17,7;20,4;21,9;22,3;20,0;15,6;15,7;12,1;12,2;11,5;;;;;;;;;;;;;;;;
Структура инвестиций в основной капитал по видам экономической деятельности в фактически действовавших ценах;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1.) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Всего10), млн.руб. (до 1998 г. - млрд. руб.) ;;;;108809,9;266973,6;375958,1;408797,3;407086,3;670438,8;1165234,2;1504712,1;1762407,3;2186365,2;2865013,9;3611109,0;4730022,9;6716222,4;8781616,4;7976012,8;9152096,0;11035652,0;12586090,4;13450238,2;13902645,3;13897187,7;14748846,9;;;;;;;;;;;;;;;;;
в том числе по видам экономической деятельности:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сельское хозяйство, охота и лесное хозяйство;;;;5624,4;9838,7;11776,4;11050,9;12986,5;21971,4;34824,5;60600,3;80631,0;90733,8;116605,9;142259,9;224234,4;338538,9;399665,8;325152,6;303842,6;446855,2;476446,1;516593,5;510344,6;505828,3;605841,0;;;;;;;;;;;;;;;;;
рыболовство, рыбоводство;;;;360,4;572,0;646,4;738,2;575,2;1391,2;2184,7;2404,4;2980,2;2264,4;3114,4;3102,4;4486,4;4811,0;5001,8;4605,0;5356,1;8529,8;12205,4;14308,8;15247,8;14411,4;20089,6;;;;;;;;;;;;;;;;;
добыча полезных ископаемых;;;;13941,3;37970,7;56652,7;63949,2;49072,6;97152,3;211380,5;285145,1;297904,5;348683,9;442039,3;501903,6;690736,2;929751,0;1173676,0;1111776,8;1264050,6;1534273,9;1858377,3;2004047,9;2144813,8;2385255,5;2710457,8;;;;;;;;;;;;;;;;;
из нее:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
добыча топливно-энергетических полезных ископаемых;;;;12752,1;34772,2;52713,3;59295,5;44920,5;88226,8;195029,0;262364,6;273839,6;315595,0;401639,2;447046,2;627241,6;838356,8;1067309,0;1023825,5;1157947,6;1390527,2;1650948,8;1788442,3;1957059,6;2173124,0;2496356,6;;;;;;;;;;;;;;;;;
добыча полезных ископаемых, кроме топливно-энергетических;;;;1189,2;3198,5;3939,5;4653,7;4152,0;8925,4;16351,5;22780,5;24064,9;33088,9;40400,0;54857,5;63494,5;91394,2;106367,0;87951,3;106103,0;143746,7;207428,5;215605,6;187754,2;212131,5;214101,2;;;;;;;;;;;;;;;;;
обрабатывающие производства;;;;15804,0;39482,8;53497,4;55594,1;60617,8;121090,0;190208,9;239858,7;280246,0;341890,3;470267,0;593847,7;736961,8;986416,1;1317794,4;1135689,3;1207534,8;1418678,0;1688683,2;1945318,3;2084612,6;2172579,1;2108514,5;;;;;;;;;;;;;;;;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
производство пищевых продуктов, включая напитки, и табака;;;;2946,5;7683,6;10812,3;13104,1;17231,1;39608,2;43899,2;50531,7;66679,2;82229,7;93329,9;112635,1;128007,5;169936,7;194036,9;157084,7;176541,4;186805,4;218490,0;233402,5;251400,1;247083,7;243495,9;;;;;;;;;;;;;;;;;
текстильное и швейное производство;;;;422,5;695,7;884,9;869,1;860,8;1833,2;1939,7;2365,6;3271,3;2943,5;4292,0;3821,3;4536,0;7317,7;9309,9;7921,4;11334,5;11040,8;12052,4;16592,8;20966,3;11827,3;10499,1;;;;;;;;;;;;;;;;;
производство кожи, изделий из кожи и производство обуви;;;;52,5;88,4;112,8;111,6;109,8;230,0;247,7;303,5;575,0;724,5;1038,6;1236,1;2214,3;2456,8;2328,1;1600,6;4196,0;6085,4;5135,5;5708,5;7779,3;6034,4;3628,9;;;;;;;;;;;;;;;;;
обработка древесины и производство изделий из дерева;;;;432,7;1283,8;1446,7;1429,4;1519,4;4308,2;6932,8;6487,9;9006,0;12709,6;16336,0;20544,2;20867,9;28334,9;48131,6;28489,9;27676,7;51925,2;56399,6;53823,9;49421,9;58130,6;66005,3;;;;;;;;;;;;;;;;;
"целлюлозно-бумажное производство; издательская и полиграфическая деятельность";;;;524,7;1699,3;1813,0;1823,9;2065,7;5109,2;9218,3;9742,2;13307,8;17034,7;22595,8;26859,9;31960,1;40277,0;50669,1;33940,5;43058,2;54085,8;58626,2;57050,6;49830,6;51920,7;66363,3;;;;;;;;;;;;;;;;;
производство кокса и нефтепродуктов ;;;;1510,8;3989,6;5076,8;4075,2;4756,4;6212,5;21624,4;27784,7;31549,3;32288,1;40960,1;51023,7;64599,5;87761,3;120993,5;171041,5;201280,0;237330,2;310948,0;441734,5;486520,2;478288,8;385776,1;;;;;;;;;;;;;;;;;
химическое производство;;;;1364,9;3745,2;5236,1;5823,9;5698,3;9531,8;15879,5;23169,3;24216,7;29838,3;36951,0;56788,9;78378,1;107163,2;135567,3;105927,1;112861,1;162634,8;212282,5;238826,3;261468,5;347681,4;396521,3;;;;;;;;;;;;;;;;;
