СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
пищевые продукты, включая напитки, и табачные изделия1);1,35;15,651;157;587;1610;2209;2646;3319;5929;7511;9775;12162;14573;17910;22420;27595;34252;45506;49705;56018;63684;69562;77648;84747;91610;93720;98308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
непродовольственные товары2);1,847;18,581;206;732;1841;2711;3120;3743;6375;8651;11406;13947;16984;21256;26643;33306;41859;52182;52540;59573;69949;79839;87403;95663;96407;99262;104721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Индекс физического объема оборота розничной торговли4), в процентах к предыдущему году;95,3;100,3;101,6;100,2;93,8;100,3;104,9;96,8;94,2;109,0;111,0;109,3;108,8;113,3;112,8;114,1;116,1;113,7;94,9;106,5;107,1;106,3;103,9;102,7;90,0;95,4;101,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индекс физического объема оборота розничной торговли пищевыми продуктами, включая напитки, и табачными изделиями1);4), в процентах к предыдущему году";98,4;91,4;109,9;97,0;91,1;98,2;106,1;99,0;93,6;107,5;107,6;110,1;107,7;111,4;110,5;111,0;112,6;111,7;98,1;105,1;103,4;103,6;102,6;100,0;91,0;95,0;101,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индекс физического объема оборота розничной торговли непродовольственными товарами2);4), в процентах к предыдущему году";93,0;106,8;94,6;102,6;95,9;102,0;103,9;94,9;94,7;110,5;113,9;108,6;109,7;115,1;115,1;116,8;119,1;115,3;91,8;108,0;110,8;108,6;104,9;105,1;89,1;95,8;101,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Индекс физического объема оборота розничной торговли торгующих организаций и индивидуальных предпринимателей, осуществляющих деятельность вне рынка4), в процентах к предыдущему году;90,8;89,8;98,1;98,5;92,8;99,9;106,4;96,4;93,0;110,1;112,4;110,4;109,9;115,4;114,4;116,4;122,6;116,5;94,7;107,6;108,2;107,5;105,2;103,6;90,8;96,3;101,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Индекс физического объема продажи товаров на розничных рынках и ярмарках4), в процентах к предыдущему году;145,9;172,7;114,0;105,5;96,4;101,1;100,9;97,9;97,5;106,1;106,9;106,0;105,4;106,7;107,2;105,6;89,7;98,3;96,2;99,6;99,3;97,6;92,3;93,2;81,3;85,9;92,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Оборот розничной торговли государственных и муниципальных предприятий  (до 1998 г. - млрд.руб.), млн.руб. (в фактически действовавших ценах);312;2849;11840;27182;61257;63774;60958;57370;84115;98689;116945;132176;140914;149465;155153;185505;194715;205443;215091;216749;216857;209876;201470;207732;227326;233922;218562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Оборот розничной торговли организаций частной формы собственности  (до 1998 г. - млрд. руб.), млн. руб. (в фактически действовавших ценах);61;881;33884;139052;360545;546981;656046;840108;1480808;1949848;2593700;3236956;3913794;4866716;6078282;7507414;9287687;11821643;12383483;13937683;15959744;17748767;19917497;22271766;23707664;24217915;25605540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Оборот розничной торговли организаций других форм собственности (до 1998 г. - млрд. руб.), млн. руб. (в фактически действовавших ценах);101;1355;8145;29460;90224;118174;135853;145321;232467;303737;359369;396232;474925;626317;808074;1019001;1386574;1917097;2000579;2357615;2927735;3435883;3566947;3876739;3591803;3853758;3989232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
