,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,
Телекомпания НТВ,,,,,,,,,,,,,,,,,,,,64.2,67.5,68.0,66.4,66.1,66.2,66.2,66.4,65.8,0.5,0.8,0.9,0.1,0.1, - ,,,,,,,,,,,,,,,
Петербург - 5 канал,,,,,,,,,,,,,,,,,,,,51.8,56.4,58.4,61.0,61.6,62.2,61.8,62.2,63.2,0.9,0.6,1.1,0.1,0.1, - ,,,,,,,,,,,,,,,
"""Матч ТВ""6)",,,,,,,,,,,,,,,,,,,,…,…,…,48.6,47.0,43.6,48.1,47.4,47.9,2.2,1.9,0.9,0.1,0.1, - ,,,,,,,,,,,,,,,
ТВ-Центр - Москва,,,,,,,,,,,,,,,,,,,,…,…,…,42.0,44.0,44.8,46.8,49.4,50.3,1.5,1.1,1.5,0.6,0.3, - ,,,,,,,,,,,,,,,
Имеют возможность принимать радиопрограмму,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Радио России,,,,,,,,,,,,,,,,,,,,93.4,94.4,92.2,91.9,87.6,85.5,82.1,81.9,83.3,84.2,86.7,88.1,85.7,85.9,86.2,,,,,,,,,,,,,,,
Маяк,,,,,,,,,,,,,,,,,,,,85.0,86.8,82.2,58.9,53.7,55.3,55.8,56.6,57.4,59.4,61.6,64.7,62.2,62.9,63.0,,,,,,,,,,,,,,,
Вести FM,,,,,,,,,,,,,,,,,,,,14.5,21.5,24.7,27.6,30.2,35.2,44.5,48.9,49.2,52.9,59.3,63.9,62.3,62.8,63.3,,,,,,,,,,,,,,,
___________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) По данным Минкультуры России.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) По данным филиала ""Российская книжная палата"" ФГУП  ИТАР-ТАСС, ТАСС, с 2021 года по данным Минцифры России.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) По данным Минцифры России с 2011 года данные публикуются с учетом итогов ВПН-2020. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) В 2019 г. обеспечен переход на цифровое эфирное вещание по итогам реализации мероприятий Федеральной целевой программы «Развитие телерадиовещания в Российской Федерации на 2009–2018 годы», утвержденной постановлением Правительства Российской Федерации № 985 от 3 декабря 2009 года.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5) С 2024 г. не разрабатывается.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6) До 2020 года  телеканал ""Россия 2"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
