,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,
6. ОБРАЗОВАНИЕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дошкольное образование1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Число организаций, осуществляющих образовательную деятельность 
по образовательным программам дошкольного образования, присмотр и уход за детьми2)","87,573","81,999","78,333","72,839","68,593","64,211","60,256","56,608","53,917","51,329","49,981","48,878","47,835","47,185","46,518","46,168","45,730","45,607","45,346","45,111","44,884","44,326","43,187","50,979","50,115","49,370","48,644","47,819",...,...,...,...,…,…,,,,,,
"Численность воспитанников в организациях, осуществляющих образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми , тыс.человек","8,433","7,236","6,763","6,118","5,584","5,101","4,706","4,379","4,225","4,263","4,246","4,267","4,321","4,423","4,530","4,713","4,906","5,105","5,228","5,388","5,661","5,983","6,347","6,814","7,152","7,343","7,478","7,582","7,607","7,443",7 341 4),"7,008","6,665","6,385",,,,,,
"Численность педагогических работников организаций, осуществляющих образовательную деятельность 
по образовательным программам дошкольного образования, присмотр и уход за детьми3)",993.9,905.2,865.2,797.5,753.3,713.3,671.6,641.8,618.3,608.7,605.3,609.0,610.8,619.4,628.5,638.8,609.5,587.4,600.8,605.1,612.5,626.6,652.2,630.3,642.8,656.2,662.7,669.8,676.7,683.0,"681,5 4)",665.9,652.2,637.4,,,,,,
____________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) До 2014 г. информация приведена по дошкольным образовательным организациям.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) С 2019 г. временной ряд закрыт. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) С 2007 г. - без заведующих (отнесенных к административному персоналу) и  внешних совместителей.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Информация приведена с учетом индивидульных предпринимателей.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Интернатные учреждения для детей1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Число домов ребенка2),262,257,253,252,252,252,251,249,248,254,246,249,251,255,254,249,249,244,243,227,218,207,194,176,166,161,154,145,139,136,134,116,86,30,,,,,,
Число детских домов3),569,577,606,676,820,966,"1,094","1,122","1,190","1,244","1,265","1,288","1,315","1,314","1,325","1,309","1,241","1,147","1,095","1,048","1,012",976,911,819,720,642,613,621,601,596,580,569,617,…,,,,,,
Число детских домов-школ3),,,,,,,,69,86,85,82,93,96,92,79,75,72,63,61,56,42,42,36,33,25,19,15,15,12,10,9,7,5,…,,,,,,
Число домов-интернатов для детей4),159,158,158,158,159,157,158,154,155,156,155,152,152,152,153,157,151,146,148,143,134,132,134,133,144,141,112,109,121,111,107,104, - 6), - 6),,,,,,
Число школ-интернатов общего типа5),682,…,645,…,637,…,628,…,646,…,680,…,692,…,702,…,701,…,618,631,561,553,545,522,497,…,…,…,…,…,…,…,…,…,,,,,,
"Число школ-интернатов для детей-сирот 
и детей, оставшихся без попечения родителей3)",150,140,143,141,151,153,158,157,155,157,164,156,150,152,160,154,144,127,106,90,83,72,62,57,46,42,45,42,42,37,37,38,26,…,,,,,,
"Число школ-интернатов для детей 
с ограниченными возможностями здоровья5)","1,493","1,492","1,481","1,475","1,473","1,471","1,450","1,439","1,442","1,420","1,421","1,426","1,410","1,393","1,373","1,342","1,346","1,327","1,272","1,267","1,217","1,196","1,155","1,151","1,118",…,…,…,…,…,…,…,…,…,,,,,,
____________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) По данным Минпросвещения России.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) По данным Минздрава России.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) С 2024 года данные не разрабатываются.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) По данным Минтруда России.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
