в процентах к предыдущему году",,84,86.3,78.4,95.4,92.4,101.0,95.2,108.9,108.7,102.9,103.1,108.9,108.0,105.1,106.3,106.8,100.6,89.3,107.3,105.0,103.4,100.4,102.5,100.2,101.8,103.7,103.5,103.4,97.9,106.3,100.7,104.3,105.6,,,,,,,,,
"Индексы производства по видам экономической деятельности разделов2) 
(в процентах к предыдущему году)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пиво, кроме отходов пивоварения",,,,,,,,,,,,,,,,,,,,,,,,,,,54,55,50,51,57,57,59,62,,,,,,,,,
"Воды минеральные природные питьевые и воды питьевые, расфасованные в емкости, не содержащие добавки сахара 
или других подслащивающих 
или вкусоароматических веществ 7)",,,,,,,,,,,,,,,,,,,,,,,,,,,48,50,50,49,52,53,58,56,,,,,,,,,
Напитки безалкогольные прочие ,,,,,,,,,,,,,,,,,,,,,,,,,,,33,34,36,49,58,51,51,55,,,,,,,,,
Ткани хлопчатобумажные ,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,53,42,53,39,52,54,,,,,,,,,
Ткани шерстяные ,,,,,,,,,,,,,,,,,,,,,,,,,,,22,17,19,17,15,15,25,26,,,,,,,,,
Ткани льняные ,,,,,,,,,,,,,,,,,,,,,,,,,,,15,33,26,24,26,26,28,24,,,,,,,,,
Изделия чулочно-носочные трикотажные или вязаные,,,,,,,,,,,,,,,,,,,,,,,,,,,48,52,59,54,56,43,48,34,,,,,,,,,
Изделия трикотажные или вязаные,,,,,,,,,,,,,,,,,,,,,,,,,,,63,67,69,70,50,46,41,45,,,,,,,,,
Обувь,,,,,,,,,,,,,,,,,,,,,,,,,,,57,58,50,42,45,43,53,44,,,,,,,,,
"Лесоматериалы, продольно распиленные или расколотые, разделенные на слои или лущеные, толщиной более 6 мм; шпалы железнодорожные или трамвайные деревянные, непропитанные",,,,,,,,,,,,,,,,,,,,,,,,,,,57,57,56,56,55,48,45,46,,,,,,,,,
Фанера ,,,,,,,,,,,,,,,,,,,,,,,,,,,85,87,86,84,89,68,68,70,,,,,,,,,
"Плиты древесностружечные и аналогичные плиты из древесины 
или других одревесневших материалов",,,,,,,,,,,,,,,,,,,,,,,,,,,80,84,80,82,89,81,86,90,,,,,,,,,
Бумага и картон,,,,,,,,,,,,,,,,,,,,,,,,,,,91,91,89,89,91,88,87,84,,,,,,,,,
Кокс и полукокс из каменного угля,,,,,,,,,,,,,,,,,,,,,,,,,,,87,82,81,81,82,79,80,76,,,,,,,,,
"Нефть, поступившая на переработку (первичная переработка нефти)",,,,,,,,,,,,,,,,,,,,,,,,,,,84,86,86,83,84,81,81,78,,,,,,,,,
"Олеум, кислота серная",,,,,,,,,,,,,,,,,,,,,,,,,,,80,81,82,81,88,86,87,86,,,,,,,,,
Аммиак,,,,,,,,,,,,,,,,,,,,,,,,,,,90,93,92,95,95,81,82,86,,,,,,,,,
"Удобрения минеральные 
или химические 
(в пересчете на 100% питательных веществ)",,,,,,,,,,,,,,,,,,,,,,,,,,,90,86,87,89,91,69,75,84,,,,,,,,,
Пластмассы в первичных формах,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,85,84,88,82,81,80,,,,,,,,,
"Материалы лакокрасочные 
и аналогичные для нанесения покрытий, полиграфические краски и мастики",,,,,,,,,,,,,,,,,,,,,,,,,,,49,50,47,50,51,48,55,52,,,,,,,,,
Волокна химические,,,,,,,,,,,,,,,,,,,,,,,,,,,66,63,65,63,69,61,54,59,,,,,,,,,
"Шины, покрышки и камеры резиновые новые",,,,,,,,,,,,,,,,,,,,,,,,,,,68,82,74,68,78,66,60,64,,,,,,,,,
"Трубы, трубки и шланги и их фитинги пластмассовые",,,,,,,,,,,,,,,,,,,,,,,,,,,48,53,54,56,62,65,63,60,,,,,,,,,
Плитки керамические глазурованные для внутренней облицовки стен,,,,,,,,,,,,,,,,,,,,,,,,,,,92,87,85,80,86,85,70,75,,,,,,,,,
Плитки керамические для полов,,,,,,,,,,,,,,,,,,,,,,,,,,,88,87,88,82,86,89,84,83,,,,,,,,,
Кирпич керамический неогнеупорный строительный,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62,71,74,74,78,76,78,,,,,,,,,
"Портландцемент, цемент глиноземистый, цемент шлаковый 
и аналогичные цементы гидравлические цементы",,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,54,55,59,65,71,74,,,,,,,,,
"Блоки и прочие изделия сборные строительные для зданий и сооружений из  цемента, бетона или искусственного камня ",,,,,,,,,,,,,,,,,,,,,,,,,,,41,42,46,47,56,56,58,58,,,,,,,,,
Листы асбестоцементные (шифер),,,,,,,,,,,,,,,,,,,,,,,,,,,34,33,33,,,,,,,,,,,,,,
Листы хризотилцементные волнистые (шифер)8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,28,24,18,18,,,,,,,,,
Листы хризотилцементные плоские различного назначения8) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,54,62,57,,,,,,,,,
Трубы и муфты асбестоцементные,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,25,21,23,22,22,24,,,,,,,,,
"Материалы  рулонные кровельные 
и гидроизоляционные",,,,,,,,,,,,,,,,,,,,,,,,,,,57,56,60,59,61,53,55,55,,,,,,,,,
"Чугун зеркальный и передельный 
в чушках, болванках или в прочих первичных формах",,,,,,,,,,,,,,,,,,,,,,,,,,,95,93,93,93,91,88,93,82,,,,,,,,,
"Сталь нелегированная в слитках 
или в прочих первичных формах 
и полуфабрикаты из нелегированной стали",,,,,,,,,,,,,,,,,,,,,,,,,,,81,87,88,84,88,81,85,77,,,,,,,,,
"Сталь нержавеющая в слитках 
или прочих первичных формах 
и полуфабрикаты из нержавеющей стали",,,,,,,,,,,,,,,,,,,,,,,,,,,22,28,29,25,28,35,43,37,,,,,,,,,
"Сталь легированная прочая в слитках или в прочих первичных формах 
и полуфабрикаты из прочей легированной стали",,,,,,,,,,,,,,,,,,,,,,,,,,,41,45,46,42,47,46,46,47,,,,,,,,,
Прокат готовый ,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,82,76,81,76,79,76,,,,,,,,,
"Трубы, профили пустотелые 
и их фитинги стальные",,,,,,,,,,,,,,,,,,,,,,,,,,,68,67,69,60,62,69,68,63,,,,,,,,,
Котлы паровые,,,,,,,,,,,,,,,,,,,,,,,,,,,13,31,43,14,47,16,24,26,,,,,,,,,
"Турбины на водяном паре 
и прочие паровые турбины",,,,,,,,,,,,,,,,,,,,,,,,,,,22,18,6,23,17,10,8,12,,,,,,,,,
"Турбины газовые, кроме турбореактивных и турбовинтовых",,,,,,,,,,,,,,,,,,,,,,,,,,,21,19,26,21,26,38,34,20,,,,,,,,,
"Подшипники шариковые 
или роликовые ",,,,,,,,,,,,,,,,,,,,,,,,,,,27,24,22,18,22,25,30,28,,,,,,,,,
Краны мостовые электрические,,,,,,,,,,,,,,,,,,,,,,,,,,,25,29,22,20,22,17,43,48,,,,,,,,,
Тракторы для сельского хозяйства прочие,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,19,32,27,37,58,42,,,,,,,,,
Станки металлорежущие ,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27,23,27,26,25,37,41,,,,,,,,,
Машины кузнечно-прессовые ,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,16,7,12,16,17,26,,,,,,,,,
Экскаваторы,,,,,,,,,,,,,,,,,,,,,,,,,,,19,22,34,27,38,18,15,19,,,,,,,,,
"Бульдозеры и бульдозеры 
с  поворотным отвалом",,,,,,,,,,,,,,,,,,,,,,,,,,,18,22,30,33,41,42,35,44,,,,,,,,,
Холодильники и морозильники бытовые,,,,,,,,,,,,,,,,,,,,,,,,,,,47,51,54,56,62,40,43,48,,,,,,,,,
"Электродвигатели переменного 
и постоянного тока универсальные мощностью более 37,5 Вт.",,,,,,,,,,,,,,,,,,,,,,,,,,,33,26,30,28,32,22,14,12,,,,,,,,,
Автомобили легковые,,,,,,,,,,,,,,,,,,,,,,,,,,,47,55,56,51,60,22,27,42,,,,,,,,,
Средства автотранспортные грузовые,,,,,,,,,,,,,,,,,,,,,,,,,,,41,44,48,45,58,45,50,57,,,,,,,,,
Автобусы 9),,,,,,,,,,,,,,,,,,,,,,,,,,,20,28,,,,,,,,,,,,,,,
"Автобусы, имеющие технически допустимую максимальную массу более 5 т10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,21,29,23,47,53,,,,,,,,,
"Автобусы, имеющие технически допустимую максимальную массу 
не более 5 т10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,38,43,29,40,33,,,,,,,,,
"Использование вторичных горючих энергетических ресурсов, млн т условного топлива",,13,11,10,13,9,12,11,12,14,16,17,19,18,17,18,19,17,16,18,19,19,19,20,20,19,19,19,19,20,11,16,16,17,,,,,,,,,
_________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) По 2013 г. включительно - агрегированный индекс производства по видам экономической деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Производство и распределение электроэнергии, газа и воды""  ОКВЭД, с 2014 г. - агрегированный индекс производства по видам экономической деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"", ""Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"" ОКВЭД2.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Данные за 2023 год уточнены в соответствии с регламентом разработки  и публикации данных по производству и отгрузке продукции и динамике промышленного производства (приказ Росстата от 18 августа 2020 г. № 470).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) Без субъектов малого предпринимательства.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) С 2012 г. - включая масло кукурузное и его фракции, без изменения химического состава.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) С 2012 г. - включая напитки, изготавливаемые на основе пива.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6) до 2023 г. - Продукт молочные сгущенные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7) До 2021 г. - Воды минеральные природные питьевые и воды питьевые, расфасованные в емкости, не содержащие добавки сахара или других подслащивающих или вкусоароматических веществ ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8) Статистическое наблюдение ведется  с 2020 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9) С 2019 г. информация Росстатом не разрабатывается.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10) Статистическое наблюдение ведется  с 2019 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Добыча полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Уголь, млн  т",353,337,306,272,263,257,245,232,250,258,270,256,277,282,299,310,314,329,301,,,,,,,,,,,,,,,,,,,,,,,,
в том числе по видам,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
каменный,217,210,193,177,177,167,160,153,166,172,187,182,197,211,223,234,242,246,232,,,,,,,,,,,,,,,,,,,,,,,,
бурый,136,126.8,112.8,95.3,85.9,90.2,85.2,78.8,83.5,86.2,83.0,74.2,79.4,70.4,75.3,75.9,71.5,82.6,69.3,,,,,,,,,,,,,,,,,,,,,,,,
"Нефть добытая нефти, включая газовый конденсат, млн  т",462,399,354,318,307,301,306,303,305,324,348,380,421,459,470,481,491,488,494,,,,,,,,,,,,,,,,,,,,,,,,
"Газ горючий природный (естественный), млрд  м3",643,641,618,607,595,601,571,591,592,584,581,595,620,633,641,656,653,664,583,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Уголь, млн  т",,,,,,,,,,,,,,,,,,,301,322,336,357,353,357,372,386,,,,,,,,,,,,,,,,,
в том числе по видам,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
каменный,,,,,,,,,,,,,,,,,,,232,245,259,279,279,288,298,313,,,,,,,,,,,,,,,,,
бурый ,,,,,,,,,,,,,,,,,,,69.2,76.8,76.9,78.1,73.7,68.9,73.6,73.5,,,,,,,,,,,,,,,,,
"Нефть добытая, включая газовый конденсат, млн  т",,,,,,,,,,,,,,,,,,,495,506,512,519,522,526,535,548,,,,,,,,,,,,,,,,,
" Газ природный и попутный, млрд  м3",,,,,,,,,,,,,,,,,,,583,651,671,655,668,642,634,641,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Уголь каменный и бурый, млн  т",,,,,,,,,,,,,,,,,,,,,,,,,,,410,439,439,398,435,435,430,430,,,,,,,,,
в том числе по видам,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
каменный,,,,,,,,,,,,,,,,,,,,,,,,,,,335,359,358,324,361,345,338,334,,,,,,,,,
бурый рядовой (лигнит),,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,80.5,81.9,73.9,74.7,89.7,92.0,95.9,,,,,,,,,
"Нефть обезвоженная, обессоленная 
и стабилизированная, включая газовый конденсат,1), 2) млн  т",,,,,,,,,,,,,,,,,,,,,,,,,,,547,556,561,513,523,535,…,…,,,,,,,,,
"Газ природный и попутный, млрд  м3",,,,,,,,,,,,,,,,,,,,,,,,,,,691,726,739,694,763,676,638,684,,,,,,,,,
"Газ горючий природный сжиженный, млн  т
",,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,20.0,29.5,30.4,30.1,33.7,32.9,34.1,,,,,,,,,
_______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) 2017 – 2019 гг. – нефть сырая, включая газовый конденсат.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Информация о добыче нефти не публикуется на основании распоряжения Правительства Российской Федерации от 26.04.2023 № 1074-р (ред. от 12.04.2025).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Обрабатывающие производства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Производство отдельных видов пищевых продуктов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Мясо, включая субпродукты  I категории, тыс.т","5,700","4,686","3,970","3,224","2,370","1,900","1,510","1,315","1,113","1,194","1,284","1,456","1,677","1,776","1,857","2,185","2,561","2,899","3,380",,,,,,,,,,,,,,,,,,,,,,,,
"Масло растительное, тыс. т","1,165",994,"1,127",909,802,879,687,782,881,"1,375","1,281","1,197","1,598","1,895","2,200","2,755","2,735","2,485","3,271",,,,,,,,,,,,,,,,,,,,,,,,
"Масло животное, тыс. т",729,762,732,488,421,323,292,276,262,267,271,279,285,276,254,268,272,272,233,,,,,,,,,,,,,,,,,,,,,,,,
"Хлеб и хлебобулочные изделия, тыс. т","18,845","16,834","15,030","12,527","11,336","9,851","8,832","8,459","9,160","9,005","8,575","8,388","8,395","8,219","7,967","7,815","7,759","7,483","7,213",,,,,,,,,,,,,,,,,,,,,,,,
"Кондитерские изделия, тыс. т","2,641","1,829","1,746","1,530","1,372","1,262","1,370","1,403","1,509","1,628","1,793","1,958","2,167","2,233","2,419","2,557","2,739","2,845","2,779",,,,,,,,,,,,,,,,,,,,,,,,
"Сахар-песок, тыс. т","3,425","3,923","3,918","2,736","3,155","3,294","3,778","4,745","6,808","6,077","6,590","6,167","5,841","4,828","5,600","5,833","6,112","5,873","5,023",,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Мясо и субпродукты пищевые убойных животных и домашней птицы, тыс.т",,,,,,,,,,,,,,,,,,,"3,460","3,957","4,250","4,747","5,321","5,957","6,631","7,063",,,,,,,,,,,,,,,,,
"Масла растительные нерафинированные (включая кукурузное), тыс.т",,,,,,,,,,,,,,,,,,,"3,188","3,091","3,073","4,192","3,940","4,981","4,660","5,199",,,,,,,,,,,,,,,,,
"Масло сливочное и пасты масляные,  тыс.т",,,,,,,,,,,,,,,,,,,225,212,219,216,227,253,258,253,,,,,,,,,,,,,,,,,
"Хлеб и хлебобулочные изделия, тыс. т",,,,,,,,,,,,,,,,,,,"7,288","7,255","7,066","6,965","6,829","6,816","6,833","6,688",,,,,,,,,,,,,,,,,
"Кондитерские изделия, тыс. т",,,,,,,,,,,,,,,,,,,"2,738","2,890","3,037","3,108","3,289","3,451","3,495","3,570",,,,,,,,,,,,,,,,,
"Сахар белый свекловичный 
и тростниковый в твердом состоянии, тыс. т",,,,,,,,,,,,,,,,,,,"5,077","4,750","7,124","5,322","4,959","5,249","5,743","6,045",,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором  продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Мясо крупного рогатого скота, свинина, баранина, козлятина, конина и мясо прочих животных семейства лошадиных, оленина и мясо прочих животных семейства оленьих (оленевых) парные, остывшие или охлажденные, тыс. т",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,385","2,654","2,749","3,089","3,227","3,446","3,694","3,803",,,,,,,,,
"Масла растительные и их фракции нерафинированные, тыс. т",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,728","5,940","6,766","7,451","6,743","8,140","9,736","10,676",,,,,,,,,
"Масло сливочное и пасты масляные, тыс.т",,,,,,,,,,,,,,,,,,,,,,,,,,,270,267,270,279,283,326,336,334,,,,,,,,,
"Изделия хлебобулочные недлительного хранения, тыс. т ",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,935","5,777","5,614","5,321","5,246","5,132","5,001","4,906",,,,,,,,,
Кондитерские изделия,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,783","3,914","4,016","3,892","4,074","3,989","4,159","4,324",,,,,,,,,
"Сахар белый свекловичный 
и тростниковыйв твердом 
состоянии без вкусоароматических 
или красящих добавок, тыс. т
",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,665","6,273","7,264","5,796","5,931","6,037","6,647","6,632",,,,,,,,,
Производство текстильных изделий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Хлопчатобумажные ткани, млн  м2","5,295","3,292","2,327","1,529","1,240","1,023","1,186","1,080","1,258","1,822","2,094","2,264","2,329","2,149","2,225","2,222","2,108","1,915","1,477",,,,,,,,,,,,,,,,,,,,,,,,
"Шерстяные ткани, млн  м2",386,277,206,91.1,72.2,50.3,46.8,39.3,47.8,54.6,56.5,47.9,44.6,36.0,30.3,29.0,28.7,23.9,18.1,,,,,,,,,,,,,,,,,,,,,,,,
"Шелковые ткани, млн  м2",947,731,596,246,198,139,134,111,146,178,176,141,145,139,126,136,141,114,91.3,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Хлопчатобумажные ткани, млн  м2",,,,,,,,,,,,,,,,,,,"1,453","1,542","1,237","1,389","1,311","1,231","1,121","1,168",,,,,,,,,,,,,,,,,
"Шерстяные ткани, млн  м2",,,,,,,,,,,,,,,,,,,17.9,20.7,19.3,14.1,12.8,11.7,11.0,9.1,,,,,,,,,,,,,,,,,
"Ткани из синтетических и искусственных волокон и нитей (включая штапельные), млн  м2",,,,,,,,,,,,,,,,,,,109,115,100,144,207,208,285,290,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Хлопчатобумажные ткани, млн  м2",,,,,,,,,,,,,,,,,,,,,,,,,,,736,828,821,879,899,869,928,910,,,,,,,,,
"Шерстяные готовые ткани, млн  м2",,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,7.7,7.6,7.8,6.6,6.7,5.4,5.4,,,,,,,,,
"Ткани готовые из синтетических 
и искусственных волокон и нитей (включая штапельные), млн  м2",,,,,,,,,,,,,,,,,,,,,,,,,,,445,460,399,420,533,573,654,682,,,,,,,,,
"Производство кожи, изделий 
из кожи и производство обуви",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Жесткие кожтовары, млн  дм2 ","1,086",743,329,131,84.8,86.7,76.1,41,52.1,96.4,104,86,67.9,67.3,57.2,75.5,74.3,66.5,55.1,,,,,,,,,,,,,,,,,,,,,,,,
"Хромовые кожтовары, млн  дм2 ","4,201","3,734","2,854","1,161",900,649,525,390,786,805,"1,030","1,182","1,459","1,534","1,491","2,014","2,018","1,927","1,883",,,,,,,,,,,,,,,,,,,,,,,,
"Юфтевые кожтовары, млн  дм2",544,352,173,68.1,53.6,96.5,68.6,49.1,125,130,77.4,88.9,127,125,113,110,88.2,68.3,50.7,,,,,,,,,,,,,,,,,,,,,,,,
"Обувь, млн пар",336,220,146,76.5,51.6,36.8,33.0,23.8,29.9,32.9,37.0,42.2,47.4,46.4,47.2,57.3,54.2,56.5,57.5,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Жесткие кожтовары, млн  дм2 ",,,,,,,,,,,,,,,,,,,55.1,52.4,41.6,41.3,22.8,19.0,6.5,2.9,,,,,,,,,,,,,,,,,
"Хромовые кожтовары, млн  дм2 ",,,,,,,,,,,,,,,,,,,"1,920","2,689","2,659","2,419","2,223","1,990","1,941","2,058",,,,,,,,,,,,,,,,,
"Юфтевые кожтовары, млн  дм2",,,,,,,,,,,,,,,,,,,50.7,63.3,68.2,50.2,50.3,36.4,30.1,21.5,,,,,,,,,,,,,,,,,
"Обувь, млн пар",,,,,,,,,,,,,,,,,,,82.7,103,110,103,118,109,91.7,95.4,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Чемоданы, сумки дамские и аналогичные изделия из натуральной кожи, сочетаний кожи, листов пластмассы, текстильных материалов, вулканизированных волокон или картона; наборы дорожные, используемые для личной гигиены, шитья или для чистки одежды или обуви, млн штук",,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,16.6,15.4,15.3,20.9,32.1,40.5,27.0,,,,,,,,,
"Обувь, млн пар",,,,,,,,,,,,,,,,,,,,,,,,,,,120,123,109,93.6,105,115,130,151,,,,,,,,,
Производство изделий из дерева,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пиломатериалы, тыс. м3","65,772.6","53,367.3","40,892.0","30,723.9","26,465.3","21,913.1","19,622.2","18,536.8","19,163.8","20,003.3","19,045.1","18,590.3","20,154.5","21,214.0","22,033.5","22,193.7","24,257.8","21,617.8","18,993.3",,,,,,,,,,,,,,,,,,,,,,,,
"Клееная фанера, тыс. м3","1,519.7","1,268.2","1,042.2",889.5,939.2,971.8,943.0,"1,101.8","1,324.0","1,484.4","1,589.7","1,821.4","1,977.6","2,247.7","2,555.6","2,615.2","2,776.8","2,592.0","2,128.3",,,,,,,,,,,,,,,,,,,,,,,,
"Древесностружечные плиты, тыс.условных м3",5409.4,4522.4,3940.8,2625.5,2205.6,1471.6,1490,1567.9,1986.5,2334.8,2545,2743.7,3203.7,3637.7,3929.9,4717.5,5500.8,"5,750.7","4,599.5",,,,,,,,,,,,,,,,,,,,,,,,
"Древесноволокнистые плиты, 
млн условных м2",474.1,426.5,362.1,239.8,233.9,183.8,197.4,194.2,242.7,278.1,283.1,310.3,324.5,348.0,413.0,439.2,480.6,479.2,372.9,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пиломатериалы (кроме шпал железнодорожных и трамвайных деревянных непропитанных), тыс. м3",,,,,,,,,,,,,,,,,,,"18,326.2","21,774.4","22,548.3","21,096.9","21,695.7","21,468.6","22,003.2","23,746.4",,,,,,,,,,,,,,,,,
"Фанера клееная, состоящая только 
из листов древесины, тыс.м3",,,,,,,,,,,,,,,,,,,"2,120.8","2,696.7","3,063.0","3,200.5","3,328.9","3,568.6","3,657.5","3,836.5",,,,,,,,,,,,,,,,,
"Плиты древесностружечные 
и аналогичные плиты из древесины 
и других одревесневших материалов, тыс.условных м3",,,,,,,,,,,,,,,,,,,"4,604.9","5,467.1","6,530.9","6,778.4","6,638.3","6,821.7","7,207.0","7,394.0",,,,,,,,,,,,,,,,,
"Плиты древесноволокнистые или других одревесневших материалов,
млн условных м2",,,,,,,,,,,,,,,,,,,372.9,404.2,464.2,469,427.4,468.7,502.4,554.9,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Лесоматериалы, продольно распиленные или расколотые, разделенные на слои 
или лущеные, толщиной более 6 мм; шпалы железнодорожные 
или трамвайные деревянные, непропитанные, млн  м3",,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,28.5,30.0,29.3,32.3,29.8,28.0,29.2,,,,,,,,,
"Фанера, тыс. м3",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,763","4,121","4,146","4,198","4,550","3,301","3,259","3,450",,,,,,,,,
