в процентах к предыдущему году",,84,86.3,78.4,95.4,92.4,101.0,95.2,108.9,108.7,102.9,103.1,108.9,108.0,105.1,106.3,106.8,100.6,89.3,107.3,105.0,103.4,100.4,102.5,100.2,101.8,103.7,103.5,103.4,97.9,106.3,100.7,104.3,105.6,,,,,,,,,
"Индексы производства по видам экономической деятельности разделов2) 
(в процентах к предыдущему году)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Краны на автомобильном ходу,86,81,83,45,37,31,24,13,15,27,43,44,42,51,57,76,84,80,19,,,,,,,,,,,,,,,,,,,,,,,,
Станки металлорежущие,77,64,54,27,24,18,16,13,14,17,18,14,12,13,13,13,14,16,6.3,,,,,,,,,,,,,,,,,,,,,,,,
Персональные ЭВМ,,,,,,,,,,4,8,6,5,16,17,41,52,44,22,,,,,,,,,,,,,,,,,,,,,,,,
Холодильники и морозильники бытовые,96,83,80,56,37,24,27,25,31,39,52,55,61,66,78,80,82,78,59,,,,,,,,,,,,,,,,,,,,,,,,
Электропылесосы,85,75,60,24,19,13,14,12,20.9,20,20,22,23,26,42,38,35,45,17,,,,,,,,,,,,,,,,,,,,,,,,
"Электродвигатели переменного тока 
с высотой оси вращения 63-355 мм",65,48,38,18,20,16,18,16,29,37,39,40,44,44,41,52,53,33,19,,,,,,,,,,,,,,,,,,,,,,,,
Автомобили легковые,88,82,82,65,68,70,77,66,73,74,71,70,68,75,68,76,77,73,30,,,,,,,,,,,,,,,,,,,,,,,,
Автобусы,95,91,92,69,58,50,58,54,57,56,63,51,62,57,73,70,85,55,26,,,,,,,,,,,,,,,,,,,,,,,,
Вагоны грузовые,80,62,48,29,21,25,14,12,15,14,26,38,56,66,68,74,83,84,43,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Уголь,,,,,,,,,,,,,,,,,,,,77,79,81,80,81,82,84,,,,,,,,,,,,,,,,,
Переработка угля на обогатительных фабриках,,,,,,,,,,,,,,,,,,,,67,70,71,56,56,56,58,,,,,,,,,,,,,,,,,
