,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,
11. ИНВЕСТИЦИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в нефинансовые активы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Структура инвестиций в нефинансовые активы1);2), в процентах к итогу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
собственные средства,,,,,49.0,52.3,60.8,53.2,52.4,47.5,49.4,45.0,45.2,45.4,44.5,42.1,40.4,39.5,37.1,41.0,41.9,44.5,45.2,45.7,50.2,51.0,51.3,53.0,55.0,55.2,56.0,53.1,53.7,55.4,,,,,,,,,,,,,
привлеченные средства,,,,,51.0,47.7,39.2,46.8,47.6,52.5,50.6,55.0,54.8,54.6,55.5,57.9,59.6,60.5,62.9,59.0,58.1,55.5,54.8,54.3,49.8,49.0,48.7,47.0,45.0,44.8,44.0,46.9,46.3,44.6,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
кредиты банков,,,,,,,,4.8,4.2,2.9,4.4,5.9,6.4,7.9,8.1,9.5,10.4,11.8,10.3,9.0,8.6,8.4,10.0,10.6,8.1,10.4,11.2,11.2,9.8,9.9,11.0,10.2,9.9,12.3,,,,,,,,,,,,,
в том числе иностранных банков,,,,,,,,,,0.6,0.9,0.9,1.2,1.1,1.0,1.6,1.7,3.0,3.2,2.3,1.8,1.2,1.1,2.6,1.7,2.9,5.4,4.4,2.0,1.8,1.9,1.2,0.4,0.01,,,,,,,,,,,,,
заемные средства других организаций,,,,,,,,4.3,5.6,7.2,4.9,6.5,6.8,7.3,5.9,6.0,7.1,6.2,7.4,6.1,5.8,6.1,6.2,6.4,6.7,6.0,5.4,4.3,4.8,4.9,4.5,5.9,7.6,8.9,,,,,,,,,,,,,
инвестиции из-за рубежа,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,1.1,0.8,0.8,0.6,0.4,0.3,0.4,0.3,0.1,0.02,,,,,,,,,,,,,
бюджетные средства (средства консолидированного бюджета),,26.9,34.3,25.9,21.8,20.1,20.7,19.1,17.0,22.0,20.4,19.9,19.6,17.8,20.4,20.2,21.5,20.9,21.9,19.5,19.2,17.9,19.0,17.0,18.3,16.4,16.3,15.3,16.2,19.1,18.3,20.5,19.7,16.7,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
федерального бюджета,,16.6,19.2,13.4,10.1,9.9,10.2,6.5,6.4,6.0,5.8,6.1,6.7,5.3,7.0,7.0,8.3,8.0,11.5,10.0,10.1,9.7,10.0,9.0,11.3,9.3,8.5,7.6,7.6,8.7,8.1,9.8,9.3,7.9,,,,,,,,,,,,,
бюджетов субъектов Российской Федерации9),,10.3,15.1,10.6,10.3,10.2,10.5,11.6,9.6,14.3,12.5,12.2,12.1,11.6,12.3,11.7,11.7,11.3,9.2,8.2,7.9,7.1,7.5,6.5,5.7,6.0,6.7,6.6,7.4,9.2,9.0,9.4,9.3,7.7,,,,,,,,,,,,,
средства местных бюджетов,,,,,,,,,,,,,,,,,,,,,,1.1,1.5,1.5,1.3,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.1,1.1,,,,,,,,,,,,,
средства внебюджетных фондов,,,,,11.5,12.2,4.6,10.7,8.6,4.8,2.6,2.4,0.9,0.8,0.5,0.5,0.5,0.4,0.3,0.3,0.2,0.4,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,,,,,,,,,,,,,
"средства организаций и населения, привлеченные для долевого строительства",,,,,,,,,,,,4.0,3.3,3.8,3.8,3.8,3.7,3.5,2.6,2.2,2.0,2.7,2.9,3.5,3.2,3.0,3.3,3.5,4.3,3.3,…,…,…,…,,,,,,,,,,,,,
в том числе средства населения,,,,,,,,,,,,,,,,1.3,1.5,1.9,1.3,1.2,1.3,2.1,2.3,2.7,2.4,2.3,2.5,2.5,3.1,2.6,…,…,…,…,,,,,,,,,,,,,
прочие,,,,,,,,7.8,12.2,15.6,18.3,16.3,17.8,17.0,16.8,17.9,16.4,17.7,20.4,21.9,22.3,20.0,15.6,15.7,12.1,12.2,11.5,11.9,9.3,7.1,9.6,9.8,8.9,6.6,,,,,,,,,,,,,
"Структура инвестиций в основной капитал по видам экономической деятельности 
в фактически действовавших ценах",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1.) ОКВЭД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Всего10), млн руб. (до 1998 г. - млрд  руб.) ",,,,"108,809.9","266,973.6","375,958.1","408,797.3","407,086.3","670,438.8","1,165,234.2","1,504,712.1","1,762,407.3","2,186,365.2","2,865,013.9","3,611,109.0","4,730,022.9","6,716,222.4","8,781,616.4","7,976,012.8","9,152,096.0","11,035,652.0","12,586,090.4","13,450,238.2","13,902,645.3","13,897,187.7","14,748,846.9",,,,,,,,,,,,,,,,,,,,,
в том числе по видам экономической деятельности:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сельское хозяйство, охота и лесное хозяйство",,,,"5,624.4","9,838.7","11,776.4","11,050.9","12,986.5","21,971.4","34,824.5","60,600.3","80,631.0","90,733.8","116,605.9","142,259.9","224,234.4","338,538.9","399,665.8","325,152.6","303,842.6","446,855.2","476,446.1","516,593.5","510,344.6","505,828.3","605,841.0",,,,,,,,,,,,,,,,,,,,,
"рыболовство, рыбоводство",,,,360.4,572.0,646.4,738.2,575.2,"1,391.2","2,184.7","2,404.4","2,980.2","2,264.4","3,114.4","3,102.4","4,486.4","4,811.0","5,001.8","4,605.0","5,356.1","8,529.8","12,205.4","14,308.8","15,247.8","14,411.4","20,089.6",,,,,,,,,,,,,,,,,,,,,
добыча полезных ископаемых,,,,"13,941.3","37,970.7","56,652.7","63,949.2","49,072.6","97,152.3","211,380.5","285,145.1","297,904.5","348,683.9","442,039.3","501,903.6","690,736.2","929,751.0","1,173,676.0","1,111,776.8","1,264,050.6","1,534,273.9","1,858,377.3","2,004,047.9","2,144,813.8","2,385,255.5","2,710,457.8",,,,,,,,,,,,,,,,,,,,,
из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
добыча топливно-энергетических полезных ископаемых,,,,"12,752.1","34,772.2","52,713.3","59,295.5","44,920.5","88,226.8","195,029.0","262,364.6","273,839.6","315,595.0","401,639.2","447,046.2","627,241.6","838,356.8","1,067,309.0","1,023,825.5","1,157,947.6","1,390,527.2","1,650,948.8","1,788,442.3","1,957,059.6","2,173,124.0","2,496,356.6",,,,,,,,,,,,,,,,,,,,,
"добыча полезных ископаемых, кроме топливно-энергетических",,,,"1,189.2","3,198.5","3,939.5","4,653.7","4,152.0","8,925.4","16,351.5","22,780.5","24,064.9","33,088.9","40,400.0","54,857.5","63,494.5","91,394.2","106,367.0","87,951.3","106,103.0","143,746.7","207,428.5","215,605.6","187,754.2","212,131.5","214,101.2",,,,,,,,,,,,,,,,,,,,,
обрабатывающие производства,,,,"15,804.0","39,482.8","53,497.4","55,594.1","60,617.8","121,090.0","190,208.9","239,858.7","280,246.0","341,890.3","470,267.0","593,847.7","736,961.8","986,416.1","1,317,794.4","1,135,689.3","1,207,534.8","1,418,678.0","1,688,683.2","1,945,318.3","2,084,612.6","2,172,579.1","2,108,514.5",,,,,,,,,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"производство пищевых продуктов, включая напитки, и табака",,,,"2,946.5","7,683.6","10,812.3","13,104.1","17,231.1","39,608.2","43,899.2","50,531.7","66,679.2","82,229.7","93,329.9","112,635.1","128,007.5","169,936.7","194,036.9","157,084.7","176,541.4","186,805.4","218,490.0","233,402.5","251,400.1","247,083.7","243,495.9",,,,,,,,,,,,,,,,,,,,,
текстильное и швейное производство,,,,422.5,695.7,884.9,869.1,860.8,"1,833.2","1,939.7","2,365.6","3,271.3","2,943.5","4,292.0","3,821.3","4,536.0","7,317.7","9,309.9","7,921.4","11,334.5","11,040.8","12,052.4","16,592.8","20,966.3","11,827.3","10,499.1",,,,,,,,,,,,,,,,,,,,,
"производство кожи, изделий 
из кожи и производство обуви",,,,52.5,88.4,112.8,111.6,109.8,230.0,247.7,303.5,575.0,724.5,"1,038.6","1,236.1","2,214.3","2,456.8","2,328.1","1,600.6","4,196.0","6,085.4","5,135.5","5,708.5","7,779.3","6,034.4","3,628.9",,,,,,,,,,,,,,,,,,,,,
"обработка древесины 
и производство изделий из дерева",,,,432.7,"1,283.8","1,446.7","1,429.4","1,519.4","4,308.2","6,932.8","6,487.9","9,006.0","12,709.6","16,336.0","20,544.2","20,867.9","28,334.9","48,131.6","28,489.9","27,676.7","51,925.2","56,399.6","53,823.9","49,421.9","58,130.6","66,005.3",,,,,,,,,,,,,,,,,,,,,
"целлюлозно-бумажное производство; издательская 
и полиграфическая деятельность",,,,524.7,"1,699.3","1,813.0","1,823.9","2,065.7","5,109.2","9,218.3","9,742.2","13,307.8","17,034.7","22,595.8","26,859.9","31,960.1","40,277.0","50,669.1","33,940.5","43,058.2","54,085.8","58,626.2","57,050.6","49,830.6","51,920.7","66,363.3",,,,,,,,,,,,,,,,,,,,,
"производство кокса 
и нефтепродуктов ",,,,"1,510.8","3,989.6","5,076.8","4,075.2","4,756.4","6,212.5","21,624.4","27,784.7","31,549.3","32,288.1","40,960.1","51,023.7","64,599.5","87,761.3","120,993.5","171,041.5","201,280.0","237,330.2","310,948.0","441,734.5","486,520.2","478,288.8","385,776.1",,,,,,,,,,,,,,,,,,,,,
химическое производство,,,,"1,364.9","3,745.2","5,236.1","5,823.9","5,698.3","9,531.8","15,879.5","23,169.3","24,216.7","29,838.3","36,951.0","56,788.9","78,378.1","107,163.2","135,567.3","105,927.1","112,861.1","162,634.8","212,282.5","238,826.3","261,468.5","347,681.4","396,521.3",,,,,,,,,,,,,,,,,,,,,
"производство резиновых 
и пластмассовых изделий",,,,317.4,872.8,"1,286.0","1,381.6","1,319.6","2,101.8","3,697.4","5,313.2","5,539.8","8,863.6","13,973.8","16,809.9","19,388.6","32,289.1","31,533.3","27,497.7","27,486.4","33,082.9","36,523.1","44,588.5","43,902.1","53,816.2","40,326.9",,,,,,,,,,,,,,,,,,,,,
производство прочих неметаллических минеральных продуктов,,,,"1,137.6","2,743.9","3,189.9","3,137.5","2,396.4","5,575.7","9,737.2","12,843.2","17,605.8","20,308.0","34,117.3","47,226.3","51,773.8","93,087.4","150,886.4","113,025.0","122,715.7","135,822.4","146,767.9","146,589.2","136,452.3","104,136.2","79,904.6",,,,,,,,,,,,,,,,,,,,,
"металлургическое производство 
и производство готовых металлических изделий",,,,"2,550.1","7,027.6","9,187.3","9,423.9","10,316.8","20,041.4","35,856.9","49,025.0","47,171.7","62,337.7","100,915.8","137,192.8","174,397.8","205,552.2","290,071.6","241,771.2","216,169.3","240,194.8","258,593.7","250,194.5","247,478.1","276,148.6","318,173.1",,,,,,,,,,,,,,,,,,,,,
в том числе металлургическое производство,,,,"2,423.0","6,594.6","8,357.4","8,742.5","9,220.1","18,108.7","32,237.9","43,821.6","42,946.1","54,245.7","90,824.1","122,883.6","159,181.6","183,443.1","259,280.4","219,185.2","185,780.9","208,881.3","219,952.8","206,991.9","205,142.8","229,656.2","269,223.4",,,,,,,,,,,,,,,,,,,,,
"производство машин 
и оборудования",,,,726.4,"1,758.7","3,088.1","2,750.1","2,631.7","5,110.9","8,806.0","11,532.2","12,212.5","16,206.1","29,071.5","31,922.2","46,584.4","58,685.3","75,310.9","55,233.6","61,987.3","60,532.5","76,239.0","92,910.7","103,178.7","111,715.4","89,684.2",,,,,,,,,,,,,,,,,,,,,
"производство электрооборудования, электронного и оптического оборудования",,,,840.3,"1,832.3","2,379.2","2,439.9","2,485.8","4,613.2","6,934.1","9,694.3","10,941.8","13,705.2","16,341.1","19,589.5","22,851.0","32,553.7","40,810.6","33,446.8","35,123.1","45,135.6","59,242.2","73,177.8","75,331.3","97,468.4","85,920.6",,,,,,,,,,,,,,,,,,,,,
производство транспортных средств и оборудования,,,,"2,332.9","4,349.5","6,995.6","6,958.5","7,109.3","11,985.7","16,438.9","19,221.0","24,726.9","27,799.8","34,601.1","34,059.3","45,002.8","68,075.5","97,800.6","92,177.5","100,992.2","114,947.3","143,891.3","185,133.8","228,414.7","216,796.1","207,030.7",,,,,,,,,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"производство автомобилей, прицепов и полуприцепов",,,,"1,553.4","2,830.3","4,979.4","4,848.4","4,986.1","8,195.1","9,935.7","11,105.5","15,951.6","15,243.1","20,751.1","19,341.6","22,784.9","40,229.8","64,745.3","54,566.6","57,271.0","55,300.5","64,864.4","97,849.7","120,643.2","118,163.6","96,718.6",,,,,,,,,,,,,,,,,,,,,
"производство судов, летательных и космических аппаратов и прочих транспортных средств",,,,779.5,"1,519.2","2,016.1","2,110.1","2,123.2","3,790.7","6,503.2","8,115.5","8,775.3","12,556.7","13,850.0","14,717.7","22,217.9","27,845.7","33,055.3","37,611.0","43,721.2","59,646.8","79,026.9","87,284.1","107,771.5","98,632.5","110,312.1",,,,,,,,,,,,,,,,,,,,,
"производство и распределение электроэнергии, газа и воды",,,,"8,119.6","20,322.5","31,713.9","38,637.1","37,334.4","45,854.1","69,848.2","83,371.9","102,949.8","143,500.6","197,746.9","244,078.8","298,149.5","465,716.7","617,042.3","684,081.6","818,807.7","1,016,514.0","1,166,044.6","1,187,626.7","1,186,224.8","979,865.6","944,721.9",,,,,,,,,,,,,,,,,,,,,
строительство,,,,"5,240.7","12,098.7","21,473.0","25,191.8","28,118.6","46,408.0","74,918.7","78,978.3","95,638.4","106,711.9","99,592.2","129,450.7","176,218.7","266,409.8","399,776.1","289,803.4","342,094.5","336,763.7","348,574.8","438,154.9","469,313.1","401,234.4","443,798.2",,,,,,,,,,,,,,,,,,,,,
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий 
и предметов личного пользования",,,,"1,676.9","5,163.2","7,978.0","8,623.0","9,784.2","15,535.1","30,982.9","42,923.4","62,871.6","76,981.7","99,619.4","129,148.1","166,532.4","289,979.3","323,529.3","263,088.0","336,891.2","347,423.0","455,924.7","517,881.6","554,559.7","542,774.6","637,131.0",,,,,,,,,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"торговля автотранспортными средствами и мотоциклами, 
их техническое обслуживание 
и ремонт",,,,147.7,407.3,654.7,699.5,810.0,"1,273.5","2,332.5","3,189.1","4,850.7","5,806.6","6,651.5","14,026.2","20,771.9","38,311.3","57,814.8","40,129.5","49,809.2","55,539.5","72,176.1","78,178.7","84,664.0","73,761.2","79,676.8",,,,,,,,,,,,,,,,,,,,,
"оптовая торговля, включая торговлю через агентов, кроме торговли автотранспортными средствами и мотоциклами",,,,"1,108.0","3,429.9","5,221.8","5,645.2","6,232.7","9,965.4","20,471.1","28,222.9","40,267.3","48,501.2","65,891.3","75,007.6","79,282.0","150,774.0","134,697.0","120,604.7","143,274.1","149,340.8","158,686.8","174,007.2","184,880.4","201,576.3","272,434.3",,,,,,,,,,,,,,,,,,,,,
"розничная торговля, кроме торговли автотранспортными средствами и мотоциклами; ремонт бытовых изделий и предметов личного пользования",,,,421.2,"1,326.0","2,101.4","2,278.3","2,741.5","4,296.3","8,179.2","11,511.5","17,753.6","22,674.0","27,076.6","40,114.2","66,478.5","100,894.2","131,017.5","102,353.9","143,807.9","142,542.7","225,061.8","265,695.7","285,015.3","267,437.1","285,019.9",,,,,,,,,,,,,,,,,,,,,
гостиницы и рестораны,,,,955.5,"2,100.7","2,738.5","3,335.8","3,870.1","5,302.8","9,293.3","10,838.1","11,839.4","8,920.5","9,899.6","12,929.7","19,347.4","32,989.6","39,918.2","38,715.5","46,906.5","55,574.3","45,101.3","89,262.7","105,528.3","92,050.4","93,817.7",,,,,,,,,,,,,,,,,,,,,
транспорт и связь,,,,"12,271.1","33,709.5","53,110.4","65,622.8","60,173.8","125,010.0","246,655.4","333,546.9","325,979.6","487,840.1","649,710.2","884,808.7","1,116,694.9","1,488,529.7","2,023,638.0","2,118,340.2","2,336,781.4","3,107,685.3","3,330,654.7","3,288,597.8","2,980,991.5","2,499,691.7","2,815,254.1",,,,,,,,,,,,,,,,,,,,,
из них связь,,,,"1,053.1","3,813.7","7,125.4","11,589.8","14,472.4","21,993.3","31,099.1","45,082.7","59,897.5","104,622.7","155,692.9","196,109.7","214,581.6","248,914.0","279,028.4","223,956.0","265,705.6","316,544.7","351,819.7","309,892.4","352,494.4","356,109.6","398,949.8",,,,,,,,,,,,,,,,,,,,,
финансовая деятельность ,,,,"2,749.8","6,711.0","10,798.7","11,235.0","13,794.3","10,963.4","9,395.5","11,801.1","17,549.3","26,582.5","39,831.7","49,380.3","53,331.2","87,297.8","98,184.1","100,682.2","119,730.1","159,183.8","204,192.1","186,679.1","170,479.9","195,406.2","212,600.7",,,,,,,,,,,,,,,,,,,,,
"операции с недвижимым имуществом, аренда и предоставление услуг",,,,"28,280.7","67,470.5","84,013.7","77,441.2","76,775.8","111,365.9","177,400.1","221,326.6","319,723.4","385,684.9","495,122.0","607,493.8","804,176.9","1,228,389.5","1,618,212.8","1,224,148.7","1,637,943.9","1,669,943.4","1,968,051.3","2,195,701.3","2,701,396.3","3,161,433.7","3,192,946.3",,,,,,,,,,,,,,,,,,,,,
"из них научные исследования 
и разработки",,,,588.6,"1,074.4","1,287.1","1,943.8","1,832.8","3,436.4","5,773.4","8,132.2","11,882.7","15,106.2","17,151.7","19,409.5","24,396.8","28,722.1","39,942.7","56,381.2","68,861.9","84,403.4","94,023.8","133,751.9","137,296.0","184,517.0","174,661.0",,,,,,,,,,,,,,,,,,,,,
"государственное управление 
и обеспечение военной безопасности;  социальное отрахование",,,,"3,315.6","8,582.9","13,246.0","13,562.6","16,680.4","12,798.8","17,477.6","22,017.9","35,506.2","35,073.3","49,882.3","57,031.9","81,791.7","111,758.7","144,570.2","138,219.7","125,939.6","211,633.1","214,506.6","228,496.0","241,001.4","233,680.0","271,391.4",,,,,,,,,,,,,,,,,,,,,
образование,,,,"2,424.5","4,835.2","5,585.4","6,231.8","7,201.4","10,378.7","15,583.8","21,930.1","25,998.2","31,196.6","51,097.9","68,815.1","100,572.5","144,623.1","170,576.9","140,627.6","163,687.6","198,292.0","213,336.6","228,873.1","242,686.8","241,000.6","210,486.1",,,,,,,,,,,,,,,,,,,,,
здравоохранение и предоставление социальных услуг,,,,"2,846.4","6,685.3","7,709.9","9,811.7","9,582.5","15,389.6","29,708.0","36,696.4","36,072.1","43,169.0","71,582.6","94,806.3","127,442.5","169,923.9","206,875.4","180,719.9","196,181.9","216,334.5","255,759.2","222,530.9","197,826.5","181,997.5","189,607.9",,,,,,,,,,,,,,,,,,,,,
"предоставление прочих коммунальных, социальных и персональных услуг",,,,"5,198.9","11,429.8","15,017.7","17,772.4","20,518.9","29,827.5","45,372.3","53,272.7","66,517.5","57,090.3","68,897.2","92,046.8","129,342.9","171,071.2","243,127.8","220,329.5","246,318.5","307,599.7","348,228.3","386,163.5","297,609.1","289,958.3","292,175.2",,,,,,,,,,,,,,,,,,,,,
"Всего10), в процентах  к итогу",,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,
в том числе по видам экономической деятельности:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сельское хозяйство, охота и лесное хозяйство",,,,5.2,3.7,3.1,2.7,3.2,3.3,3.0,4.0,4.6,4.1,4.1,3.9,4.8,5.0,4.6,4.1,3.3,4.1,3.8,3.8,3.7,3.6,4.1,,,,,,,,,,,,,,,,,,,,,
"рыболовство, рыбоводство",,,,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,
добыча полезных ископаемых,,,,12.8,14.2,15.1,15.6,12.1,14.5,18.1,19.0,16.9,15.9,15.4,13.9,14.6,13.8,13.4,13.9,13.8,13.9,14.8,14.9,15.5,17.1,18.4,,,,,,,,,,,,,,,,,,,,,
из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
добыча топливно-энергетических полезных ископаемых,,,,11.7,13.0,14.0,14.5,11.0,13.2,16.7,17.5,15.5,14.4,14.0,12.4,13.3,12.5,12.2,12.8,12.7,12.6,13.1,13.3,14.1,15.6,16.9,,,,,,,,,,,,,,,,,,,,,
"добыча полезных ископаемых, кроме топливно-энергетических",,,,1.1,1.2,1.0,1.1,1.0,1.3,1.4,1.5,1.4,1.5,1.4,1.5,1.3,1.3,1.2,1.1,1.1,1.3,1.7,1.6,1.4,1.5,1.5,,,,,,,,,,,,,,,,,,,,,
обрабатывающие производства,,,,14.5,14.8,14.2,13.6,14.9,18.1,16.3,15.9,15.9,15.6,16.4,16.4,15.6,14.7,14.9,14.2,13.2,12.9,13.4,14.4,15.1,15.6,14.4,,,,,,,,,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"производство пищевых продуктов, включая напитки, и табака",,,,2.7,2.9,2.9,3.2,4.2,5.9,3.8,3.4,3.8,3.8,3.3,3.1,2.7,2.5,2.2,2.0,1.9,1.7,1.7,1.7,1.8,1.8,1.7,,,,,,,,,,,,,,,,,,,,,
текстильное и швейное производство,,,,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,,,,,,,,,,,,,,,,,,,,,
"производство кожи, изделий 
из кожи и производство обуви",,,,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.04,0.03,0.05,0.04,0.03,0.02,0.05,0.1,0.04,0.04,0.1,0.04,0.02,,,,,,,,,,,,,,,,,,,,,
"обработка древесины 
и производство изделий из дерева",,,,0.4,0.5,0.4,0.3,0.4,0.6,0.6,0.4,0.5,0.6,0.6,0.6,0.4,0.4,0.5,0.4,0.3,0.5,0.4,0.4,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
"целлюлозно-бумажное производство; издательская 
и полиграфическая деятельность",,,,0.5,0.6,0.5,0.4,0.5,0.8,0.8,0.6,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
"производство кокса 
и нефтепродуктов ",,,,1.4,1.5,1.4,1.0,1.2,0.9,1.9,1.8,1.8,1.5,1.4,1.4,1.4,1.3,1.4,2.1,2.2,2.2,2.5,3.3,3.5,3.4,2.6,,,,,,,,,,,,,,,,,,,,,
химическое производство,,,,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.4,1.3,1.6,1.7,1.6,1.5,1.3,1.2,1.5,1.7,1.8,1.9,2.5,2.7,,,,,,,,,,,,,,,,,,,,,
"производство резиновых 
и пластмассовых изделий",,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.5,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,,,,,,,,,,,,,,,,,,,,,
производство прочих неметаллических минеральных продуктов,,,,1.0,1.0,0.8,0.8,0.6,0.8,0.8,0.9,1.0,0.9,1.2,1.3,1.1,1.4,1.7,1.4,1.3,1.2,1.2,1.1,1.0,0.8,0.5,,,,,,,,,,,,,,,,,,,,,
"металлургическое производство 
и производство готовых металлических изделий",,,,2.3,2.6,2.4,2.3,2.5,3.0,3.1,3.3,2.7,2.9,3.5,3.8,3.7,3.1,3.3,3.0,2.3,2.2,2.1,1.9,1.8,2.0,2.1,,,,,,,,,,,,,,,,,,,,,
в том числе металлургическое производство,,,,2.2,2.5,2.2,2.1,2.3,2.7,2.8,2.9,2.4,2.5,3.2,3.4,3.4,2.7,3.0,2.7,2.0,1.9,1.8,1.6,1.5,1.7,1.8,,,,,,,,,,,,,,,,,,,,,
производство машин и оборудования,,,,0.7,0.7,0.8,0.7,0.6,0.8,0.8,0.8,0.7,0.7,1.0,0.9,1.0,0.9,0.9,0.7,0.7,0.5,0.6,0.7,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,
"производство электрооборудования, электронного и оптического оборудования",,,,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.6,,,,,,,,,,,,,,,,,,,,,
"производство транспортных средств 
и оборудования",,,,2.1,1.6,1.9,1.7,1.7,1.8,1.4,1.3,1.4,1.3,1.2,0.9,1.0,1.0,1.1,1.2,1.1,1.0,1.1,1.4,1.6,1.6,1.4,,,,,,,,,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"производство автомобилей, прицепов и полуприцепов",,,,1.4,1.0,1.3,1.2,1.2,1.2,0.8,0.7,0.9,0.7,0.7,0.5,0.5,0.6,0.7,0.7,0.6,0.5,0.5,0.7,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,
"производство судов, летательных 
и космических аппаратов и прочих транспортных средств",,,,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,
"производство и распределение электроэнергии, газа и воды",,,,7.5,7.6,8.4,9.5,9.2,6.8,6.0,5.5,5.8,6.6,6.9,6.8,6.3,6.9,7.0,8.6,9.0,9.2,9.3,8.8,8.5,7.1,6.4,,,,,,,,,,,,,,,,,,,,,
строительство,,,,4.8,4.5,5.7,6.2,6.9,6.9,6.4,5.2,5.4,4.9,3.5,3.6,3.7,4.0,4.6,3.6,3.7,3.1,2.8,3.3,3.4,2.9,3.0,,,,,,,,,,,,,,,,,,,,,
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий 
и предметов личного пользования",,,,1.5,2.0,2.1,2.1,2.4,2.3,2.7,2.9,3.6,3.5,3.5,3.6,3.5,4.3,3.7,3.3,3.7,3.1,3.6,3.9,4.0,3.9,4.3,,,,,,,,,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
