,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,
11. ИНВЕСТИЦИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в нефинансовые активы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Структура инвестиций в нефинансовые активы1);2), в процентах к итогу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"инвестиции в здания  (кроме жилых) 
и сооружения",,,,,,,,45.1,41.4,43.1,41.8,41.0,43.5,41.9,40.4,40.9,41.7,42.6,43.7,43.3,43.3,44.2,41.5,40.8,43.7,44.7,,,,,,,,,,,,,,,,,,,,,
"инвестиции в машины, оборудование, транспортные средства",,,,,,,,29.9,36.4,36.6,35.0,37.7,37.1,40.4,41.1,40.5,38.9,37.7,37.2,37.9,37.9,37.6,38.8,36.3,31.5,31.5,,,,,,,,,,,,,,,,,,,,,
прочие инвестиции в основной капитал,,,,,,,,8.7,7.9,9.0,11.8,9.1,6.8,5.8,6.5,6.8,6.4,6.1,6.1,6.6,6.1,6.0,7.2,8.4,9.2,9.1,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором основных фондов (ОКОФ) ОК 013-2014 (СНС 2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Всего, млн руб.",,,,,,,,,,,,,,,,,,,,,,,,,,,"16,027,302.0","17,782,012.3","19,329,038.3","20,393,742.4","23,239,504.0","28,413,875.0","34,038,863.0","39,533,661.0",,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
жилые здания и помещения,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,177,883.8","2,321,912.7","2,792,030.1","2,950,883.9","2,999,271.4","4,025,265.9","4,774,637.4","5,001,591.6",,,,,,,,,,,,,
здания (кроме жилых) и сооружения расходы на улучшение земель,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,013,275.7","7,542,811.2","7,419,964.8","7,641,059.0","8,591,467.3","11,421,634.5","13,735,603.2","16,054,822.7",,,,,,,,,,,,,
"машины, оборудование, транспортные средства",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,406,001.4","6,283,417.5","7,145,010.3","7,573,373.9","9,172,379.2","9,896,950.2","11,502,664.7","13,947,527.3",,,,,,,,,,,,,
объекты интеллектуальной собствености,,,,,,,,,,,,,,,,,,,,,,,,,,,"443,576.2","558,529.5","632,740.3","822,430.5","1,027,091.2","1,316,690.5","1,914,281.6","2,354,494.3",,,,,,,,,,,,,
прочие инвестиции в основной капитал,,,,,,,,,,,,,,,,,,,,,,,,,,,"986,564.9","1,075,341.4","1,339,292.8","1,405,995.1","1,449,294.9","1,753,333.9","2,111,676.1","2,175,225.1",,,,,,,,,,,,,
"Всего, в процентах к итогу",,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
жилые здания и помещения,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,13.1,14.4,14.5,12.9,14.2,14.0,12.6,,,,,,,,,,,,,
здания (кроме жилых) и сооружения расходы на улучшение земель,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,42.4,38.4,37.5,37.0,40.2,40.4,40.6,,,,,,,,,,,,,
"машины, оборудование, транспортные средства",,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,35.3,37.0,37.1,39.5,34.8,33.8,35.3,,,,,,,,,,,,,
объекты интеллектуальной собствености,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.1,3.3,4.0,4.4,4.6,5.6,6.0,,,,,,,,,,,,,
прочие инвестиции в основной капитал,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.1,6.9,6.9,6.2,6.2,6.2,5.5,,,,,,,,,,,,,
Структура инвестиций в основной капитал по формам собственности в фактически действовавших ценах ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Всего7),  млн руб. (до 1998 г. - млрд  руб.) ",,,"27,124.5","108,809.9","266,973.6","375,958.1","408,797.3","407,086.3","670,438.8","1,165,234.2","1,504,712.1","1,762,407.3","2,186,365.2","2,865,013.9","3,611,109.0","4,730,022.9","6,716,222.4","8,781,616.4","7,976,012.8","9,152,096.0","11,035,652.0","12,586,090.4","13,450,238.2","13,902,645.3","13,897,187.7","14,748,846.9","16,027,302.0","17,782,012.3","19,329,038.3","20,393,742.4","23,239,504.0","28,413,875.0","34,038,863.0","39,533,661.0",,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
российская,,,"26,460.8","106,925.8","259,685.3","364,684.4","391,338.1","378,830.3","594,701.0","1,005,409.2","1,285,387.5","1,510,680.7","1,837,840.6","2,389,760.3","2,909,014.6","3,861,335.3","5,580,727.7","7,358,956.2","6,795,581.2","7,886,584.6","9,693,269.7","10,643,554.4","11,540,509.1","11,975,593.3","11,720,541.8","12,251,659.6","13,426,790.9","15,124,699.9","16,538,967.8"," 17,827,361.7   "," 19,988,883.4   ","25,428,476.5"," 31,214,413.7   "," 36,266,517.6   ",,,,,,,,,,,,,
из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
государственная,,,"13,775.1","35,233.9","83,510.7","102,028.0","100,157.6","92,622.2","153,080.4","277,893.8","332,585.4","355,816.0","459,094.8","489,269.1","677,688.0","828,289.4","1,190,776.1","1,589,600.5","1,537,270.0","1,577,058.3","1,861,811.4","2,114,610.0","2,315,524.4","2,069,665.5","2,052,205.2","2,238,045.9","2,309,135.6","2,627,005.7","3,011,498.4"," 3,559,563.5   "," 3,756,823.2   ","4,830,098.9"," 6,088,460.5   "," 6,343,530.9   ",,,,,,,,,,,,,
муниципальная,,,"3,375.7","8,806.6","16,829.1","19,696.0","22,242.5","21,307.5","31,068.4","52,937.2","74,071.9","82,232.1","94,860.7","119,231.3","137,627.1","197,474.6","298,143.9","380,143.1","288,918.3","294,491.6","346,583.4","404,669.3","462,751.5","466,309.9","414,141.2","404,165.5","394,847.8","410,071.2","516,567.6"," 582,245.2   "," 647,304.6   ","795,294.7"," 943,576.0   "," 1,003,451.0   ",,,,,,,,,,,,,
частная,,,"3,275.4","19,897.9","35,682.7","60,305.4","92,630.3","122,629.8","163,648.4","348,292.3","551,255.6","740,869.0","900,765.7","1,331,600.1","1,623,095.3","2,249,609.3","3,336,870.4","4,490,580.6","4,405,436.2","5,213,924.4","5,986,688.0","6,385,469.3","7,252,326.9","7,832,887.8","7,903,220.3","8,240,662.7","9,318,335.2","10,465,594.4","11,580,823.7"," 12,313,914.8   "," 14,307,861.9   ","18,400,108.3"," 22,224,833.6   "," 26,518,650.9   ",,,,,,,,,,,,,
потребительской кооперации,,,,,,,,,,810.4,"1,023.3","1,407.8","1,830.0","2,058.2","2,449.7","2,654.1","3,425.2","3,215.0","2,661.9","2,993.0","2,440.2","2,383.2","2,922.8","3,702.1","2,303.7","1,307.5","1,893.0","1,738.5","1,864.3", 959.0   ," 1,297.1   ","1,674.2"," 1,149.0   ", 653.9   ,,,,,,,,,,,,,
общественных и религиозных организаций (объединений),,,39.6,128.6,363.7,371.0,434.7,387.9,634.4,"1,496.6","1,531.9","1,654.7","1,963.0","2,256.1","2,536.5","3,808.1","5,361.2","7,827.9","5,134.9","3,966.0","3,580.0","4,912.1","4,944.6","11,986.7","9,164.3","5,808.0","6,693.2","8,284.9","9,641.0"," 10,456.4   "," 8,480.2   ","18,774.4"," 20,270.6   "," 4,029.3   ",,,,,,,,,,,,,
смешанная российская,,,"5,995.0","42,858.8","123,299.1","182,284.0","175,873.0","141,882.9","246,269.4","323,978.9","324,919.4","328,701.1","379,326.4","445,345.5","465,618.0","579,499.8","746,151.0","887,588.5","556,159.5","683,027.5","1,311,517.9","1,519,285.4","1,271,382.3","1,350,947.8","1,138,813.6","1,153,929.0","1,202,187.4","1,407,258.2","1,232,343.6"," 1,191,256.2   "," 1,028,987.1   ","1,115,944.1"," 1,496,995.7   "," 1,844,019.3   ",,,,,,,,,,,,,
собственность государственных корпораций,,,,,,,,,,,,,,,,,,,,"111,123.8","180,648.8","212,225.1","230,022.7","238,979.4","200,687.3","207,676.2","193,692.5","204,746.9","186,228.8"," 168,783.8   "," 238,114.2   ","266,581.9"," 439,128.3   "," 552,182.3   ",,,,,,,,,,,,,
иностранная,,,,,,,"4,905.6","10,235.3","23,237.9","17,743.6","35,294.9","63,599.5","89,584.8","196,226.4","298,427.2","367,255.3","476,773.6","655,709.1","545,007.3","537,756.9","665,220.3","1,142,859.8","1,038,124.9","975,810.0","1,147,083.5","1,098,575.5","1,192,421.3","1,171,090.9","1,360,042.8"," 1,153,827.3   "," 1,514,092.9   ","1,015,764.6"," 605,423.4   "," 595,668.6   ",,,,,,,,,,,,,
совместная российская и иностранная,,,663.7,"1,884.1","7,288.3","11,273.7","12,553.6","17,989.1","52,500.1","142,081.4","184,029.7","188,127.1","258,939.8","279,027.2","403,667.2","501,432.3","658,721.1","766,951.2","635,424.2","727,754.5","677,162.0","799,676.2","871,604.2","951,242.0","1,029,562.4","1,398,611.8","1,408,089.7","1,486,221.5","1,430,027.7"," 1,412,553.4   "," 1,736,527.7   ","1,969,633.9"," 2,219,025.9   "," 2,671,474.8   ",,,,,,,,,,,,,
"Всего, в процентах к итогу",,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
российская,,,97.5,98.3,97.3,97.0,95.7,93.1,88.7,86.3,85.5,85.7,84.1,83.4,80.6,81.6,83.1,83.8,85.2,86.2,87.8,84.5,85.8,86.1,84.3,83.1,83.8,85.1,85.6,87.4,86.0,89.5,91.7,91.7,,,,,,,,,,,,,
из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
государственная,,,50.8,32.4,31.3,27.1,24.5,22.8,22.8,23.9,22.1,20.2,21.0,17.1,18.8,17.5,17.7,18.1,19.3,17.2,16.9,16.8,17.2,14.9,14.8,15.2,14.4,14.8,15.6,17.5,16.2,17.0,17.9,16.0,,,,,,,,,,,,,
муниципальная,,,12.4,8.1,6.3,5.3,5.4,5.2,4.7,4.5,4.9,4.7,4.3,4.1,3.8,4.2,4.4,4.3,3.6,3.2,3.1,3.2,3.4,3.4,3.0,2.7,2.5,2.3,2.7,2.9,2.8,2.8,2.8,2.5,,,,,,,,,,,,,
частная,,,12.1,18.3,13.4,16.0,22.7,30.1,24.4,29.9,36.7,42.0,41.2,46.5,44.9,47.5,49.7,51.1,55.2,57,54.2,50.7,53.9,56.3,56.8,55.9,58.1,58.9,59.9,60.4,61.6,64.8,65.3,67.1,,,,,,,,,,,,,
потребительской кооперации,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.04,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.05,0.0,,,,,,,,,,,,,
общественных и религиозных организаций (объединений),,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.04,0.03,0.04,0.04,0.1,0.1,0.04,0.04,0.05,0.05,0.05,0.04,0.1,0.1,0.01,,,,,,,,,,,,,
смешанная российская,,,22.1,39.4,46.2,48.5,43.0,34.9,36.7,27.8,21.6,18.6,17.4,15.5,12.9,12.2,11.1,10.1,7.0,7.5,11.9,12.1,9.5,9.7,8.2,7.8,7.5,7.9,6.4,5.8,4.4,3.9,4.4,4.7,,,,,,,,,,,,,
собственность государственных корпораций,,,,,,,,,,,,,,,,,,,,1.2,1.6,1.7,1.7,1.7,1.4,1.4,1.2,1.2,1.0,0.8,1.0,0.9,1.2,1.4,,,,,,,,,,,,,
иностранная,,,,,,,1.2,2.5,3.5,1.5,2.3,3.6,4.1,6.9,8.2,7.8,7.1,7.5,6.8,5.9,6.0,9.1,7.7,7.0,8.3,7.4,7.4,6.6,7.0,5.7,6.5,3.6,1.8,1.5,,,,,,,,,,,,,
совместная российская и иностранная,,,2.5,1.7,2.7,3.0,3.1,4.4,7.8,12.2,12.2,10.7,11.8,9.7,11.2,10.6,9.8,8.7,8.0,7.9,6.2,6.4,6.5,6.9,7.4,9.5,8.8,8.3,7.4,6.9,7.5,6.9,6.5,6.8,,,,,,,,,,,,,
Структура инвестиций в основной капитал по источникам финансирования в фактически действовавших ценах,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Всего1);8),  млн руб. (до 1998 г. - млрд  руб.) ",,"2,670.2","27,124.5","108,809.9","266,973.6","375,958.1","408,797.3","319,573.8","582,167.3","1,053,694.9","1,335,849.7","1,455,723.1","1,824,885.5","2,246,751.6","2,893,237.7","3,808,968.1","5,217,191.8","6,705,509.9","6,040,845.7","6,624,988.0","8,445,193.7","9,595,721.2","10,065,735.2","10,379,660.2","10,496,342.7","11,282,489.3","12,262,182.6","13,640,741.0","14,725,399.0","15,437,572.6","17,708,364.6","21,847,604.6","26,852,831.3","32,127,267.5",,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
собственные средства,,,,,"130,940.8","196,558.0","248,587.3","170,044.8","304,927.8","500,556.5","660,291.2","654,597.0","825,105.8","1,020,814.5","1,287,191.4","1,603,571.5","2,105,046.0","2,648,612.2","2,243,277.2","2,714,965.2","3,539,480.0","4,274,644.8","4,549,936.9","4,742,314.4","5,271,134.5","5,750,670.3","6,290,652.4","7,229,466.7","8,099,074.3","8,525,052.7","9,911,802.3","11,603,772.5","14,421,253.6","17,799,610.5",,,,,,,,,,,,,
привлеченные средства,,,,,"136,032.8","179,400.0","160,210.0","149,529.0","277,239.5","553,138.4","675,558.5","801,126.1","999,779.7","1,225,937.1","1,606,046.3","2,205,396.6","3,112,145.8","4,056,897.7","3,797,568.5","3,910,022.8","4,905,713.7","5,321,076.4","5,515,798.3","5,637,345.8","5,225,208.2","5,531,819.0","5,971,530.2","6,411,274.2","6,626,324.7","6,912,520.0","7,796,562.3","10,243,832.1","12,431,577.7","14,327,657.0",,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
кредиты банков,,,,,,,,"15,247.6","24,460.3","30,623.1","58,582.1","85,183.6","116,275.6","176,542.8","235,648.9","364,159.3","543,980.9","791,882.0","621,552.0","595,835.2","725,686.5","806,284.9","1,003,609.7","1,098,743.0","849,879.1","1,174,546.8","1,370,083.4","1,531,128.9","1,435,763.2","1,529,481.8","1,952,575.1","2,236,377.4","2,656,809.5","3,947,253.4",,,,,,,,,,,,,
