,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. НАСЕЛЕНИЕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Численность и состав населения на конец соответствующего года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Численность населения, тыс.человек","148,514.7","148,561.7","148,355.9","148,459.9","148,291.6","148,028.6","147,802.1","147,539.4","146,890.1","146,303.6","145,649.3","144,963.6","144,333.6","143,801.0","143,236.6","142,862.7","142,747.5","142,737.2","142,833.5","142,865.4","143,171.0","143,585.9","144,025.3","146,744.0","147,182.3","147,580.0","147,797.1","147,840.7","147,959.3","147,455.7","146,980.1","146,447.4","146,150.8",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Численность городского населения, тыс.человек","109,357.7","108,668.4","108,304.8","108,321.7","108,310.6","108,187.8","108,110.8","108,053.2","107,419.5","107,071.7","106,725.3","106,321.2","106,039.5","105,182.1","104,818.6","104,731.7","104,865.1","104,915.5","105,061.4","105,421.2","105,860.7","106,356.1","106,949.8","108,820.7","109,315.0","109,776.3","110,096.4","110,295.4","110,541.8","110,220.8","109,982.4","109,655.5","109,526.9",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Численность сельского населения, тыс.человек",39157.0,39893.3,"40,051.1","40,138.2","39,981.0","39,840.8","39,691.3","39,486.2","39,470.6","39,231.9","38,924.0","38,642.4","38,294.1","38,618.9","38,418.0","38,131.0","37,882.4","37,821.7","37,772.1","37,444.2","37,310.3","37,229.8","37,075.5","37,923.3","37,867.3","37,803.7","37,700.7","37,545.3","37,417.5","37,234.9","36,997.7","36,791.9","36,623.9",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Численность мужчин, человек","69,599,904","69,662,391","69,585,409","69,659,152","69,517,865","69,345,748","69,210,709","69,058,759","68,698,284","68,338,955","67,921,974","67,490,662","67,071,499","66,696,221","66,301,704","66,051,745","65,975,847","65,960,828","66,015,883","66,050,255","66,235,486","66,477,407","66,731,779","68,017,915","68,223,758","68,442,150","68,589,452","68,638,602","68,739,894","68,503,260","68,378,428","68,092,712","67,917,353",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Численность женщин, человек","78,914,788","78,899,303","78,770,458","78,800,785","78,773,773","78,682,865","78,591,424","78,480,667","78,191,844","77,964,656","77,727,360","77,472,988","77,262,087","77,104,825","76,934,878","76,810,947","76,771,688","76,776,368","76,817,619","76,815,178","76,935,464","77,108,528","77,293,555","78,726,074","78,958,558","79,137,859","79,207,619","79,202,094","79,219,390","78,952,485","78,601,633","78,354,712","78,233,436",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Численность мужчин 
в возрасте, лет:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,"5,446,527","5,017,457","4,559,209","4,235,159","3,924,656","3,681,160","3,497,983","3,430,767","3,318,535","3,264,689","3,260,493","3,314,496","3,414,687","3,546,945","3,622,961","3,707,465","3,810,558","3,931,448","4,057,142","4,126,534","4,297,167","4,461,723","4,569,578","4,756,165","4,875,671","4,913,846","4,794,183","4,638,184","4,408,915","4,142,042","3,896,692","3,703,931","3,532,537",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-9,"6,149,155","6,241,378","6,188,887","6,091,339","5,923,274","5,583,814","5,154,773","4,688,617","4,307,568","3,971,061","3,713,738","3,515,513","3,457,812","3,368,158","3,334,938","3,331,459","3,401,897","3,476,868","3,583,573","3,642,979","3,723,268","3,818,209","3,924,460","4,103,816","4,227,815","4,405,727","4,575,251","4,684,562","4,799,960","4,895,631","4,938,239","4,820,359","4,669,547",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-14,"5,538,423","5,664,210","5,851,726","6,024,067","6,147,537","6,312,688","6,405,519","6,340,242","6,200,802","6,010,733","5,653,874","5,211,905","4,758,819","4,392,623","4,043,602","3,803,921","3,607,027","3,524,808","3,416,154","3,381,634","3,380,679","3,470,933","3,562,956","3,714,749","3,766,964","3,834,116","3,909,620","4,009,806","4,133,950","4,264,154","4,446,384","4,613,032","4,724,008",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-19 ,"5,269,518","5,307,692","5,402,735","5,495,469","5,580,853","5,633,962","5,787,588","5,995,073","6,167,206","6,266,381","6,440,121","6,501,078","6,364,426","6,192,247","6,010,532","5,695,481","5,308,668","4,893,025","4,505,137","4,201,550","3,893,446","3,665,497","3,578,425","3,547,135","3,536,843","3,535,997","3,649,748","3,749,382","3,828,886","3,839,974","3,894,579","3,936,267","4,018,219",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24,"4,889,311","4,998,953","5,113,925","5,235,269","5,285,365","5,363,911","5,383,145","5,463,583","5,514,200","5,600,087","5,664,960","5,832,922","5,993,146","6,094,935","6,097,002","6,193,537","6,277,287","6,246,508","6,239,062","6,147,588","5,888,334","5,497,161","5,047,819","4,692,770","4,261,613","3,990,958","3,782,016","3,702,517","3,670,535","3,661,948","3,685,997","3,770,685","3,850,048",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,"5,440,228","5,119,166","4,884,267","4,830,118","4,868,797","4,929,390","5,062,877","5,148,655","5,230,457","5,264,663","5,318,219","5,325,226","5,395,260","5,433,194","5,521,581","5,563,316","5,687,119","5,853,400","5,978,725","6,025,799","6,199,273","6,327,873","6,317,621","6,381,000","6,261,770","5,950,314","5,535,599","5,071,728","4,643,742","4,233,949","4,028,200","3,820,384","3,749,371",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,"6,556,704","6,458,807","6,298,305","6,070,265","5,735,040","5,420,698","5,130,846","4,908,723","4,798,907","4,816,963","4,839,237","4,945,263","5,001,348","5,087,641","5,109,978","5,169,349","5,198,365","5,274,785","5,337,300","5,454,429","5,524,536","5,661,528","5,828,609","6,047,947","6,104,320","6,279,857","6,405,799","6,384,335","6,365,039","6,233,327","5,912,581","5,475,622","5,022,282",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39 ,"6,128,079","6,205,862","6,320,936","6,355,754","6,405,759","6,420,374","6,350,039","6,202,561","5,951,182","5,596,376","5,279,562","4,975,839","4,750,555","4,627,583","4,635,143","4,664,217","4,768,677","4,851,048","4,956,648","4,989,947","5,073,324","5,114,844","5,205,103","5,356,341","5,489,322","5,539,185","5,680,418","5,834,723","5,961,829","6,020,692","6,223,603","6,320,415","6,291,538",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44 ,"5,303,833","5,507,884","5,661,510","5,730,930","5,813,900","5,875,295","5,949,202","6,067,277","6,076,125","6,156,051","6,147,718","6,056,473","5,889,012","5,632,278","5,272,285","4,977,391","4,726,351","4,539,034","4,448,744","4,480,833","4,540,605","4,656,010","4,742,548","4,910,650","4,944,076","5,038,458","5,070,412","5,165,727","5,247,403","5,387,105","5,429,391","5,550,631","5,683,625",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49,"2,664,003","3,020,879","3,558,582","4,245,290","4,760,335","4,985,684","5,181,826","5,325,653","5,375,750","5,434,822","5,480,544","5,517,316","5,612,046","5,614,245","5,695,710","5,704,544","5,629,998","5,495,452","5,291,799","4,988,749","4,743,368","4,527,000","4,379,930","4,382,002","4,427,286","4,479,497","4,594,347","4,647,355","4,742,105","4,767,958","4,876,226","4,885,500","4,977,371",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54 ,"4,801,716","4,247,759","3,533,478","2,886,617","2,471,571","2,431,361","2,763,034","3,262,764","3,887,339","4,361,757","4,543,554","4,687,715","4,787,243","4,828,820","4,879,531","4,937,828","5,009,902","5,120,197","5,152,105","5,263,733","5,311,126","5,260,529","5,164,011","5,059,630","4,789,682","4,566,481","4,371,016","4,236,506","4,200,879","4,240,858","4,285,670","4,383,190","4,412,102",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59,"3,458,853","3,699,809","4,022,646","4,293,106","4,328,585","4,240,172","3,747,439","3,126,175","2,555,406","2,183,553","2,150,506","2,424,710","2,853,281","3,405,963","3,831,421","4,017,243","4,151,779","4,249,147","4,299,229","4,368,009","4,454,118","4,547,909","4,692,847","4,829,675","4,961,254","4,993,423","4,954,034","4,858,462","4,686,264","4,434,362","4,233,929","4,050,690","3,938,721",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64,"3,644,502","3,525,242","3,242,103","2,972,249","2,871,956","2,920,843","3,127,075","3,416,853","3,652,365","3,679,487","3,579,476","3,128,676","2,581,214","2,106,136","1,807,533","1,815,235","2,084,624","2,457,075","2,932,747","3,301,893","3,473,143","3,609,808","3,722,732","3,870,830","3,964,965","4,070,222","4,160,413","4,299,280","4,365,477","4,470,349","4,461,925","4,417,346","4,336,949",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65-69,"2,024,492","2,356,510","2,629,152","2,808,041","2,916,694","2,877,470","2,779,367","2,560,611","2,365,777","2,278,020","2,318,594","2,468,939","2,678,180","2,862,519","2,889,439","2,821,871","2,472,718","2,053,289","1,685,842","1,461,482","1,489,859","1,730,051","2,054,039","2,510,289","2,842,921","3,001,081","3,140,302","3,252,097","3,338,605","3,408,508","3,482,962","3,544,724","3,666,166",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70 и более,"2,284,560","2,290,783","2,317,948","2,385,479","2,483,543","2,668,926","2,889,996","3,121,205","3,296,665","3,454,312","3,531,378","3,584,591","3,534,470","3,502,934","3,550,048","3,648,888","3,840,877","3,994,744","4,131,676","4,215,096","4,243,240","4,128,332","3,941,101","3,854,916","3,769,256","3,842,988","3,966,294","4,103,938","4,346,305","4,502,403","4,582,050","4,799,936","5,044,869",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Численность женщин 
в возрасте, лет: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,"5,212,812","4,786,805","4,336,911","4,023,908","3,733,038","3,502,356","3,330,149","3,266,107","3,157,170","3,101,802","3,101,333","3,157,086","3,245,120","3,369,138","3,443,147","3,526,186","3,622,499","3,739,745","3,859,278","3,924,024","4,078,022","4,226,252","4,319,355","4,488,379","4,602,163","4,638,423","4,526,801","4,373,879","4,158,569","3,903,780","3,671,064","3,491,374","3,331,730",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-9,"5,940,759","6,021,139","5,962,824","5,852,113","5,681,011","5,346,458","4,927,312","4,471,727","4,108,537","3,790,843","3,548,286","3,360,621","3,303,599","3,215,273","3,176,385","3,171,172","3,236,110","3,305,947","3,409,444","3,474,117","3,545,941","3,633,120","3,734,812","3,900,438","4,010,716","4,175,294","4,328,093","4,424,898","4,529,074","4,623,366","4,663,266","4,552,910","4,404,331",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-14,"5,382,628","5,494,641","5,668,797","5,823,300","5,936,770","6,092,359","6,181,003","6,118,001","5,973,192","5,777,856","5,423,873","4,994,130","4,555,284","4,211,404","3,896,756","3,654,008","3,449,224","3,366,486","3,261,272","3,219,842","3,214,194","3,289,145","3,366,528","3,508,129","3,560,932","3,628,171","3,706,905","3,804,910","3,920,772","4,037,366","4,206,887","4,359,182","4,460,664",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-19,"5,142,815","5,177,118","5,258,348","5,335,467","5,416,208","5,472,462","5,610,607","5,797,995","5,959,373","6,055,498","6,226,561","6,294,515","6,179,089","6,019,563","5,841,804","5,548,351","5,176,387","4,757,418","4,392,725","4,035,774","3,742,875","3,515,737","3,426,855","3,386,889","3,359,691","3,342,332","3,426,273","3,505,556","3,577,216","3,598,663","3,655,480","3,726,423","3,824,877",***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
