,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"торговля автотранспортными средствами и мотоциклами, 
их техническое обслуживание 
и ремонт",,,,,,,,,,,,,,,"1,211.7","1,837.4","2,788.4","3,540.8","2,191.4","3,173.6","4,629.5","5,246.8","5,779.4","6,781.3","6,172.0","6,478.1",,,,,,,,
"через агентов, кроме торговли автотранспортными средствами и мотоциклами",,,,,,,,,,,,,,,"10,251.7","14,651.9","18,948.8","24,273.6","20,805.1","23,848.6","29,099.3","33,928.3","29,556.7","35,206.8","39,264.0","38,159.0",,,,,,,,
"розничная торговля, кроме торговли автотранспортными средствами и мотоциклами; ремонт бытовых изделий 
и предметов личного пользования",,,,,,,,,,,,,,,"2,659.7","3,127.3","4,371.4","4,528.5","5,184.5","6,337.6","7,492.8","7,869.3","8,536.2","9,935.3","10,926.4","11,944.0",,,,,,,,
гостиницы и рестораны,,,,,,,,,,,,,,,182.6,222.7,294.9,370.0,359.1,434.3,523.9,684.6,849.8,873.6,925.8,"1,003.6",,,,,,,,
транспорт и связь,,,,,,,,,,,,,,,"3,055.1","3,702.3","4,538.0","5,668.5","6,061.6","6,628.2","7,637.7","8,771.2","9,388.3","10,006.9","10,965.2","11,685.4",,,,,,,,
из них связь,,,,,,,,,,,,,,,743.0,885.1,"1,167.1","1,318.0","1,539.1","1,521.8","1,603.8","1,757.4","1,831.4","1,859.3","1,893.7","1,920.5",,,,,,,,
"операции с недвижимым имуществом, аренда 
и предоставление услуг",,,,,,,,,,,,,,,"1,527.3","1,885.2","2,570.7","3,705.5","3,654.4","4,214.4","4,959.0","5,506.2","6,264.8","7,246.0","8,687.5","10,317.9",,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
управление эксплуатацией жилого фонда2),,,,,,,,,,,,,,,173.1,192.5,221.2,210.9,239.2,276.9,296.6,307.1,314.8,320.1,321.7,392.3,,,,,,,,
"научные исследования 
и разработки",,,,,,,,,,,,,,,381.0,460.4,607.7,719.5,778.4,894.3,"1,037.3","1,119.3","1,380.4","1,475.3","1,584.6","1,801.1",,,,,,,,
"государственное управление 
и обеспечение военной безопасности; обязательное социальное обеспечение",,,,,,,,,,,,,,,39.9,42.7,54.5,69.8,74.5,83.1,91.6,91.2,100.1,117.5,131.8,123.3,,,,,,,,
образование,,,,,,,,,,,,,,,125.7,158.5,193.8,227.8,247.7,271.1,310.2,344.2,354.3,387.9,430.6,479.5,,,,,,,,
здравоохранение и предоставление социальных услуг,,,,,,,,,,,,,,,126.4,156.1,199.7,237.4,291.4,311.5,367.1,437.1,685.3,"1,508.0","1,920.1","2,014.4",,,,,,,,
"предоставление прочих коммунальных, социальных 
и персональных услуг",,,,,,,,,,,,,,,298.5,414.0,699.9,551.8,425.7,486.0,541.2,558.0,630.0,685.4,738.3,857.4,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Всего3),,,,,,,,,,,,,,,,,,,,,,,,,,,"158,778.0","191,813.3","201,315.5","207,561.7","270,702.1","291 216, 6","319,578.6","370,697.4"
в том числе по видам экономической деятельности:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сельское, лесное хозяйство, охота, рыболовство и рыбоводство",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,720.4","3,160.7","3,418.0","3,923.6","4,566.3","4,995.5","5,550.7","6,253.6"
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"растениеводство 
и живодноводство, охота 
и предоставление соответствующих услуг в этих областях",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,199.1","2,596.2","2,811.9","3,272.8","3,753.7","4,142.5","4,637.5","5,283.4"
лесоводство и лесозаготовки,,,,,,,,,,,,,,,,,,,,,,,,,,,211.1,225.4,237.0,260.2,300.3,301.4,260.4,306.2
рыболовствои рыбоводство,,,,,,,,,,,,,,,,,,,,,,,,,,,310.1,339.1,369.2,390.6,512.3,551.7,652.8,664.0
добыча полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,708.3","17,998.2","18,134.9","15,256.5","24,718.3","28,599.6","29,087.4","33,668.4"
 из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
добыча угля,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,324.9","1,717.4","1,421.4","1,198.2","2,295.1","2,934.6","2,333.4","2,007.2"
"добыча нефти 
и природного газа",,,,,,,,,,,,,,,,,,,,,,,,,,,"9,064.6","12,560.0","12,453.7","9,385.3","16,172.0","18,686.4","20,047.5","23,856.9"
добыча металлических руд,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,071.5","1,251.2","1,569.9","1,908.1","2,669.7","2,233.7","2,705.8","3,330.6"
добыча прочих полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,,,,571.7,631.9,599.0,546.5,716.4,765.7,855.6,972.1
обрабатывающие производства,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,502.2","48,639.2","49,196.4","48,977.5","65,120.0","69,606.7","79,586.4","94,804.0"
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
производство пищевых продуктов,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,918.0","5,331.6","5,681.7","6,309.8","7,638.7","9,152.4","9,934.5","11,571.1"
производство напитков,,,,,,,,,,,,,,,,,,,,,,,,,,,780.8,837.6,936.6,880.8,"1,027.4","1,205.4","1,320.2","1,606.7"
производство табачных изделий,,,,,,,,,,,,,,,,,,,,,,,,,,,216.4,243.8,242.6,293.3,321.0,283.6,318.2,375.4
производство текстильных изделий,,,,,,,,,,,,,,,,,,,,,,,,,,,194.5,237.2,259.1,285.7,339.1,448.6,475.2,579.4
производство одежды,,,,,,,,,,,,,,,,,,,,,,,,,,,206.9,230.3,252.3,280.9,295.9,421.1,528.4,694.1
"производство кожи, и изделий из кожи ",,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,74.6,80.5,67.6,82.8,98.1,135.1,136.9
"обработка древесины 
и производство изделий 
из дерева и пробки, кроме мебели, производство изделий из соломки и материалов 
для плетения",,,,,,,,,,,,,,,,,,,,,,,,,,,529.8,625.4,651.1,724.9,"1,103.1",946.1,933.9,"1,104.2"
"производство бумаги 
и бумажных изделий ",,,,,,,,,,,,,,,,,,,,,,,,,,,913.2,"1,058.8","1,054.5","1,099.6","1,328.7","1,406.2","1,415.4","1,682.3"
деятельность полиграфическая и копирование носителей информации,,,,,,,,,,,,,,,,,,,,,,,,,,,231.1,315.0,314.0,288.0,325.5,393.9,437.8,463.3
"производство кокса 
и нефтепродуктов",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,710.3","14,771.5","13,274.8","10,117.1","15,281.8","16,653.3","18,765.0","21,432.1"
производство химических веществ и химических продуктов,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,508.4","3,038.7","3,067.8","3,208.0","4,779.0","5,490.0","6,371.7","7,348.7"
"производство лекарственных средств  
и материалов, применяемых 
в  медицинских целях и ветеринарии",,,,,,,,,,,,,,,,,,,,,,,,,,,485.2,549.4,635.1,953.0,"1,392.1","1,375.6","1,425.7","1,776.2"
"производство резиновых 
и пластмассовых изделий",,,,,,,,,,,,,,,,,,,,,,,,,,,978.4,"1,101.7","1,128.9","1,315.5","1,832.3","1,952.4","2,193.8","2,618.9"
производство прочей неметаллической  минеральной продукции,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,379.9","1,552.6","1,662.0","1,813.3","2,178.5","2,640.8","2,875.5","3,374.9"
производство металлургическое,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,243.5","6,363.5","6,733.2","7,814.6","10,785.9","11,009.1","12,056.9","13,024.4"
"производство готовых металлических изделий, кроме машин и оборудования",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,269.5","2,308.3","2,727.3","2,839.1","3,262.2","3,865.6","5,062.3","7,049.1"
"производство компьютеров, электронных и оптических изделий",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,234.7","1,325.5","1,457.9","1,539.0","1,874.5","1,907.3","2,441.7","3,728.5"
производство электрического оборудования,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,001.3","1,103.9","1,103.2","1,200.2","1,396.0","1,587.3","2,030.3","2,464.5"
"производство машин 
и оборудования, 
не включенных в другие группировки",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,316.7","1,413.7","1,417.3","1,504.1","1,872.9","2,090.4","2,573.2","3,126.5"
"производство автотранспортных средств, прицепов и полуприцепов",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,243.4","2,747.5","2,890.6","2,743.8","3,466.5","2,069.2","2,627.2","3,435.6"
"производство прочих транспортных средств 
и оборудования",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,839.1","2,011.0","2,076.9","2,097.6","2,545.3","2,457.8","3,186.6","3,973.0"
производство мебели,,,,,,,,,,,,,,,,,,,,,,,,,,,222.4,244.1,266.5,278.2,406.3,425.5,465.8,600.5
производство прочих готовых изделий,,,,,,,,,,,,,,,,,,,,,,,,,,,187.4,209.6,249.7,274.3,320.1,374.0,452.2,542.4
"обеспечение электрической энергией, газом, паром; кондиционирование воздуха",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,995.8","9,783.9","9,985.3","10,055.5","11,466.7","11,884.1","13,145.4","14,412.4"
"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность 
по ликвидации загрязнений",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,008.4","1,177.5","1,198.8","1,365.8","1,784.9","1,831.8","2,072.1","2,349.9"
строительство,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,796.2","7,424.8","7,617.6","8,875.5","10,891.9","11,802.0","13,451.5","14,742.2"
"торговля оптовая и розничная; ремонт автотранспортных средств 
и мотоциклов ",,,,,,,,,,,,,,,,,,,,,,,,,,,"57,830.4","72,321.2","78,252.0","85,175.7","107,233.9","114,080.8","120,654.6","138,505.2"
транспортировка и хранение,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,870.7","12,243.1","13,476.5","12,679.2","15,678.6","18,159.6","20,736.1","24,288.4"
"деятельность гостиниц 
и предприятий общественного питания",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,137.6","1,275.1","1,372.5","1,147.1","1,968.8","1,963.1","2,385.2","2,895.2"
деятельность в области  информации и связи,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,437.6","3,989.9","4,228.1","4,733.4","6,242.4","7,037.4","8,454.9","10,889.5"
"деятельность по операциям 
с нежвижимым имуществом",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,356.6","2,994.5","3,087.1","3,228.2","4,362.1","4,325.6","4,702.9","5,359.7"
"деятельность профессиональная, научная и техническая",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,826.9","5,560.2","5,333.8","5,788.5","8,174.3","8,361.9","9,934.5","11,499.3"
"деятельность административная 
и сопутствующие дополнительные услуги",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,234.0","1,322.3","1,517.4","1,847.0","2,429.4","2,582.4","3,206.6","4,412.8"
"государственное управление 
и обеспечение военной безопасности;  социальное обеспечение",,,,,,,,,,,,,,,,,,,,,,,,,,,124.8,124.1,132.5,149.2,130.1,155.0,140.3,147.6
образование,,,,,,,,,,,,,,,,,,,,,,,,,,,534.2,562.7,613.2,563.6,722.4,791.5,863.4,984.9
деятельность в области здравоохранения и социальных услуг,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,157.0","2,650.9","2,984.1","3,202.8","4,113.0","3,983.1","4,387.1","3,848.9"
предоставление прочих видов услуг,,,,,,,,,,,,,,,,,,,,,,,,,,,286.1,291.0,434.5,238.3,485.6,423.1,473.9,527.3
___________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  По основному виду деятельности организаций без учета деятельности финансовых организаций.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Без субъектов малого предпринимательства.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) Без учета деятельности финансовых организаций.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Малое предпринимательство1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Средняя численность работников (включая внешних совместителей и работающих по договорам гражданско-правового характера) малых предприятий  (включая микропредприятия) , тыс.чел.",,,,,,,,,,,,,,,,,,,"11,279.9","11,149.0","11,480.4","11,683.9","11,695.7","11,744.2","11,330.7","11,040.1","11,986.3","11,819.8","11,340.5","11,074.3","10,652.4","10,587.1","10,772.6","10,894.1"
"Оборот малых предприятий (включая микропредприятия)2), млрд руб.",,,,,,,,,,,,,,,,,,,"16,447.3","18,933.8","22,610.2","23,463.7","24,781.6","26,392.2","44,124.2","38,877.0","48,459.2","53,314.2","52,963.9","56,093.5","57,197.2","60,946.7","67,024.6","78,636.5"
_______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1)  За 2009 и 2011 гг. - по данным выборочных обследований с учетом пересчета на основе итогов сплошного наблюдения; за 2010, 2015, 2020 гг. по данным сплошного наблюдения за деятельностью субъектов малого и среднего предпринимательства; за 2012 - 2014 , 2016-2019, 2021-2024 гг. по данным  выборочных обследований малых и микропредприятий. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) За 2010, 2015, 2020 гг. данные приведены по итогам сплошного наблюдения за деятельностью субъектов малого и среднего предпринимательства по показателю «Выручка от реализации товаров (работ, услуг) (без НДС и акцизов)».",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
