,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"операции с недвижимым имуществом, аренда 
и предоставление услуг",,,,,,,,,,,,,"544,496","614,230","689,787","658,983","709,520","775,439","834,584","864,045","892,773","913,802","924,874","948,368","985,322","961,278",,,,,,,,
"государственное управление 
и обеспечение военной безопасности;  социальное страхование",,,,,,,,,,,,,"80,601","83,400","93,261","100,455","99,795","100,266","98,498","94,743","91,575","88,455","94,841","96,131","96,081","96,317",,,,,,,,
образование,,,,,,,,,,,,,"167,771","170,857","171,874","167,525","166,202","165,175","163,647","160,403","158,158","156,344","152,719","149,408","146,569","141,726",,,,,,,,
"здравоохранение 
и предоставление социальных услуг",,,,,,,,,,,,,"67,467","72,570","75,760","73,263","75,305","75,003","77,885","78,199","80,038","80,810","81,476","83,232","85,997","85,893",,,,,,,,
"предоставление прочих коммунальных, социальных 
и персональных услуг",,,,,,,,,,,,,"324,801","333,916","346,596","338,105","322,324","315,739","314,997","290,876","290,672","291,713","292,957","294,995","298,860","291,077",,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сельское, лесное хозяйство, охота, рыболовство и рыбоводство",,,,,,,,,,,,,,,,,,,,,,,,,,,"129,360","115,405","102,915","95,342","91,207","88,627","86,453","84,590"
добыча полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,641","17,161","16,894","16,720","16,901","17,025","17,308","17,657"
 из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
добыча угля,,,,,,,,,,,,,,,,,,,,,,,,,,,874,811,783,711,673,636,621,639
"добыча нефти 
и природного газа",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,698","1,462","1,323","1,209","1,122","1,098","1,057","1,038"
добыча металлических руд,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,106","3,241","3,528","3,832","4,240","4,418","4,567","4,734"
добыча прочих полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,446","8,342","8,137","8,011","8,001","8,107","8,285","8,472"
обрабатывающие производства,,,,,,,,,,,,,,,,,,,,,,,,,,,"331,588","309,846","286,569","265,967","254,976","252,209","254,175","257,794"
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
производство пищевых продуктов,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,042","37,392","34,765","32,297","30,800","30,329","30,329","30,556"
производство напитков,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,630","6,490","6,252","6,012","5,841","5,681","5,638","5,540"
производство табачных изделий,,,,,,,,,,,,,,,,,,,,,,,,,,,228,247,328,348,311,311,309,265
производство текстильных изделий,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,276","6,740","6,144","5,653","5,512","5,382","5,470","5,476"
