,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
9. ТУРИЗМ И ОТДЫХ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Число коллективных средств размещения1),,,,,,,,,,"9,058","8,915","8,581","8,517","8,620","9,269","9,865","10,436","11,258","12,388","12,585","13,062","14,019","14,583","15,590","20,135","20,534","25,292","28,074","28,302","27,328","28,979","29,547","31,488","33,142",,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,"9,655","9,839","10,210","10,491","10,628","11,674","12,080",,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гостиницы и аналогичные средства размещения2),,,,,,,,,,"4,182","4,120","3,872","3,915","4,041","4,812","5,375","5,917","6,774","7,410","7,866","8,416","9,316","9,869","10,714","13,957","15,368","18,753","21,302","21,312","20,410","21,575","21,981","23,454","24,353",,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,"5,621","5,953","6,357","6,706","6,998","7,898","8,391",,,,,,,,,,,
санаторно-курортные организации3),,,,,,,,,,"2,409","2,416","2,347","2,259","2,233","2,173","2,148","2,118","2,147","1,997","1,945","1,959","1,905","1,840","1,905","1,878","1,832","1,803","1,755","1,777","1,752","1,768","1,742","1,740","1,708",,
организации отдыха3);4),,,,,,,,,,"2,467","2,379","2,362","2,343","2,346","2,284","2,342","2,401","2,337","2,037","1,941","1,894","1,880","1,790","1,871","1,811","3,334","4,736","5,017","5,213","5,166","5,636","5,824","6,294","7,081",,
"Число мест в коллективных средствах размещения1), тыс.",,,,,,,,,,"1,100.5","1,098.4","1,097.4","1,138.0","1,140.9","1,165.5","1,186.5","1,190.2","1,247.2","1,248.1","1,263.2","1,294.4","1,345.0","1,386.8","1,573.3","1,762.6","1,848.1","2,167.9","2,415.3","2,495.7","2,473.0","2,634.4","2,760.1","2,997.9","3,186.0",,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,"1,122.5","1,132.0","1,161.6","1,175.6","1,200.5","1,386.9","1,383.9",,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гостиницы и аналогичные средства размещения2),,,,,,,,,,346.1,338.4,343.3,350.0,344.4,404.4,429.2,447.1,498.4,487.4,529.6,571.2,617.8,675.5,814.9,923.0,"1,046.0","1,137.3","1,299.5","1,348.0","1,361.7","1,486.6","1,592.6","1,799.0","1,943.3",,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,417.8,457.8,495.3,515.9,565.1,697.9,703.9,,,,,,,,,,,
санаторно-курортные организации3),,,,,,,,,,395.4,409.5,427.1,437.6,435.0,431.7,441.5,432.7,445.9,428.3,422.9,424.7,420.0,407.4,443.4,447.0,446.0,428.8,434.1,437.5,438.9,444.5,442.2,450.8,447.2,,
организации отдыха 3);4),,,,,,,,,,359.1,350.5,327.0,350.4,361.5,329.5,315.8,310.4,302.9,276.5,251.2,241.6,239.7,228.0,245.7,233.1,356.2,601.8,681.7,710.2,672.3,703.4,725.3,748.1,795.6,,
"Число номеров в коллективных средствах размешения, тыс.1)",,,,,,,,,,472.1,470.2,442.2,448.4,469.5,486.6,497.3,506.8,539.6,555.3,555.7,560.1,585.7,600.3,670.8,770.4,794.8,884.3,975.6,992.6,977.4,1027.0,"1,058.7","1,117.4","1,151.8",,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,499.0,496.8,504.8,513.3,520.8,593.1,609.2,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гостиницы и аналогичные средства размещения2),,,,,,,,,,183.4,179.3,176.4,177.0,178.6,200.6,208.3,219.4,247.5,249.2,260.2,277.9,300.6,319.1,371.8,433.0,481.7,507.8,584.5,592.7,582.9,619.9,649.6,704.7,726.8,,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,214.8,229.8,243.4,255.0,269.4,321.7,338.0,,,,,,,,,,,
санаторно-курортные организации3),,,,,,,,,,160.9,168.4,169.7,169.3,171.9,172.6,176.5,176.8,182.8,185.3,176.7,177.7,175.4,172.6,190.1,192.3,192.5,187.4,186.4,189.5,191.5,192.2,191.5,190.7,189.0,,
организации отдыха 3);4),,,,,,,,,,127.7,122.5,96.1,102.2,118.9,113.4,112.5,110.5,109.4,98.9,90.4,83.7,83.0,78.8,81.2,79.0,120.6,189.1,204.7,210.4,203.1,214.9,217.6,222.0,235.9,,
"Число ночевок в коллективных средствах размещения1), млн",,,,,,,,,,166.9,163.4,158.2,151.0,154.6,167.4,172.0,172.3,177.9,162.8,163.0,166.2,173.6,172.6,184.0,212.2,216.8,253.0,274.6,283.2,191.2,275.6,318.5,358.0,383.5,,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,153.5,151.6,154.0,158.4,157.3,169.0,173.8,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гостиницы и аналогичные средства размещения2),,,,,,,,,,46.6,47.3,45.9,45.4,46.2,51.9,55.1,58.4,64.0,53.4,60.4,67.3,73.5,76.9,84.1,100.2,115.2,135.9,151.6,157.2,122.0,167.4,196.9,230.5,250.6,,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,47.7,53.7,59.8,64.0,67.0,74.3,78.2,,,,,,,,,,,
санаторно-курортные организации3),,,,,,,,,,92.3,90.3,86.6,82.2,84.6,95.4,94.2,91.6,93.4,87.7,81.7,80.4,80.2,77.4,81.6,82.4,81.0,77.3,77.8,79.3,47.2,68.4,75.0,78.1,80.0,,
организации отдыха3);4),,,,,,,,,,28.0,25.7,25.8,23.4,23.8,20.1,22.7,22.3,20.6,18.1,16.2,13.8,14.2,12.9,13.1,13.2,20.6,39.8,45.3,46.7,22.0,39.9,46.6,49.3,52.9,,
"Численность лиц, размещенных 
в коллективных средствах размещения1), 
тыс. человек",,,,,,,,,,"25,073.5","25,394.6","25,511.5","25,266.4","26,454.6","28,410.9","30,246.5","32,635.9","35,439.3","31,690.3","34,746.5","37,399.5","41,065.1","42,635.2","44,218.9","49,284.2","54,430.9","61,563.2","71,538.1","76,041.7","47,382.5","66,539.8","73,093.0","83,578.4","90,068.8",,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,"27,972.2","30,580.1","33,176.1","36,012.0","37,004.2","38,406.4","40,506.6",,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гостиницы и аналогичные средства размещения2),,,,,,,,,,"16,559.3","17,088.9","16,909.8","16,625.8","17,015.8","18,546.8","20,041.8","22,144.7","24,742.0","21,174.5","24,025.7","27,112.4","30,235.2","31,732.9","33,159.8","36,817.4","42,981.4","48,411.7","57,243.1","61,058.7","38,309.9","52,771.9","57,646.7","66,167.7","71,268.4",,
без учета микропредприятий,,,,,,,,,,,,,,,,,,,"18,545.7","21,258.8","24,124.7","26,604.5","27,702.4","28,956.2","30,526.1",,,,,,,,,,,
санаторно-курортные организации3),,,,,,,,,,"4,583.7","4,682.1","4,953.3","4,961.0","5,472.8","5,941.2","6,084.8","6,071.4","6,356.5","5,774.5","5,674.2","5,732.9","5,750.7","5,682.5","6,087.4","6,100.6","6,440.2","5,956.0","6,415.0","6,704.4","4,044.5","5,992.4","6,561.8","7,050.6","7,335.7",,
организации отдыха3);4),,,,,,,,,,"3,930.4","3,623.7","3,648.5","3,679.6","3,966.1","3,922.9","4,120.0","4,419.7","4,340.8","3,652.0","3,647.2","3,318.5","3,656.8","3,619.3","3,362.9","3,880.0","5,009.4","7,195.5","7,880.0","8,278.6","5,028.0","7,775.5","8,884.5","10,360.2","11,464.7",,
"Число поездок российских граждан 
за границу  в страны дальнего зарубежья5), тыс.поездок",,,"8,475","9,139","8,396","7,771","9,311","8,430","8,409","9,819","10,402","11,436","11,645","13,147","14,838","15,666","18,690","20,464","21,641","25,487","29,271","33,142","38,521","37,752",,,,,,,,,,,,
"Число поездок иностранных граждан 
в Россию из стран дальнего зарубежья5), тыс. поездок",,,"5,384","3,312","5,311","5,496","6,489","6,282","7,102","7,410","7,079","7,881","8,148","8,661","9,398","8,818","8,347","8,551","8,361","8,266","9,194","10,175","10,869","10,800",,,,,,,,,,,,
"Число выездных туристских поездок граждан России в зарубежные страны6), тыс. поездок",,,,,,,,,,,,,,,,,,,,,,,,"42,921","34,390","31,659","39,629","41,964","45,330","12,361","19,199","22,487","25,335","27,355",,
"Число въездных туристских поездок иностранных граждан в Россию6), тыс.поездок",,,,,,,,,,,,,,,,,,,,,,,,"25,438","26,852","24,571","24,390","24,551","24,419","6,359","7,080","8,243","8,210","9,054",,
Число туристских фирм7), ,,,,,,,,,,,"3,345",,"4,010","5,079","5,842","6,639","6,477","6,897","9,133","10,266","10,773","11,324","11,614","11,893","12,395","13,579","13,674","12,690","12,463","13,076","13,608","14,102","16,354",,
"Число реализованных населению турпакетов7),  тыс.",,,,,,,,,,,,858,,"2,034","4,326","4,641","5,819","4,305","3,666","4,358","4,427","4,763","5,384","4,384","4,024","3,352","4,390","4,586","5,337","3,125","4,811","5,279","6,369","8,097",,
"Стоимость реализованных населению турпакетов7), млн руб.",,,,,,,,,,,,"13,195",,"29,846","76,301","88,749","124,133","117,811","128,243","167,933","175,366","208,118","249,898","243,453","239,554","192,624","281,229","303,738","378,883","169,858","371,920","442,810","711,687","1,074,641",,
"Численность туристов, обслуженных туристскими фирмами7), тыс.человек",,,,,,,,,,,,"2,820",,"4,056","5,075","6,059","7,721","7,669","7,008","8,430","8,288","9,179","10,232","8,779","8,644","7,302","9,510","9,625","12,513","6,500","10,479","11,721","13,334","17,743",,
"Число детских оздоровительных лагерей8), тыс.",41.1,33.5,39.3,39.6,43.3,40.0,40.1,42.6,44.3,49.2,52.1,52.2,51.7,52.1,52.8,52.0,52,52,51,50,49,48,47,46,45,45,44,…,…,…,…,…,…,…,,
"Численность детей в детских оздоровительных лагерях8), тыс.человек","5,792.1","4,357.0","4,961.8","4,554.8","5,151.3","4,805.9","4,855.8","5,124.7","5,534.5","6,170.6","6,358.9","6,113.7","5,839.4","5,596.4","5,666.8","5,285.5","5,136","5,040","4,864","4,894","4,893","4,958","4,865","4,829","4,661","4,787","4,423",…,…,…,…,…,…,…,,
"Распределение числа орагнизаций отдыха детей и их оздоровление - по типам9), процентов",,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,,  
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
круглогодичного функционирования стационарного типа,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.4,2.6,1.5,1.4,1.3,1.2,,
сезонного функционирования стационарного типа,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,96.3,97.3,97.8,97.5,97.4,97.5,,
сезонного функционирования палаточного типа,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.3,0.1,0.7,1.1,1.3,1.3,,
"Численность детей, отдохнувших в них
 за лето - всего9), тыс. человек",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,274.4","4,331.4",707.1,"3,597.5","3,925.2","4,021.6","4,086.1",,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
круглогодичного функционирования стационарного типа,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.4,471,88.3,349.2,448.7,438.6,451.2,,
сезонного функционирования стационарного типа,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,741.7","3,746.8",611.5,3206.1,"3,417.3","3,517.3","3,565.1",,
сезонного функционирования палаточного типа,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,113.6,7.2,42.3,59.1,65.7,69.8,,
Число спортивных сооружений:10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"стадионы с трибунами на 1 500 мест 
и более11)","2,208",…,"2,236","2,246","2,260","2,239","2,313","2,121","2,092","2,108","2,106","2,112","2,097","2,096","2,081","2,096","2,501","2,643","2,666","1,906","1,906","1,805","1,807","1,959","1,877","1,771","1,729","1,764","1,730","1,770","1,676","1,632","1,623","1,538",,
"спортивные залы, тыс.",49.8,…,48.2,49,50.2,51,53.2,53.6,54.4,54.9,54.8,56.1,59.4,61.7,62.3,63.4,67.0,68.7,70.0,72.4,74.3,69.6,70.1,71.8,72.0,72.1,72.7,73.3,74.2,75.3,76.1,76.9,77.8,78.4,,
плавательные бассейны,"2,194",…,"2,287","2,229","2,351","2,408","2,520","2,598","1,821","2,512","2,630","2,639","3,033","3,074","3,110","3,211","3,535","3,721","3,990","4,237","4,467","4,575","4,774","4,956","5,196","5,441","5,654","5,855","6,015","6,229","6,442","6,575","6,765","6,959",,
"плоскостные спортивные сооружения (площадки и поля), тыс.",126.2,…,107.5,102.7,99.3,80.7,89.2,92.3,94.6,96.8,98.7,103.8,108.4,112.1,113.1,115.4,119.9,123.2,126.4,129.6,133.6,138.3,140.7,145.6,148.2,154.6,147.5,147.8,150.0,154.0,157.2,158.9,161.7,162.9,,
"Численность занимающихся физической культурой и спортом, тыс.человек10)","14,819.4",…,"11,414.6","10,610.2","10,528.8","10,078.5","10,725.9","11,842.1","12,292.2","12,803.4","13,356.4","14,119.9","15,501.6","16,593.8","17,510.3","18,550.3","21,055.1","22,557.0","24,579.9","26,257.0","29,439.2","32,237.4","35,314.9","39,071.4","43,499.2","46,701.3","50,155.4","54,291.5","58,616.6","62,000.4","65,330.2","69,930.2","75,820.5","80,482.1",,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
женщины,,,,,,,,,"3,729.2","4,003.5","4,127.4","4,436.1","5,089.5","5,487.0","5,885.5","6,285.1","7,490.3","8,148.7","8,930.3","9,549.9","10,726.2","11,959.9","13,140.5","14,657.4","16,669.5","18,130.0","20,041.8","21,652.3","23,626.0","24,849.1","26,241.6","28,365.9","31,373.9","33,467.3",,
мужчины,,,,,,,,,"8,563.0","8,799.9","9,229.0","9,683.8","10,412.1","11,106.8","11,624.8","12,265.2","13,564.8","14,408.3","15,649.6","16,707.1","18,713.0","20,277.5","22,174.4","24,414.0","26,829.7","28,571.3","30,113.6","32,639.2","34,990.6","37,151.3","39,088.6","41,564.3","44,446.6","47,014.8",,
"Численность инвалидов, занимающихся 
в спортивных секциях и группах10)12), тыс.человек",,,,,,,,,234.1,73.7,86.7,95.8,114.1,127.4,205.9,211.3,205.9,224.6,256.2,267.1,365.7,458.5,541.0,646.8,845.0,977.6,"1,154.4","1,325.1","1,448.5","1,499.5","1,560.6","1,655.1","1,760.7","1,818.3",,
_______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) 2000-2004 гг. - без учета физических лиц, осуществляющих предпринимательскую деятельность без образования юридического лица (индивидульных предпринимателей). микропредприятий.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) До 2017 г. - включая пансионаты.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) 2009-2015 гг. - без учета микропредприятий.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) До 2019 г. -  с учетом круизных и прогулочных судов, а также наземного и водного транспорта, переоборудованного под средства размещения. С 2017 г. - включая пансионаты.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5) По данным ФСБ России (Пограничная служба).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6) В соответствии с Официальной статистической методологией оценки числа въездных и выездных туристских поездок, утвержденной  приказом Росстата от 31 октября 2019 г. № 640 (с изменениями).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7) Статистическое наблюдение ведется с 2002 г. с периодичностью 1 раз в 2 года; с 2004 г. - ежегодно.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8) Информация приведена о детских оздоровительных лагерях (без субъектов малого предпринимательства) за период июнь-август.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9) Инрормация приведена об организации отдыха детей и их оздоровления (без субъектов малого предпринимательства) за период (май-сентябрь).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10) По данным Минспорта России,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
