СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;
18. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грузовые перевозки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Перевозки грузов всеми видами транспорта, млн.т;18307,8;15736,3;12752,0;9940,0;8813,7;8166,2;7482,5;7078,2;7381,5;7907,1;8200,3;8487,5;8767,8;8978,3;9167,1;9300,7;9450,6;9451,1;7469,5;7750,4;8337,2;8519,2;8264,5;8006,4;7897,9;7953,7;8070,8;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
железнодорожным транспортом;1957,3;1640,1;1347,8;1058,2;1028,0;911,5;887,2;834,8;947,4;1046,8;1057,5;1083,7;1160,9;1221,2;1273,3;1311,6;1344,6;1304,4;1108,8;1312,0;1381,7;1421,1;1381,2;1375,4;1329,0;1325,2;1384,3;;;;;;;;;;;;;;;;
автомобильным транспортом;14688,3;12750,0;10224,6;7845,3;6786,4;6305;5647,6;5307,8;5491,1;5878,4;6125,3;6347,7;6468,1;6567,8;6684,6;6753,3;6861,4;6893,1;5240,5;5236,4;5663,1;5841,6;5635,3;5416,7;5356,7;5396,8;5403,9;;;;;;;;;;;;;;;;
газопроводным транспортом;545,7;523,4 ;511,6 ;482,9 ;473,8 ;481,5 ;480,0 ;487,0 ;498,9 ;511,2 ;508,8 ;513,8 ;544,5 ;555,1 ;565,8 ;581,1 ;571,6 ;578,6 ;480,0 ;536,6;555,1;541,1;537,5;512,0;493,0;509,4;548,8;;;;;;;;;;;;;;;;
нефтепроводным транспортом;441,4;382,8 ;335,4 ;299,5 ;287,9 ;281,5 ;283,8 ;282,0 ;282,1 ;294,6 ;319,7 ;359,8 ;404,3 ;441,5 ;454,1 ;460,8 ;461,8 ;456,4 ;474,4;491,7;543,8;523,4;524,6;532,1;543,3;543,4;553,4;;;;;;;;;;;;;;;;
нефтепродуктопроводным транспортом;55,1;40,5 ;26,1 ;18,3 ;20,9 ;20,4 ;22,1 ;20,9 ;20,9 ;23,1 ;24,9 ;25,7 ;27,6 ;27,6 ;28,2 ;28,4 ;28,7 ;31,6 ;30,6;33,2;32,0;32,0;33,1;34,0;34,7;35,2;36,1;;;;;;;;;;;;;;;;
"морским транспортом1);2)";103,5;90,6 ;85,3 ;74,7 ;71,1 ;59,4 ;54,3 ;41,2 ;37,6 ;35,4 ;33,8 ;37,3 ;35,7 ;29,1 ;26,0 ;25,4 ;28,1 ;35,2 ;37,4;37,0;34,0;18,3;16,7;15,8;18,8;24,6;24,6;;;;;;;;;;;;;;;;
"внутренним водным транспортом1);2)";514,3;307,5 ;220,3 ;160,4 ;144,9 ;106,1 ;106,7 ;104,0 ;102,8 ;116,8 ;129,5 ;118,7 ;125,8 ;135,0 ;134,2 ;139,2 ;153,4 ;150,8 ;96,9;102,4;126,2;140,5;134,9;119,1;121,4;118,0;118,5;;;;;;;;;;;;;;;;
воздушным транспортом3) (с 2000 г. включая перевозки грузов нерегулярными перевозчиками);2,2;1,4 ;0,9 ;0,7 ;0,6 ;0,8 ;0,8 ;0,6 ;0,7 ;0,8 ;0,9 ;0,9 ;0,8 ;0,9 ;0,8 ;0,9 ;1,0 ;1,0 ;0,9;1,1;1,2;1,2;1,2;1,3;1,0;1,1;1,3;;;;;;;;;;;;;;;;
Грузооборот всех видов транспорта,          млрд.т-км;5693;4913,2;4316,1;3724,0;3687,3;3519,8;3384,2;3267,4;3461,1;3638,1;3753,6;3976,3;4282,5;4558,2;4675,5;4799,7;4915,2;4948,3;4446,3;4751,6;4914,5;5055,7;5083,6;5080,0;5108,1;5198,4;5483,7;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
железнодорожного транспорта;2325,9;1967,1;1607,7;1195,5;1213,7;1131,3;1100,3;1019,5;1204,5;1373,2;1433,6;1510,2;1668,9;1801,6;1858,1;1950,8;2090,3;2116,2;1865,3;2011,3;2127,8;2222,4;2196,2;2300,5;2305,9;2344,1;2493,4;;;;;;;;;;;;;;;;
автомобильного транспорта;300,2;257,2;207,2;182,0;156,5;147,0;137,1;125,8;140,0;152,7;159,9;167,2;173,1;182,1;193,6;198,8;205,8;216,3;180,1;199,3;222,8;248,9;250,1;246,8;247,1;248,3;254,5;;;;;;;;;;;;;;;;
газопроводного транспорта;1353,1;1306,4;1269,9;1257,4;1230,6;1247,4;1165,4;1197,0;1194,3;1171,5;1164,4;1203,4;1269,9;1297,0;1317,2;1345,0;1323,6;1351,2;1123,4;1259,1;1301,8;1265,5;1288,7;1202,7;1175,6;1181;1300;;;;;;;;;;;;;;;;
нефтепроводного транспорта;1012,5;811,5;733,1;666,6;649,8;645,5;656,1;669,6;685,4;717,9;769,3;866,7;970,9;1083,4;1123,1;1119,3;1106,2;1077,1;1087,2;1084,4;1082,6;1151,9;1182,3;1178,0;1226,4;1262;1265;;;;;;;;;;;;;;;;
нефтепродуктопроводного транспорта;38,9;27,9;16,3;11,6;18,7;20,1;22,5;21,3;24,1;27,1;27,8;29,7;31,7;32,8;33,2;34,6;34,7;35,8;35,6;38,5;37,6;35,8;41,7;42,4;42,1;46,1;49,9;;;;;;;;;;;;;;;;
