СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;
линий электропередачи для электрификации сельского хозяйства:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   напряжением 6-20 кВ, тыс. км   ;17,1;16,1;12,9;7,4;6,9;7,1;8,9;5,2;4,1;3,0;3,2;3,2;3,8;3,6;3,3;2,9;3,3;3,0;1,8;2,9;3,4;6,0;5,9;7,4;4,2;2,9;3,3;;;;;;;;;;;;;;;;
   напряжением 0,4 кВ, тыс. км;11,8;11,0;10,9;6,8;5,8;5,8;5,8;4,2;3,7;2,7;3,2;3,5;4,3;4,4;4,0;3,8;4,1;3,7;2,3;3,4;4,8;7,8;8,9;9,9;7,9;5,3;5,3;;;;;;;;;;;;;;;;
автомобильных дорог с твердым покрытием, тыс. км;43,5;27,0;20,4;10,3;9,8;6,9;5,5;6,1;6,5;7,9;4,7;4,6;3,2;2,8;2,6;2,5;2,8;3,7;2,7;3,1;2,5;2,4;2,9;2,3;2,5;2,5;2,3;;;;;;;;;;;;;;;;
в том числе автомобильных дорог общего пользования;10,3;6,4;7,9;6,5;7,5;5,7;4,7;5,0;5,4;6,6;4,4;4,0;2,8;2,2;2,0;2,0;2,5;3,3;2,5;2,2;1,9;2,0;2,5;2,0;2,3;2,2;2,1;;;;;;;;;;;;;;;;
новых железнодорожных линий, км;6,0;45,1;6,0;-;-;-;84,5;79,5;2,4;1,7;197,2;175,3;36,8;26,7;127,8;208,2;40,7;84,4;167,3;111,1;93,4;39,3;29,4;13,0;17,8;62,5;157,0;;;;;;;;;;;;;;;;
вторых путей, км;206,3;135,7;57,2;19,3;28,9;33,7;2,9;8,1;3,9;45,8;8,8;11,3;40,0;43,3;119,7;149,5;132,9;91,7;120,3;104,5;95,0;76,6;55,9;31,8;97,3;16,7;61,6;;;;;;;;;;;;;;;;
причалов морских портов (включая перегрузочные комплексы морских портов),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
тыс. пог. м              ;0,2;0,2;-;0,2;0,2;0,4;-;0,7;1,4;0,2;1,3;2,2;0,6;0,4;1,1;0,07;1,7;0,8;3,3;0,9;2,7;1,2;1,5;0,4;-;0,06;0,6;;;;;;;;;;;;;;;;
млн. т груза в год;-;0,1;-;-;1,2;1,5;-;2,5;0,8;1,2;-;1,9;8,9;28,2;0,6;5,9;2,5;9,7;16,5;2,8;2,3;6,0;-;-;-;-;-;;;;;;;;;;;;;;;;
механизированных причалов речных портов,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
тыс. пог. м;0,1;-;0,2;-;-;0,2;-;-;-;-;-;0,5;0,4;0,2;0,2;1,1;0,6;0,1;0,3;0,4;0,5;-;0,2;0,09;0,1;-;-;;;;;;;;;;;;;;;;
млн. т груза в год;-;-;0,5;-;-;-;-;-;-;-;-;1,2;1,1;-;0,5;0,02;0,2;-;1,8;0,2;0,4;-;0,1;0,1;0,1;-;-;;;;;;;;;;;;;;;;
взлетно-посадочных полос с твердым покрытием,тыс. м2;37,2;212,8;343,0;137,0;-;447,5;170,0;23,0;30,5;567,4;267,1;292,0;795,6;31,6;162,2;345,2;71,0;33,4;182,5;143,8;937,8;179,2;411,1;596,5;40,3;144,2;264,1;;;;;;;;;;;;;;;;
газопроводов магистральных и отводов от них, тыс. км;2,3;1,4;1,7;2,4;3,2;3,0;2,0;1,1;1,7;2,0;1,2;1,5;1,8;1,5;2,2;2,2;1,7;1,9;1,9;2,0;1,0;3,8;1,1;2,0;2,5;1,0;0,8;;;;;;;;;;;;;;;;
нефтепроводов магистральных и нефтепродуктопроводов магистральных региональных, тыс. км;0,3;0,1;0,7;0,02;0,3;0,2;0,2;0,6;0,4;0,7;1,0;1,2;1,4;1,4;0,6;0,8;0,5;1,0;3,2;1,2;1,2;2,1;0,9;0,8;0,8;0,9;0,3;;;;;;;;;;;;;;;;
линий метрополитена (в двухпутном исчислении), км ;15,0;4,9;6,6;4,5;13,3;5,8;7,5;-;3,1;4,0;1,2;4,4;9,8;-;12,1;2,2;15,2;1,1;6,7;5,6;10,0;13,2;23,3;3,0;2,8;9,0;10,2;;;;;;;;;;;;;;;;
станций метрополитена;9;4;4;3;7;3;2;-;3;2;1;3;7;-;7;2;4;2;5;4;7;6;9;2;3;5;4;;;;;;;;;;;;;;;;
станций технического обслуживания легковых автомобилей;-;2;21;1;-;16;2;21;38;54;92;99;181;242;168;371;348;363;412;164;147;135;194;258;249;262;230;;;;;;;;;;;;;;;;
торговых предприятий,  торговая площадь тыс.м2  ;-;-;-;-;-;-;-;208,5;297,0;358,9;509,3;773,6;1510,0;1586,2;1890,0;2186,0;3936,0;3374,8;2350,6;1776,4;2627,5;2379,8;2426,4;3015,2;4677,4;2644,9;2161,2;;;;;;;;;;;;;;;;
предприятий общественного питания, тыс. посадочных мест;-;-;-;-;-;-;-;10,1;8,8;17,6;17,4;19,3;24,0;22,1;25,7;20,6;31,5;27,7;28,0;24,2;21,4;24,0;25,6;35,9;31,2;22,1;21,7;;;;;;;;;;;;;;;;
Электрифицировано железных дорог,  км;426,6;210,7;121,3;342,0;152,7;302,4;424,6;137,0;270,9;588,3;683,4;641,1;356,0;34,2;507,4;46,4;-;225,7;2,2;22,2;194,3;103,8;4,5;5,9;-;1,4;137,5;;;;;;;;;;;;;;;;
Проведены работы:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
по орошению земель, тыс. га;85,2;21,2;15,9;10,0;6,1;2,4;1,8;4,3;18,1;4,7;6,8;3,2;3,0;2,5;0,5;0,6;1,6;2,7;1,6;20,5;3,8;10,3;1,4;9,4;3,9;6,9;19,2;;;;;;;;;;;;;;;;
по осушению земель - всего, тыс. га;136,0;89,3;51,1;22,7;12,2;3,0;4,0;4,6;11,4;14,2;18,0;29,8;21,2;11,4;5,8;21,4;10,1;10,8;32,3;2,5;19,9;4,3;2,4;5,9;13,0;1,1;24,6;;;;;;;;;;;;;;;;
в том числе по реконструкции и восстановлению осушительных систем;52,0;26,2;19,3;5,1;5,8;1,2;2,6;2,0;5,6;7,3;15,9;25,7;17,2;10,1;4,7;20,5;9,6;10,7;31,5;2,1;19,9;4,3;2,4;5,9;12,7;1,1;23,7;;;;;;;;;;;;;;;;
по обводнению пастбищ, тыс. га;380,0;139,2;186,1;79,2;48,1;25,6;42,2;50,0;80,1;50,1;92,9;57,1;61,5;39,4;19,1;1,2;-;-;-;12,0;5,4;-;4,0;-;-;-;-;;;;;;;;;;;;;;;;
по культуртехническим мероприятиям на сельхозугодьях, не требующих осушения, тыс. га;593,0;327,7;232,2;165,4;59,0;76,3;48,2;32,5;109,0;57,8;68,9;55,7;96,4;29,9;25,6;22,4;15,7;14,4;11,9;9,8;16,5;15,3;8,0;-;-;-;-;;;;;;;;;;;;;;;;
Ввод в действие зданий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
число зданий, тыс;;;;;;;;;;119,7;125,0;130,8;132,5;132,0;141,6;159,0;209,9;224,6;233,3;216,5;227,2;241,4;258,1;304,2;306,4;278,3;272,6;;;;;;;;;;;;;;;;
общий строительный объем зданий, млн. м3;;;;;;;;;;172,4;185,4;197,6;216,3;246,1;265,4;304,2;414,1;446,2;423,6;397,4;423,2;485,6;526,7;617,8;622,8;608,5;599,4;;;;;;;;;;;;;;;;
общая площадь зданий, млн. м2;;;;;;;;;;44,7;47,7;49,6;53,7;60,0;66,3;75,6;98,1;102,5;95,1;91,5;99,0;110,4;117,8;138,6;139,4;135,8;137,3;;;;;;;;;;;;;;;;
Ввод в действие жилых домов, млн. кв. м общей площади  жилых помещений;49,4;41,5;41,8;39,2;41,0;34,3;32,7;30,7;32,0;30,3;31,7;33,8;36,4;41,0;43,6;50,6;61,2;64,1;59,9;58,4;62,3;65,7;70,5;84,2;85,3;80,2;79,2;;;;;;;;;;;;;;;;
Ввод в действие жилых домов, построенных населением за счет собственных и привлеченных  средств, млн.кв.м общей площади жилых помещений;5,4;4,9;5,6;7,1;9,0;10,0;11,5;12,1;13,7;12,6;13,1;14,2;15,2;16,1;17,5;20,0;26,3;27,4;28,5;25,5;26,8;28,4;30,7;36,2;35,2;31,8;33,0;;;;;;;;;;;;;;;;
Удельный вес ввода в действие жилых домов, построенных населением за счет собственных и привлеченных средств, в общем вводе жилья, процентов;10,9;11,8;13,3;18,2;22,0;29,1;35,2;39,4;42,9;41,6;41,2;41,9;41,6;39,2;40,2;39,5;43,0;42,7;47,7;43,7;43,0;43,2;43,5;43,0;41,2;39,6;41,6;;;;;;;;;;;;;;;;
Ввод в действие жилых домов, построенных жилищно-строительными кооперативами, млн.кв.м общей площади жилых помещений;2,4;2,1;1,9;1,9;1,7;1,4;1,3;0,8;0,7;0,7;0,6;0,6;0,5;0,5;0,6;0,6;0,9;0,6;0,5;0,3;0,4;0,3;0,5;0,4;0,6;1,0;0,8;;;;;;;;;;;;;;;;
Удельный вес ввода в действие жилых домов, построенных жилищно-строительными кооперативами, в общем вводе жилья, процентов;4,8;5,0;4,6;4,9;4,2;4,2;4,1;2,5;2,1;2,4;2,0;1,7;1,4;1,2;1,4;1,2;1,5;0,9;0,8;0,6;0,6;0,4;0,7;0,4;0,7;1,2;1,0;;;;;;;;;;;;;;;;
Ввод в действие жилых домов в городах и поселках городского типа, млн. кв. м общей площади жилых помещений;35,1;31;32,3;30,7;32,1;26,2;24,6;23,5;24,2;23,1;24,3;26,2;28,3;32,3;34,1;40,6;47,5;49,0;43,8;43,7;46,8;50,0;53,0;62,2;62,0;58,8;57,2;;;;;;;;;;;;;;;;
Ввод в действие жилых домов в сельской местности, млн .кв. м общей площади жилых помещений;14,3;10,5;9,5;8,5;8,9;8,1;8,1;7,2;7,8;7,2;7,4;7,6;8,1;8,7;9,5;10,0;13,7;15,1;16,1;14,7;15,5;15,7;17,5;22,0;23,3;21,4;22,0;;;;;;;;;;;;;;;;
Ввод в действие жилых домов в городах и поселках городского типа, построенных населением за счет собственных и привлеченных средств, млн.кв.м общей площади жилых помещений;2;1,9;2,2;3;3,8;4,3;5,3;6,0;6,8;6,2;6,6;7,5;7,8;8,2;8,8;10,9;13,8;14,0;14,0;12,7;13,1;14,7;15,8;18,1;16,3;14,9;15,5;;;;;;;;;;;;;;;;
Ввод в действие жилых домов в сельской местности, построенных населением за счет собственных и привлеченных средств, млн.кв.м общей площади, кв. м общей площади жилых помещений;3,4;3,0;3,4;4,1;5,2;5,7;6,2;6,1;6,9;6,4;6,5;6,7;7,4;7,9;8,7;9,1;12,5;13,4;14,5;12,8;13,7;13,7;14,9;18,1;18,9;16,9;17,5;;;;;;;;;;;;;;;;
Ввод в действие жилых домов на 1000 человек населения2),  м2 общей площади жилых помещений:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городах и поселках городского типа и сельской местности;333;280;282;264;277;232;221;208;217;207;217;233;252;285;304;353;429;449;419;409;436;459;491;576;583;547;540;;;;;;;;;;;;;;;;
в городах и поселках городского типа ;321;284;298;284;297;242;228;217;225;216;227;247;267;306;325;387;453;467;417;415;443;472;498;575;571;541;523;;;;;;;;;;;;;;;;
в сельской местности;368;266;237;211;222;203;203;182;197;182;189;195;211;227;246;262;361;399;425;392;416;422;472;579;616;566;585;;;;;;;;;;;;;;;;
Ввод в действие жилых домов организациями различных форм собственности, млн.кв.м общей площади жилых помещений, в том числе:;49,4;41,5;41,8;39,2;41,0;34,3;32,7;30,7;32,0;30,3;31,7;33,8;36,4;41,0;43,6;50,6;61,2;64,1;59,9;58,4;62,3;65,7;70,5;84,2;85,3;80,2;79,2;;;;;;;;;;;;;;;;
государственная, из нее: ;;;15,0;10,7;9,1;5,9;4,6;3,5;3,3;3,5;3,1;3,1;3,2;3,0;3,0;3,2;3,3;3,2;3,2;3,5;4,3;3,4;3,5;2,9;2,5;2,2;2,4;;;;;;;;;;;;;;;;
федеральная ;;;11,7;8,5;7,1;4,7;3,4;2,6;2,4;2,4;1,9;1,9;1,9;1,7;1,5;1,8;2,1;1,7;1,3;2,0;2,7;2,0;1,5;1,4;1,0;1,0;1,5;;;;;;;;;;;;;;;;
собственность субъектов Российской Федерации ;;;3,3;2,1;2,0;1,2;1,2;0,8;0,9;1,1;1,2;1,2;1,3;1,3;1,5;1,4;1,2;1,5;1,9;1,5;1,5;1,4;2,0;1,5;1,5;1,2;0,9;;;;;;;;;;;;;;;;
муниципальная;;;7,0;4,1;4,0;2,9;2,8;2,6;2,8;2,8;3,0;3,0;3,0;3,2;2,8;2,9;3,0;2,7;2,2;2,0;2,1;1,7;1,5;1,7;1,9;1,7;1,9;;;;;;;;;;;;;;;;
частная ;;;4,6;3,9;5,8;4,6;4,6;5,8;6,2;6,7;7,8;9;10,4;13,9;15,5;19,6;24,4;26,5;23,7;24,9;26,5;29,3;31,4;39,2;41,6;40,2;38,7;;;;;;;;;;;;;;;;
населением за счет собственных и привлеченных средств;5,4;4,9;5,6;7,1;9;10;11,5;12,1;13,7;12,6;13,1;14,2;15,2;16,1;17,5;20;26,3;27,4;28,5;25,5;26,8;28,4;30,7;36,2;35,2;31,8;33,0;;;;;;;;;;;;;;;;
Число построенных квартир, тыс. ;828;682;682;611;602;482;430;388;390;373;382;396;427;477;515;609;722;768;702;717;786;838;929;1124;1195;1167;1139;;;;;;;;;;;;;;;;
Средний размер построенных квартир, кв.м общей площади;59,7;60,8;61,3;64,2;68,2;71,2;75,9;79,1;82,1;81,1;83,1;85,3;85,4;86,0;84,5;83,1;84,7;83,4;85,3;81,5;79,3;78,4;75,8;74,9;71,4;68,7;69,6;;;;;;;;;;;;;;;;
Число квартир, построенных жилищно-стpоительными коопеpативами, тыс. ;42;37;33;31;30;24;23;13;11;11;10;8;7;7;9;8;14;9;6;5;6;4;8;7;11;18;13;;;;;;;;;;;;;;;;
Средний размер квартир, построенных жилищно-стpоительными коопеpативами, кв.м общей площади;56,6;56,1;57,9;57,6;58,5;59,3;58,9;61,9;61,7;67,1;67,5;69,0;71,4;74,6;69,3;70,8;66,2;68,9;81,9;69,1;59,5;66,1;59,0;56,3;54,9;55,4;61,3;;;;;;;;;;;;;;;;
Число квартир, построенных населением, тыс. ;70;61;65;78;90;93;102;104;114;106;108;113;115;116;127;144;190;200;210;192;201;211;228;268;272;251;244;;;;;;;;;;;;;;;;
Средний размер квартир, построенных населением, кв.м общей площади;77,4;80,1;85,5;91,5;99,7;107,4;112,4;116,3;120,8;118,8;120,4;125,7;131,9;138,5;138,3;138,7;138,8;136,7;135,9;132,6;132,9;134,4;134,4;135,2;129,6;126,7;135,1;;;;;;;;;;;;;;;;
Число не завершенных строительством жилых домов (без индивидуальных), тыс.;;;;87,9;80,8;68,7;54,6;47,9;44,2;41,1;38,7;34,1;28,6;23,2;20,4;17,0;16,4;14,1;12,8;11,6;11,4;10,2;9,1;9,1;7,7;7,1;6,3;;;;;;;;;;;;;;;;
Общая площадь не завершенных строительством жилых домов (без индивидуальных), млн. кв. м;;;;97,0;90,1;76,6;59,3;50,8;47,9;45,2;44,3;40,1;40,1;38,9;35,0;36,1;39,2;39,5;33,9;29,7;28,7;29,5;33,7;36,2;34,7;37,3;37,5;;;;;;;;;;;;;;;;
Ввод в действие мощностей и объектов социально-культурного назначения:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
общеобразовательных организаций, тыс. ученических мест;395,8;303,1;296,3;194,0;218,0;152,2;154,7;123,2;109,3;133,8;117,5;82,2;88,5;70,1;73,0;73,4;88,3;67,6;77,2;67,8;60,5;48,8;70,0;55,7;66,3;90,3;108,4;;;;;;;;;;;;;;;;
дошкольных образовательных организаций, тыс. мест;147,1;95,7;60,3;42,1;28,2;20,0;11,1;7,7;4,4;6,8;5,7;7,3;7,7;7,3;5,0;20,0;26,1;28,3;19,6;22,9;45,0;53,9;90,3;128,9;143,3;63,3;40,8;;;;;;;;;;;;;;;;
 больничных организаций, тыс. коек;17,4;8,2;14,3;12,4;9,7;9,2;8,2;7,3;8,8;9,5;7,6;7,0;7,8;8,1;7,0;9,0;7,9;8,1;6,3;8,7;9,5;9,5;8,6;2,7;4,3;6,1;3,9;;;;;;;;;;;;;;;;
амбулаторно-поликлинических организаций, тыс. посещений в смену;62,5;39,6;47,3;39,4;36,1;21,0;27,1;21,3;28,0;24,8;21,8;22,0;20,7;18,7;20,2;22,5;31,7;25,3;22,5;26,8;25,2;18,9;17,5;18,8;23,7;18,1;20,7;;;;;;;;;;;;;;;;
учреждений культуры клубного типа, тыс. мест;80,1;56,3;45,3;33,5;23,4;15,5;13,6;11,4;12,0;12,1;13,0;10,4;9,0;9,8;12,6;12,9;12,3;8,4;11,2;13,4;8,7;17,4;13,2;17,4;16,0;16,5;21,0;;;;;;;;;;;;;;;;
Ввод в действие мощностей образовательных организаций высшего образования, профессиональных образовательных организаций:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
образовательных организаций высшего образования, тыс. кв. м общей площади учебно-лабораторных зданий;140,8;139,3;84,6;61,1;62,7;63,9;81,7;42,3;110,1;105,6;138,9;92,8;227,1;202,8;161,3;161,0;151,8;216,2;154,6;219,7;154,9;587,0;210,1;84,5;222,0;220,2;109,1;;;;;;;;;;;;;;;;
профессиональных образовательных организаций3), тыс. кв. м общей площади учебно-лабораторных зданий;;;;;;;;;;;;;;;;;;;;;;;;;;7,0;32,3;;;;;;;;;;;;;;;;
профессиональных образовательных организаций сpеднего профессионального образования, тыс.кв.м общей площади учебно-лабораторных зданий;30,5;22,8;11,0;45,4;13,5;11,5;16,2;20,9;8,3;18,2;34,4;42,2;16,2;30,6;11,5;23,8;22,7;38,5;11,7;60,4;10,8;36,7;7,2;16,1;8,9;;;;;;;;;;;;;;;;;;
образовательных организаций начального профессионального образования, тыс. ученических мест;13,9;8,4;12,4;8,4;3,0;3,0;1,8;1,3;1,8;0,6;1,6;1,4;3,9;2,3;0,3;0,7;1,3;0,08;1,9;1,2;3,5;2,0;0,3;1,4;0,5;;;;;;;;;;;;;;;;;;
1) Данные о вводе в действие производственных мощностей, жилых домов, объектов социально-культурного назначения включают ввод за счет строительства, расширения и реконструкции, с 2009 г. - за счет строительства и реконструкции.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) За 2003-2010 гг. показатели рассчитаны с использованием численности населения, пересчитанной с учетом итогов Всероссийской переписи населения 2010 года.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) Начиная с 2016 г. в  соответствии с Федеральным законом от 29.12.2012 г. № 273-ФЗ «Об образовании в Российской Федерации» в составе показателя «Профессиональные образовательные организации» учитываются данные о вводе в действие образовательных организаций начального и среднего профессионального образования.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
