СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;
     Тракторы;7,3;7,8;9,7;10,8;15,6;…;20,3;26,1;35,0;41,4;44,6;49,6;51,5;53,1;53,5;53,9;55,4;55,5;56,2;54,8;53,7;52,4;53,1;51,1;50,1;50,9;51,0;;;;;;;;;;;;;;;;
"1) За 1992-2003 гг. представлены данные, полученные в  результате пересчета динамических рядов по показателю ""Объем работ, выполненных по договорам строительного подряда"", начиная с 2004 г. осуществляется разработка данных по виду экономической деятельности ""Строительство""  ,  с 2015 г. - включая работы, выполненные хозяйственным способом организациями и населением.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Данные разрабатываются, начиная с 1993 года.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) Относительные показатели рассчитаны по сопоставимому кругу хозяйствующих субъектов, за 2014 г. - без учета данных по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) Показатель разрабатывается с 1995 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"5) Данные за 1996 г. не разрабатывались; за 1997- 2001 гг. - приведены по состоянию на 1 октября;  за 1991-1995 и с  2002 г. - по состоянию на конец года. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ввод в действие отдельных производственных мощностей, жилых домов, объектов социально-культурного назначения1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мощности по добыче и переработке:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
угля, млн. т;5,3;7,7;7,1;2,4;3,9;1,3;2,0;0,9;2,0;5,1;4,6;4,2;6,6;12,3;6,4;4,6;5,3;5,7;5,0;8,2;7,3;9,8;11,2;5,4;4,6;4,5;14,2;;;;;;;;;;;;;;;;
руды свинцово-цинковой, тыс. т;-;-;-;-;-;-;-;100,0;-;30,0;-;45,0;300,0;-;-;38,0;10,0;38,6;100,0;-;-;-;208,0;-;-;-;-;;;;;;;;;;;;;;;;
руды золотосодержащей, тыс. т;-;-;-;-;-;-;-;-;-;-;4000,0;146,0;230,0;805,0;50,0;300,0;6000,0;0,4;750,0;90,0;150,0;1830,0;575,0;400,0;40,0;3120,2;10400,0;;;;;;;;;;;;;;;;
нефти, млн. т;-;-;-;-;-;-;3,5;-;-;0,3;6,5;3,1;6,0;0,4;0,04;2,4;1,9;0,1;2,8;6,8;8,8;10,1;0,2;5,5;15,1;0,2;1,0;;;;;;;;;;;;;;;;
газа, млрд. м3;1,1;-;-;-;-;-;3,0;0,9;-;1,5;2,7;1,0;1,9;1,8;0,8;3,0;0,002;-;3,2;-;-;-;0,1;1,2;0,9;3,7;-;;;;;;;;;;;;;;;;
cкважины:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   нефтяные, тыс. ;5,6;7,9;6,5;4,5;4,2;2,9;2,4;2,3;2,1;2,8;3,8;3,1;3,0;3,1;3,1;3,5;3,7;4,0;4,0;4,3;5,2;4,7;5,5;4,8;4,8;5,3;6,4;;;;;;;;;;;;;;;;
   газовые;105;104;92;161;151;147;289;206;94;115;245;79;206;230;160;250;180;213;69;174;81;312;120;162;112;121;153;;;;;;;;;;;;;;;;
Мощности по производству:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
стали, тыс. т;2500,0;380,0;-;-;-;10,0;-;-;2100,0;3,3;-;140,0;646,7;6,3;1112,7;3252,0;789,9;761,2;3611,9;306,0;300,0;969,0;2110,5;1460,0;-;1,5;1,4;;;;;;;;;;;;;;;;
готового проката черных металлов, млн. т;-;-;0,6;4,8;-;0,4;-;-;-;-;-;1,8;-;-;1,2;1,2;0,1;-;1,5;0,6;1,7;-;0,3;1,3;-;-;-;;;;;;;;;;;;;;;;
стальных труб, тыс. т;1034,0;-;63,0;-;168,0;-;21,0;-;-;-;-;-;150,0;80,0;88,3;402,0;10,0;50,0;300,0;635,2;692,7;58,0;-;60,0;350,0;-;129,0;;;;;;;;;;;;;;;;
машин непрерывного литья заготовок,  млн. т;-;0,4;0,4;1,3;0,7;1,1;-;-;-;-;0,8;1,4;1,7;1,0;3,4;2,5;2,5;0,7;2,0;1,7;0,2;1,1;-;1,4;-;0,9;-;;;;;;;;;;;;;;;;
минеральных удобрений (в пересчете на 100% питательных веществ), тыс. т;-;-;10,0;-;-;205,0;-;-;184,0;-;401,8;-;120,0;419,5;268,1;134,7;42,9;160,0;39,0;730,0;934,1;515,3;-;-;1381,5;2,5;548,0;;;;;;;;;;;;;;;;
