СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Число малых предприятий  (включая микропредприятия) по видам экономической деятельности, тыс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;;;;;;;;51,8;62.0;59,9;62,5;62,6;56,1;56,2;61,3;;
 рыболовство, рыбоводство;;;;;;;;;;;;;;;;;;;2,9;3,5;3,6;3,8;3,9;3,9;4,2;4,8;;
 добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;5,1;5,7;6,2;7,1;7,2;7,7;8,6;10,3;;
обрабатывающие производства;;;;;;;;;;;;;;;;;;;152,1;156,6;171,3;191,6;195,9;199,9;210,5;245,8;;
производство и распределение   электроэнергии, газа и воды;;;;;;;;;;;;;;;;;;;9,1;10,5;11,4;12,7;12,8;13,1;13,7;15,7;;
строительство;;;;;;;;;;;;;;;;;;;180,0;182,1;202,6;231,3;241,5;250,4;262,7;335,9;;
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;;;;;;;;631,0;631,1;727,3;787,0;806,8;815,8;801,8;1032,1;;
гостиницы и рестораны;;;;;;;;;;;;;;;;;;;43,4;47,7;53,1;56,1;59,2;63,5;67,5;79,4;;
транспорт и связь;;;;;;;;;;;;;;;;;;;95,1;100,8;114,9;129,7;136,9;143,0;153,5;215,4;;
из них связь;;;;;;;;;;;;;;;;;;;10,4;11,0;11,6;12,5;12,5;12,2;12,9;14,8;;
операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;;;;;;;;319,4;350,3;381,4;408,9;418,9;428,4;503,8;600,7;;
образование;;;;;;;;;;;;;;;;;;;4,7;5,0;5,7;6,2;6,4;6,7;8,1;9,9;;
здравоохранение и предоставление социальных услуг;;;;;;;;;;;;;;;;;;;19,9;22,6;24,9;27,1;29,0;30,6;37,5;42,6;;
предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;;;;;;;;39,1;41,7;46,7;49,4;51,5;53,3;60,9;75,0;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;56,0;
добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;10,1;
обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;;227,2;
"обеспечение электрической энергией, газом, паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;12,2;
"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;;;18,1;
строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;343,5;
"торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов ";;;;;;;;;;;;;;;;;;;;;;;;;;;996,1;
транспортировка и хранение;;;;;;;;;;;;;;;;;;;;;;;;;;;178,1;
деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;;;;77,2;
деятельность в области  информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;;;90,9;
из нее деятельность в сфере телекоммуникаций;;;;;;;;;;;;;;;;;;;;;;;;;;;11,8;
деятельность по операциям с нежвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;;;;210,5;
деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;;;244,9;
из нее научные исследования и разработки;;;;;;;;;;;;;;;;;;;;;;;;;;;20,0;
деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;;;;131,6;
из нее деятельность туристических агентств и прочих организаций, предоставляющих услуги в сфере туризма;;;;;;;;;;;;;;;;;;;;;;;;;;;34,1;
образование;;;;;;;;;;;;;;;;;;;;;;;;;;;9,8;
деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;44,8;
деятельность в области культуры, спорта , организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;;;;24,9;
Средняя численность работников (включая внешних совместителей и работающих по договорам гражданско-правового характера) малых предприятий  (включая микропредприятия) , тыс.чел.;;;;;;;;;;;;;;;;;;;11279,9;11149,0;11480,4;11683,9;11695,7;11744,2;11330,7;11040,1;11986,3;
Оборот малых предприятий (включая микропредприятия), млрд.руб.;;;;;;;;;;;;;;;;;;;16447,3;18933,82);22610,2;23463,7;24781,6;26392,2;44124,22);38877,0;48459,2;
"1)  За 2009 и 2011 гг. - по данным выборочных обследований с учетом пересчета; за 2010 и 2015 гг. по данным сплошного наблюдения за деятельностью субъектов малого и среднего предпринимательства. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) За 2010 г. и 2015 г. - выручка от реализации товаров (работ, услуг) (без НДС и акцизов). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
