;;1958;1961;1965;1970;1975;1980;1985;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
VS;всего;67,91;68,75;69,5;68,93;68,13;67,61;69,26;69,19;68,92;67,8;65,09;63,91;64,52;65,8;66,77;67,07;65,92;65,34;65,23;64,95;64,86;65,31;65,37;66,69;67,61;67,99;68,78;68,94;69,83;70,24;70,76
MU;мужчины;62,99;63,78;64,32;63,21;62,32;61,53;63,83;63,73;63,37;61,91;58,81;57,48;58,12;59,62;60,9;61,22;59,87;59,03;58,92;58,68;58,56;58,91;58,92;60,43;61,46;61,92;62,87;63,09;64,04;64,56;65,13
ZE;женщины;71,45;72,38;73,41;73,55;73,03;73,09;73,99;74,3;74,19;73,66;71,84;71,12;71,59;72,4;72,87;73,13;72,4;72,26;72,17;71,9;71,86;72,36;72,47;73,34;74,02;74,28;74,79;74,88;75,61;75,86;76,3
GVS;Городское население - всего;67,92;68,69;69,44;68,51;68,75;68,09;69,61;69,55;69,3;68,1;65,34;64,13;64,7;66,21;67,32;67,54;66,34;65,69;65,57;65,4;65,37;65,87;66,1;67,43;68,37;68,77;69,57;69,69;70,51;70,83;71,33
GMU;Городское население - мужчины;63,03;63,86;64,59;63,76;63,41;62,39;64,46;64,31;63,95;62,35;59,12;57,7;58,3;60,06;61,51;61,75;60,31;59,35;59,23;59,09;59,02;59,42;59,58;61,12;62,2;62,67;63,65;63,82;64,67;65,1;65,64
GZE;Городское население - женщины;71,48;72,48;73,14;73,47;73,22;73,18;74;74,34;74,25;73,72;71,92;71,2;71,64;72,62;73,18;73,38;72,62;72,46;72,37;72,18;72,21;72,73;72,99;73,88;74,54;74,83;75,34;75,39;76,1;76,27;76,7
SVS;Сельское население - всего;67,84;68,62;69,14;68,13;66,14;66,02;67,86;67,97;67,67;66,79;64,28;63,24;63,99;64,62;65,25;65,75;64,73;64,34;64,25;63,68;63,42;63,77;63,45;64,74;65,59;65,93;66,67;66,92;67,99;68,61;69,18
SMU;Сельское население - мужчины;62,86;63,4;63,32;61,78;58,85;59,3;61,76;62,03;61,68;60,63;57,95;56,85;57,64;58,42;59,27;59,8;58,68;58,14;58,07;57,54;57,29;57,56;57,22;58,69;59,57;60;60,86;61,19;62,4;63,12;63,75
SZE;Сельское население - женщины;71,3;72,33;73,49;73,39;72,38;72,47;73,55;73,95;73,79;73,33;71,5;70,83;71,4;71,76;71,98;72,41;71,74;71,66;71,57;71,09;70,86;71,27;71,06;71,86;72,56;72,77;73,27;73,42;74,21;74,66;75,13
