;;1970;1975;1980;1985;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
PR;Произведено электроэнергии;470,2;639,9;804,9;962;1082,2;860;847,2;834,1;827,2;846,2;877,8;891,3;891,3;916,3;931,9;953,1;995,8;1015,3;1040,4;992;1038;1054,8;1069,3
IMP;Получено из-за пределов РФ;16,6;30,2;33;32,3;35;18,4;12,3;7,1;8,3;8,4;8,8;9,8;5,2;8,2;12,2;10,1;5,1;5,7;3,1;3,1;1,9;10;8,3
PO;Потреблено электроэнергии;478,7;658,8;815,9;964,4;1073,8;840,4;827,7;814,4;809,1;832,1;863,7;875,4;878,4;902,9;924,3;940,7;980;1002,5;1022,8;977,2;1020,6;1041,1;1063,3
EXP;Отпущено за пределы РФ;8,1;11,3;22;29,9;43,4;38;31,8;26,8;26,4;22,5;22,9;25,7;18,1;21,6;19,8;22,5;20,9;18,5;20,7;17,9;19,3;23,7;14,3
