;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;
сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;5 791 582;6 462 343;6 575 346;6 908 487;8 006 296;8 502 698 ;9 144 883 ;9 787 595 ;;;
добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;23 924 351;26 953 233;29 774 903;31 295 007;35 484 744;37 812 408 ;44 386 567 ;49 863 208 ;;;
обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;;18 956 787;20 814 107;22 789 030;24 655 067;27 135 736;29 474 883 ;31 546 230 ;34 881 741 ;;;
"обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;13 721 915;15 489 469;16 938 312;18 491 455;20 171 198;21 111 331 ;22 674 696 ;24 505 862 ;;;
"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;;;2 700 207;2 939 751;2 388 112;2 625 087;2 979 657;3 200 201 ;3 475 197 ;3 839 550 ;;;
строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;2 191 134;2 718 514;3 094 125;2 934 545;3 404 647;3 759 717 ;3 952 242 ;5 363 047 ;;;
"торговля оптовая и розничная; ремонт автотранспортных средств 
и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;;;;4 751 445;5 286 645;5 567 818;5 755 688;6 136 154;6 547 972 ;6 858 663 ;7 524 374 ;;;
транспортировка и хранение;;;;;;;;;;;;;;;;;;;;;;;;;;;43 830 807;47 344 412;52 315 633;55 956 491;62 875 242;67 125 954 ;70 215 082 ;77 059 301 ;;;
"деятельность гостиниц 
и предприятий общественного питания";;;;;;;;;;;;;;;;;;;;;;;;;;;1 353 002;1 421 923;1 495 469;1 578 671;2 160 159;2 237 262 ;2 389 100 ;2 559 286 ;;;
деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;;;5 150 353;5 881 378;6 372 724;6 896 405;7 372 552;7 606 681 ;8 200 786 ;9 572 438 ;;;
"деятельность финансовая 
и страховая";;;;;;;;;;;;;;;;;;;;;;;;;;;3 821 326;4 604 787;5 149 288;6 256 274;6 573 726;5 610 648 ;5 434 542 ;6 653 787 ;;;
"деятельность по операциям 
с недвижимым имуществом4)";;;;;;;;;;;;;;;;;;;;;;;;;;;38 866 126;39 842 029;163 656 208;165 011 060;179 486 619;194 936 793 ;209 452 599 ;219 412 723 ;;;
деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;;;4 784 518;5 136 453;4 901 524;4 839 633;5 775 125;5 533 536 ;6 223 501 ;6 803 933 ;;;
"деятельность административная 
и сопутствующие дополнительные услуги";;;;;;;;;;;;;;;;;;;;;;;;;;;1 975 245;1 791 299;2 130 946;2 724 380;3 648 323;3 567 266 ;3 847 440 ;3 978 586 ;;;
"осударственное управление 
и обеспечение военной безопасности; социальное обеспечение";;;;;;;;;;;;;;;;;;;;;;;;;;;11 657 732;12 122 636;13 203 963;12 357 481;13 613 969;13 978 126 ;14 523 494 ;14 704 175 ;;;
образование;;;;;;;;;;;;;;;;;;;;;;;;;;;4 807 941;5 220 952;5 608 131;5 807 924;6 245 428;6 629 830 ;7 324 504 ;8 250 026 ;;;
деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;4 054 083;4 347 744;4 748 179;5 163 270;5 736 656;6 117 299 ;6 666 507 ;7 417 561 ;;;
"деятельность в области культуры, спорта, организации досуга 
и развлечений";;;;;;;;;;;;;;;;;;;;;;;;;;;1 888 338;2 119 910;2 520 019;2 526 531;2 839 180;3 124 844 ;3 455 109 ;3 722 194 ;;;
предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;422 572;442 939;501 375;408 194;597 990;523 898 ;598 952 ;709 783 ;;;
"Степень износа основных фондов 
на конец года, в процентах";35,4;42,5;33,7;41,3;39,5;37,8;41,0;41,6;41,7;39,3;41,1;44,0;43,0;41,9;45,2;46,3;46,2;45,3;45,3;47,1;47,9;47,7;48,2;49,4;47,7;48,1;47,3;46,6;37,8;39,0;40,5;40,5;41,2 ;42,3 ;;;
"Удельный вес полностью изношенных основных фондов на конец года, 
в процентах от общего объема основных фондов5)";;;7,5;11,4;9,5;9,9;10,9;11,5;11,9;12,7;13,6;17,1;15,0;14,8;13,3;13,3;12,9;13,1;13,0;13,5;14,4;14,0;14,6;14,9;15,8;16,9;17,9;18,7;19,5;20,6;21,7;-;-;-;;;
"Коэффициент обновления основных фондов (в сопоставимых ценах)6), 
в процентах";5,5;3,6;2,5;2,1;1,9;1,6;1,4;1,3;1,4;1,8;2,1;2,2;2,5;2,7;3,0;3,3;4,0;4,4;4,1;3,7;4,6;4,8;4,6;4,3;3,9;4,4;4,3;4,7;4,7;3,9;4,0;4,6;4,1;4,0 ;;;
"Коэффициент выбытия основных фондов (в сопоставимых ценах)6), 
в процентах ";2,1;1,6;1,9;2,0;1,9;1,7;1,6;1,4;1,2;1,3;1,3;1,3;1,2;1,1;1,1;1,0;1,0;1,0;1,0;0,8;0,8;0,7;0,7;0,8;1,0;0,8;0,7;0,7;0,7;0,4;0,5;0,6;0,6;0,6 ;;;
"Индекс физического объема основных фондов (в сопоставимых ценах)6), в процентах 
к предыдущему году";103,5;102,0;100,6;99,9;100,1;99,9;99,6;99,7;100,2;100,5;100,9;101,0;101,3;101,6;101,9;102,4;103,1;103,6;103,2;103,0;104;104,3;104,1;103,7;103,2;103,9;103,8;104,2;104,2;103,7;103,7;104,2;103,6;103,5 ;;;
______________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1) С 2011 г. - с учетом переоценки, проведенной на конец года.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Начиная с 2010 г. данные уточнены, расчеты проведены по полному кругу организаций с учетом основных фондов Банка России и основных фондов, находящихся в государственной казне.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) По видам экономической деятельности (по ОКВЭД) разработка показателей осуществляется с 2004 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) C 2019 г. жилые и нежилые здания, находящиеся в собственности домашних хозяйств, учитываются по кадастровой стоимости, определяемой органами Росреестра в целях налогообложения имущества физических лиц.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5) По коммерческим организациям (без субъектов малого предпринимательства), с 2022 года не разрабатывается;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6) В целях обеспечения статистической сопоставимости относительный показатель  по Российской Федерации за 2014 г. рассчитан без учета данных по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
