;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;;;;;;
19. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Использование информационных 
и коммуникационных технологий организациями";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Удельный вес организаций, использовавших информационные и коммуникационные технологии, 
в процентах от общего числа обследованных организаций:";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
персональные компьютеры;;;;;;;;;;;;;84,6;87,6;91,1;93,3;93,3;93,7;93,7;93,8;94,1;94,0;94,0;93,8;92,3;92,4;92,1;94,0;93,5;80,7;81,8;79,6;78,6;76,8;;;;;;;;;
серверы1);;;;;;;;;;;;;8,3;8,4;9,3;11,3;13,0;14,5;16,0;18,2;19,7;18,9;19,7;26,6;47,7;50,8;50,6;53,4;53,8;46,4;42,2;41,2;39,3;37,6;;;;;;;;;
локальные вычислительные сети;;;;;;;;;;;;;45,8;49,7;52,4;57,0;56,4;59,3;60,5;68,4;71,3;71,7;73,4;67,2;63,5;62,3;61,1;63,9;63,5;54,7;54,9;53,1;…;…;;;;;;;;;
электронную почту2);;;;;;;;;;;;;48,6;53,2;56,0;63,6;69,1;74,4;78,5;81,9;83,1;85,2;86,5;84,2;84,0;87,6;88,3;90,9;91,1;…;…;…;…;…;;;;;;;;;
глобальные информационные сети2);;;;;;;;;;;;;50,1;57,3;54,3;62,5;68,7;74,7;79,3;83,4;85,6;87,5;88,7;89,8;89,0;89,6;89,7;92,0;92,0;…;…;…;…;…;;;;;;;;;
из них сеть Интернет3);;;;;;;;;;;;;43,4;48,8;53,3;61,3;67,8;73,7;78,3;82,4;84,8;86,9;88,1;89,0;88,1;88,7;88,9;91,1;91,2;…;79,6;77,9;79,0;79,0;;;;;;;;;
Мобильный Интернет 4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,9;40,5;40,1;41,2;39,1;;;;;;;;;
Фиксированный (проводной и беспроводной) Интернет4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77,0;77,9;76,2;77,0;76,8;;;;;;;;;
из них использующие широкополосный доступ к сети Интернет5) ;;;;;;;;;;;;;;;;;31,0;39,2;47,3;56,7;63,4;76,6;79,4;81,2;79,5;81,8;83,2;86,5;86,6;58,1;75,6;74,1;72,9;71,9;;;;;;;;;
Удельный вес организаций, имевших веб-сайты в сети Интернет, в процентах ;;;;;;;;;;;;;13,5;14,4;14,8;21,1;19,8;22,8;24,1;28,5;33,0;37,8;41,3;40,3;42,6;45,9;47,4;50,9;51,9;44,3;46,2;45,6;46,5;49,5;;;;;;;;;
Число персональных компьютеров в обследованных организациях, тыс.шт. ;;;;;;;;;;;;;4 150,5;4 558,3;5 709,6;6 684,0;7 528,4;8 267,3;8 743,7;9 288,1;9 972,2;10 807,5;11 438,0;11 740,8;11 992,3;12 422,1;12 765,9;13 256,1;13 816,7;15 791,4;17 226,2;18 080,7;18 821,3;19 818,7;;;;;;;;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в составе локальных вычислительных сетей, тыс.шт.6);;;;;;;;;;;;;2 794,2;3 177,9;4 057,6;4 871,5;5 731,0;6 369,1;6 893,6;7 480,2;8 018,3;8 733,7;9 394,5;…;…;…;…;…;…;…;…;…;…;…;;;;;;;;;
имевшие доступ к глобальным информационным сетям;;;;;;;;;;;;;1 204,0;1 513,4;2 032,0;2 606,3;3 267,5;3 873,5;4 313,5;4 997,1;5 663,2;6 508,1;7 220,8;8 157,5;8 362,0;8 782,2;9 246,2;9 744,8;10 392,4;11 948,0;…;…;…;…;;;;;;;;;
в том числе к сети Интернет7);;;;;;;;;;;;;986,0;1 218,8;1 686,1;2 232,0;2 888,4;3 411,5;3 866,4;4 553,3;5 198,3;6 066,5;6 764,4;7 277,6;7 561,5;8 117,9;8 573,9;9 090,4;9 734,5;11 120,8;12 578,2;13106,8;13 410,9;…;;;;;;;;;
Поступило персональных компьютеров в отчетном году, тыс. шт.;;;;;;;;;;;;;656,2;743,8;984,2;1 170,9;1 257,9;1 159,2;890,6;999,9;1 251,6;1 454,1;1 351,5;1 177,7;952,2;986,7;1 148,8;1 301,6;1 453,5;2 077,7;1 825,6;1736,4;1 884,7;2 243,5;;;;;;;;;
Число персональных компьютеров на  100 работников, шт.;;;;;;;;;;;;;18;20;23;26;29;32;35;36;39;43;44;47;49;49;50;51;51;57;61;63;65;67;;;;;;;;;
