;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сальдо торгового баланса Российской Федерации 
со странами дальнего зарубежья, млн  долл. США";15 245;21 164;22 815;13 490;14 365;30 209;55 134;42 004;38 075;48 248;71 898;102 985;114 460;100 679;143 827;89 339;120 398;162 885;155 371;148 891;156 254;121 546;70 848;89 788;164 908;137 348;68 069;157 812;…;…;…;;;;;;;;;
"сальдо торгового баланса Российской Федерации 
со странами СНГ, млн  долл. США";2 780;-873;-1 967;668;1 838;2 185;1 955;3 231;5 575;7 599;11 718;13 200;19 834;22 768;33 798;23 891;26 597;33 969;36 291;31 675;32 677;26 852;19 366;24 770;30 150;28 496;25 372;35 303;…;…;…;;;;;;;;;
Экспорт услуг Российской Федерации3), млн  долл. США;;10 567;13 281;14 080;12 372;9 067;9 565;11 441;13 611;16 229;20 595;28 845;35 719;43 860;57 136;45 797;49 159;58 039;62 340;70 123;65 744;51 616;50 644;57 541;64 646;61 978;47 960;55 555;48 8024);40 4724);43 0524);;;;;;;;;
Импорт услуг Российской Федерации3), млн долл. США;;20 205;18 665;20 025;16 456;13 351;16 230;20 572;23 497;27 122;33 287;40 471;46 273;60 578;77 556;63 397;75 279;91 495;108 927;128 382;121 022;88 768;74 602;88 864;94 727;98 471;64 748;75 876;70 8744);76 6114);81 4624);;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены внешней торговли6);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Средние фактические экспортные цены на основные товары, долларов США за тонну;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Мясо свежее и мороженое 
(без мяса птицы)";;1 437;…;…;…;1 000;1 088;1 867;1 433;1308;1 689;1 929;2 456;2 279;3 178;3 588;3 351;5 196;5 273;5 931;5 553;2 881;2 452;2 595;2 879;2 653;2 545;3 312;…;…;…;;;;;;;;;
Мясо птицы свежее и мороженое;;1 222;…;…;…;800;978;1 133;1 107;968;1 781;1 820;1 572;1 934;2 012;1 069;931;1 269;1 175;1 166;1 055;1 060;1 023;1 059;1 040;1 555;1 447;1 764;…;…;…;;;;;;;;;
Рыба свежая и мороженая;;973;…;…;…;1 087;1 113;1 086;940;989;1 073;1 197;1 365;1 503;1 621;1 426;1 513;1 625;1 654;1 627;1 839;1 683;1 638;1 588;1 804;1 820;1 626;1 951;…;…;…;;;;;;;;;
Ракообразные и моллюски;;8 643;…;…;…;4 127;3 983;4 441;3 476;6019;5 166;5 296;5 596;7 972;7 353;6 845;6 322;6 859;7 319;7 949;8 242;7 958;8 317;10 346;11 246;12 609;14 267;23 963;…;…;…;;;;;;;;;
