;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Импорт товаров и услуг;181,6;9 173,2;52 300,0;141 665,5;369 902,7;438 694,0;527 711,4;645 633,8;1 262 349,2;1 755 804,7;2 165 927,7;2 646 204,1;3 153 920,2;3 773 863,5;4 648 275,4;5 653 419,9;7 162 210,8;9 110 986,5;7 954 327,1;9 789 614,0;12 010 756,9;13 786 871,7;14 919 620,8;16 351 535,6;17 162 487,6;17 691 379,3;19 090 204,4;21 590 413,0;22 793 396,1;22 010 394,6;27 732 053,4;23 639 235,9;32 357 089,8;35 385 808,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Налоги на продукты ;141,1;3 592,0;26 028,6;71 923,4;184 071,2;269 095,0;320 255,8;338 824,5;613 854,6;980 880,4;1 268 911,4;1 415 153,0;1 775 123,2;2 352 124,6;3 248 224,8;4 090 102,5;4 977 558,7;6 323 848,4;5 202 132,9;6 462 567,9;8 413 321,9;9 411 798,2;9 510 857,9;10 550 847,9;8 738 499,6;8 817 205,9;9 264 512,5;11 341 881,2;11 623 598,1;11 399 889,6;15 289 528,8;15 824 664,5;18 905 089,2;19 756 177,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Субсидии на продукты (-)1);90,0;3 257,3;10 471,2;24 025,1;75 174,4;89 479,0;105 661,1;92 461,2;118 494,4;147 432,9;171 422,1;165 911,6;186 639,7;183 700,7;156 125,1;150 244,8;214 516,7;229 697,6;226 238,1;194 104,2;214 912,3;244 040,6;246 412,7;258 701,8;271 647,2;278 255,4;318 752,7;309 072,5;502 452,5;737 851,6;1 362 823,5;1 355 411,7;1 468 073,3;1 631 000,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Использование;2 844,8;48 591,6;373 338,4;1 233 905,3;3 246 420,0;4 417 435,9;5 069 837,4;5 465 974,2;10 060 912,0;15 141 463,9;19 186 204,8;22 885 944,1;28 015 493,2;35 432 909,9;44 760 977,1;55 817 144,1;69 677 385,3;86 806 795,3;81 046 669,9;98 112 692,6;121 073 258,8;135 945 402,3;147 053 144,1;159 397 751,0;171 554 752,7;179 624 802,5;194 092 341,5;218 567 815,1;230 647 671,5;230 284 807,7;288 518 395,8;317 097 431,6;367 286 211,5;417 179 432,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Промежуточное потребление;1 264,7;20 412,9;149 528,9;481 494,6;1 447 995,2;1 970 916,8;2 199 612,0;2 190 717,4;3 975 329,3;6 080 012,9;8 076 694,7;9 409 204,9;11 653 339,2;14 631 855,5;18 502 936,2;23 246 522,8;29 267 661,3;36 418 959,6;34 285 124,2;42 014 537,4;48 948 501,1;54 055 081,0;59 147 822,2;64 016 175,3;71 304 905,0;76 317 339,4;83 158 982,9;93 115 751,0;98 245 969,6;100 616 282,1;126 058 875,0;136 517 272,5;158 515 534,6;180 641 531,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Расходы на конечное потребление;855,4;9 183,6;106 755,4;422 052,7;1 016 594,3;1 435 869,8;1 776 137,6;2 003 790,1;3 285 678,1;4 476 850,9;5 886 860,6;7 484 115,5;9 058 687,6;11 477 849,6;14 438 149,2;17 809 740,7;21 968 579,5;27 543 511,4;29 269 625,1;32 514 673,2;40 883 862,9;47 273 436,1;52 433 659,7;56 735 901,6;58 531 125,9;61 398 518,2;65 289 518,7;70 705 213,0;76 397 446,2;76 939 703,0;91 038 120,7;101 793 553,2;118 581 326,6;136 628 076,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовое накопление;507,2;6 582,1;46 316,9;155 971,4;363 362,0;475 256,4;514 801,3;393 482,2;715 319,5;1 365 733,8;1 963 110,4;2 169 313,7;2 755 048,5;3 558 951,4;4 338 730,5;5 698 727,3;8 034 098,2;10 526 116,1;7 344 756,5;10 472 630,0;14 584 067,5;16 721 898,6;16 985 025,9;17 695 485,3;18 402 773,4;19 773 399,8;21 681 180,5;22 764 479,2;24 838 854,0;25 252 069,1;30 999 930,8;36 414 801,4;47 645 149,4;52 900 650,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Экспорт товаров и услуг;185,6;11 847,5;65 524,7;169 534,3;418 468,5;523 463,1;579 286,5;821 043,4;2 084 585,1;3 218 866,3;3 299 561,7;3 813 694,6;4 655 880,3;5 860 396,9;7 607 256,5;9 079 332,7;10 028 762,1;12 923 553,7;10 842 026,2;13 529 310,9;16 865 192,2;18 324 772,3;18 863 370,2;21 425 934,6;23 848 895,9;22 135 545,1;23 962 659,4;31 982 372,8;31 165 401,6;27 476 753,5;40 421 469,3;43 504 561,4;39 680 225,8;44 085 744,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Статистическое расхождение;31,9;565,5;5 212,5;4 852,3;0,0;11 929,8;0,0;56 941,1;0,0;0,0;-40 022,6;9 615,4;-107 462,4;-96 143,5;-126 095,3;-17 179,4;378 284,2;-605 345,5;-694 862,1;-418 458,9;-208 364,9;-429 785,7;-376 733,9;-475 745,9;-532 947,5;0,0;0,0;-0,9;0,1;0,0;0,0;-1 132 756,9;2 863 975,1;2 923 430,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Счет производства 
(в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
