;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
"Выбросы наиболее распространенных загрязняющих атмосферу веществ, отходящих от стационарных источников - всего3);4), тыс. т";31 801,5;28 207,6;24 788,3;21 929,1;21 269,6;20 274,1;19 332,9;18 661,8;18 539,7;18 819,8;19 123,6;19 481,2;19 829,4;20 491,3;20 425,4;20 568,4;20 636,9;20 103,3;19 021,2;19 115,6;19 162,3;19 630,3;18 446,5;17 451,9;17 295,7;17 349,3;17 477,5;17 068,1;17 295,1;16 951,5;17 207,7;17 173,9;16 952,2;17 092,2;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
твердые вещества;6 435,7;5 609,1;4 746,1;3 870,2;3 600,4;3 233,4;3 041,8;2 864,4;2 768,4;2 972,2;2 973,2;2 882,8;2 868,0;2 855,7;2 802,0;2 842,8;2 743,4;2 704,2;2 341,1;2 381,2;2 283,1;2 249,4;2 008,5;1 922,2;1 820,4;1 723,9;1 728,9;1 509,0;1 611,3;1 566,8;1 650,5;1 668,2;1 705,1;1 716,0;
газообразные и жидкие вещества;25 365,9;22 598,5;20 042,2;18 058,9;17 669,2;17 040,8;16 291,1;15 797,4;15 771,2;15 847,6;16 150,4;16 598,4;16 961,4;17 635,6;17 623,3;17 725,6;17 893,5;17 399,0;16 680,1;16 734,4;16 879,2;17 380,9;16 438,0;15 529,7;15 475,3;15 625,4;15 748,5;15 559,1;15 683,7;15 384,7;15 557,2;15 505,8;15 247,1;15 376,2;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
диоксид серы;9 165,4;8 171,3;7 217,9;6 512,5;6 424,8;6 156,7;5 991,1;5 679,3;5 505,5;5 407,1;5 254,0;4 987,4;4 959,6;4 768,4;4 675,0;4 764,7;4 573,1;4 534,1;4 370,6;4 385,3;4 342,7;4 340,9;4 173,3;4 036,3;4 099,4;4 011,4;3 700,5;3 617,0;3 676,7;3 594,4;3 225,6;3 428,8;3 266,4;2 891,8;
оксиды азота7);3 029,7;2 718,1;2 462,0;2 085,2;1 996,6;1 920,4;1 799,7;1 753,3;1 716,4;1 698,4;1 678,9;1 646,2;1 661,8;1 628,9;1 666,8;1 703,1;1 732,8;1 816,6;1 730,5;1 855,2;1 880,0;1 937,5;1 874,2;1 805,5;1 787,4;1 830,1;1 879,4;1 770,7;1 799,0;1 822,1;1 949,7;1 972,8;1 936,9;2 009,0;
оксид углерода;7 587,5;6 813,0;5 894,0;5 140,8;5 005,6;4 876,6;4 653,0;4 562,9;4 663,9;4 997,9;5 148,1;5 857,5;5 929,4;6 774,4;6 521,2;6 338,3;6 448,4;6 091,5;5 500,5;5 565,1;5 753,5;6 001,8;5 350,9;4 938,4;4 799,6;4 907,1;4 950,3;4 868,4;4 834,6;4 816,9;5 296,5;5 169,4;5 060,1;5 284,5;
углеводороды (без летучих органических соединений);3 460,6;2 583,9;2 386,7;2 609,3;2 735,7;2 531,3;2 554,2;2 571,6;2 767,7;2 685,4;2 723,6;2 733,2;2 834,1;2 786,8;2 868,1;2 815,0;2 992,4;3 217,5;3 347,3;3 135,9;3 105,8;3 293,3;3 424,8;3 251,0;3 323,0;3 406,1;3 783,1;3 805,3;3 953,3;3 718,9;3 610,3;3 399,6;3 424,4;3 605,5;
летучие органические соединения;1 741,6;1 608,9;1 604,8;1 238,0;1 110,9;1 161,8;989,9;921,9;831,0;850,4;1 130,8;1 164,8;1 356,5;1 448,2;1 650,6;1 863,1;1 908,6;1 532,0;1 546,0;1 605,3;1 622,8;1 638,2;1 455,8;1 340,0;1 294,5;1 304,6;1 254,5;1 335,7;1 271,5;1 261,0;1 315,3;1 363,6;1 377,9;1 437,2;
Использование (утилизация) загрязняющих атмосферу веществ, уловленных очистными установками3), млн т;60,1;49,5;44,6;35,6;36,8;33,0;32,9;27,5;30,7;33,6;28,6;28,1;28,5;27,8;29,7;29,9;31,3;29,4;24,3;27,6;29,2;26,2;27,5;28,9;27,2;25,5;26,3;24,0;29,4;23,5;22,0;27,4;26,8;26,2;
Использование (утилизация) загрязняющих атмосферу веществ, уловленных очистными установками, в процентах от общего количества уловленных загрязняющих атмосферу веществ3);54;52;52;50;52;51;51;47;50;51;47;49;50;50;51;49;51;49;46;46;49;46;51;53;52;52;52;51;57;53;47;49;56;56;
Образовалось отходов производства и потребления8), млн т;;;;;;;;;;;;2037,6;2 613,5;2 644,3;3 035,5;3 519,4;3 899,3;3 876,9;3 505,0;3 734,7;4 303,3;5 007,9;5 152,8;5 168,3;5 060,2;5 441,3;6 220,6;7 266,1;7 750,9;6 955,7;8 448,6;9 017,3;9 278,8;8 514,7;
"Образовалось опасных отходов производства 
и потребления9), млн т ";;;;;;;;;;;;210,6;287,3;142,8;142,5;140,0;287,7;122,9;141,0;114,4;120,2;113,7;116,7;124,3;110,1;98,3;107,7;127,6;100,6;98,1;117,9;104,7;81,1;81,6;
"Использование и обезвреживание отходов производства и потребления8);10), млн т ";;;;;;;;;;;;1 215,9;1 342,7;1 140,9;1 265,7;1 395,8;2 257,4;1 960,7;1 661,4;1 738,1;1 990,7;2 348,1;2 043,6;2 357,2;2 685,1;3 243,7;3 264,6;3 818,4;3 881,9;3 429,0;3 937,2;4 125,2;3 960,9;3 079,9;
Число государственных природных заповедников;76;79;85;90;94;94;95;99;99;100;100;100;100;100;100;100;101;101;101;101;102;102;102;103;103;103;105;110;108;109;108;107;107;107;
их площадь, млн га;19,9;20,4;28,7;29,5;30,2;31,0;31,1;33,2;33,3;33,3;33,7;33,7;33,7;33,7;33,7;33,7;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,9;33,8;34,5;34,5;33,6;34,5;34,4;30,9;30,9;30,9;
Число национальных парков;16;22;25;28;30;31;32;34;35;35;35;35;35;35;35;35;35;39;40;40;41;42;44;47;48;50;52;56;63;64;65;67;70;72;
их площадь, млн га;3,4;4,0;4,3;6,2;6,3;6,3;6,4;6,6;6,7;6,8;6,9;6,9;6,9;6,9;6,9;6,9;6,9;7,3;7,8;7,8;9,2;9,5;11,5;12,8;13,9;21,4;21,6;23,4;26,6;26,9;27,0;31,4;31,5;31,6;
"Расходы на охрану окружающей среды11) - всего 
(в фактически действовавших ценах), млн руб.";;;;;;;;;;;;;;;;;;;…;…;…;…;…;…;…;…;…;572 652,9;622 160,3;666 152,3;804 762,0;879 498,0;1 038 750,3;1 127 968,7;
Индекс физического объема природоохранных расходов - всего (в процентах к предыдущему году, в сопоставимых ценах)11);;;;;;;;;;;;;;;;;;;;;;;…;…;…;…;…;…;104,6;104,8;107,7;95,7;110,6;99,4;
_______________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1) По данным Росводресурсов. 2023-2024 гг.– с учетом информации по Донецкой Народной Республике, Луганской Народной Республике, Запорожской и Херсонской областям.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) По данным Росводресурсов. 2014 г. - без  учета статистической информации по Республике Крым и г. Севастополь.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3)  С 2012 г. - включая индивидуальных предпринимателей.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) С 2018 г. – по данным Росприроднадзора.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"5) 1991-2005 гг. - по данным бывш. Министерства природных ресурсов Российской Федерации, с 2006 г. - по данным Росприроднадзора и Ростехнадзора. До 2005 г. включительно - выбросы от автомобильного транспорта;  с 2006 г. - выбросы от автомобильного и железнодорожного транспорта.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6) С 2019 г. данные о выбросах от автомобильного и железнодорожного транспорта рассчитаны с учетом требований Таможенного Союза и ОЭСР к экологическим классам АТС и качеству и типам топлива.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7) В пересчете на NO2. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8) 2002, 2003 гг. - по данным бывш. Министерства природных ресурсов Российской Федерации,  2004-2009 гг. - по данным Ростехнадзора, с 2010 г. - по данным Росприроднадзора.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9) Отходы производства и потребления с I по IV класс опасности для окружающей природной среды.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10) C 2017 г. - утилизация и обезвреживание отходов производства и потребления.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11) Данные представлены без учета государственного сектора.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Геологоразведочные работы1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Глубокое разведочное бурение, тыс. м;4 335;3 899;2 211;1 471;1 526;1 479;1 521;1 255;1 235;1 722;1 850;1 108;1 087;931;1 085;1 221;1 501;1 457;913;1 177;1 252;1 289;1 248;1 281;1 058;1 115;1 155;1 246;1 394;1 156;1 086;1 051;1 050;1 149;
Глубокое разведочное бурение на нефть и газ, тыс. м;4 263;3 885;2 207;1 469;1 521;1 477;1 510;1 250;1 234;1 719;1 847;1 105;1 080;925;1 079;1 211;1 488;1 432;901;1 169;1 235;1 258;1 222;1 267;1 038;1 109;1 143;1 238;1 373;1 149;1 076;1 035;1 035;1 118;
_________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1)  C 2014 г. - по данным Роснедр; включая работы на территории континентального шельфа, Мирового океана.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
