,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
21. ФИНАНСЫ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Государственные финансы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Доходы консолидированного бюджета Российской Федерации1), млрд руб. 
(до 1998 г. - трлн руб.)",0.3,5.3,49.7,172.4,437.0,558.5,711.6,686.8,"1,213.6","2,097.7","2,683.7","3,519.2","4,138.7","5,429.9","8,579.6","10,625.8","13,368.3","16,169.1","13,599.7","16,031.9","20,855.4","23,435.1","24,442.7","26,766.1","26,922.0","28,181.5","31,046.7","37,320.3","39,497.6","38,205.7","48,118.4","53,074.2","59,073.4","70,940.9"
"Расходы консолидированного бюджета Российской Федерации1), млрд руб.
(до 1998 г. - трлн руб.)",0.4,6.0,57.7,230.4,486.1,652.7,839.5,842.1,"1,258.0","1,960.1","2,419.4","3,422.3","3,964.9","4,669.7","6,820.6","8,375.2","11,378.6","14,157.0","16,048.3","17,616.7","19,994.6","23,174.7","25,290.9","27,611.7","29,741.5","31,323.7","32,395.7","34,284.7","37,382.2","42,503.0","47,072.7","55,181.8","62,983.6","74,166.3"
"Профицит, дефицит (-) консолидированного бюджета Российской Федерации1), млрд руб. (до 1998 г. - трлн руб.)",0.0,-0.6,-7.9,-65.5,-49.1,-94.2,-127.9,-155.3,-44.4,137.6,264.3,97.0,173.8,760.2,"1,759.0","2,250.6","1,989.7","2,012.1","-2,448.6","-1,584.7",860.7,260.4,-848.2,-845.6,"-2,819.5","-3,142.1","-1,349.1","3,035.6","2,115.3","-4,297.3","1,045.7","-2,107.6","-3,910.2","-3,225.4"
"Источники финансирования дефицита федерального бюджета1), млрд руб. 
(до 1998 г. - трлн руб.)",,,,,43.1,74.3,93.1,146.3,51.4,-102.9,-272.1,-150.5,-227.6,-730.0,"-1,612.9","-1,994.1","-1,794.6","-1,705.1","2,322.3","1,812.0",-442.0,39.4,323.0,334.7,"1,961.0","2,956.4","1,331.4","-2,741.4","-1,974.3","4,102.5",-524.3,"3,294.5","3,229.8","3,471.9"
"Внешний долг органов государственного управления 2), на конец года, 
млрд долл.США ",,,114.4,122.8,124.5,138.4,149.7,154.4,145.5,126.6,110.4,103.3,103.2,100.7,71.1,44.7,37.4,29.5,31.3,34.6,34.7,54.4,61.7,41.6,30.5,39.1,55.6,44.0,70.1,65.3,63.4,46.1,32.7,19.3
"Задолженность по налогам и сборам 
в консолидированный бюджет Российской Федерации, на начало года; млрд руб.3) 
(до 1998 г. - трлн руб.) ",,,,,15.1,56.8,128.2,181.8,259.0,371.6,461.7,475.0,520.5,522.4,892.0,754.2,757.5,574.9,559.1,699.0,704.5,675.3,728.2,770.3,802.7,827.5,"1,031.7","1,081.7",791.8,710.2,"1,830.4","1,989.0","2,528.0",…
"Поступление средств в Фонд пенсионного и социального страхования Российской Федерации4), млрд руб. 
(до 1998 г. - трлн руб.) ",,1.3,10.6,38.3,88.3,131.7,178.3,166.7,276.5,431.3,532.1,699.9,843.1,"1,015.8","1,349.6","1,637.6","1,946.8","2,730.2","3,222.6","4,610.1","5,255.6","5,890.4","6,388.4","6,159.1","7,126.6","7,625.2","8,260.1","8,269.6","8,781.0","10,303.3","9,794.3","12,477.8","13,264.9","16,208.2"
"Расходование средств Фонда пенсионного и социального страхования Российской Федерации4), млрд руб. 
(до 1998 г . - трлн руб.)",,0.9,10.4,37.3,88.7,129.6,176.6,167.0,271.4,341.1,514.8,789.6,804.1,967.5,"1,299.1","1,537.3","1,786.5","2,357.8","3,008.7","4,249.2","4,922.1","5,451.2","6,378.5","6,190.1","7,670.3","7,829.7","8,319.5","8,428.7","8,627.1","9,727.7","10,125.1","11,374.3","13,858.3","15,653.2"
