;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грузовые перевозки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Перевозки грузов всеми видами транспорта, млн т;18 307,8;15 736,3;12 752,0;9 940,0;8 813,7;8 166,2;7 482,5;7 078,2;7 381,5;7 907,1;8 200,3;8 487,5;8 767,8;8 978,3;9 167,1;9 300,7;9 450,6;9 451,1;7 469,5;7 750,4;8 337,1;8 519,3;8 264,5;8 006,5;7 898,0;7 953,6;8 072,6;8 265,1;8 425,7;7 959,7;8 262,4;8 779,4;9 059,3;9 285,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
железнодорожным транспортом;1 957,3;1 640,1;1 347,8;1 058,2;1 028,0;911,5;887,2;834,8;947,4;1 046,8;1 057,5;1 083,7;1 160,9;1 221,2;1 273,3;1 311,6;1 344,6;1 304,4;1 108,8;1 312,0;1 381,7;1 421,1;1 381,2;1 375,4;1 329,0;1 325,2;1 384,3;1 410,9;1 398,6;1 358,5;1 403,9;1 351,3;1 365,2;1 306,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
автомобильным транспортом;14 688,3;12 750,0;10 224,6;7 845,3;6 786,4;6 305,0;5 647,6;5 307,8;5 491,1;5 878,4;6 125,3;6 347,7;6 468,1;6 567,8;6 684,6;6 753,3;6 861,4;6 893,1;5 240,5;5 236,4;5 663,1;5 841,6;5 635,3;5 416,7;5 356,7;5 396,8;5 403,9;5 544,4;5 735,3;5 404,7;5 581,7;6 210,6;6 491,2;6 775,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
трубопроводным транспортом - всего;1 042,2;946,7;873,1;800,7;782,6;783,4;785,8;789,8;801,9;828,9;853,4;899,3;976,5;1 024,3;1 048,1;1 070,3;1 062,0;1 066,7;984,9;1 061,5;1 130,9;1 096,4;1 095,2;1 078,1;1 071,0;1 088,0;1 138,2;1 169,3;1 159,2;1 061,4;1 141,4;1 072,8;1 059,7;1 065,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
газопроводным транспортом1);545,7;523,4;511,6;482,9;473,8;481,5;480,0;487,0;498,9;511,2;508,8;513,8;544,5;555,1;565,8;581,1;571,6;578,6;480,0;536,6;555,1;541,1;537,5;512,0;493,0;509,4;548,8;566,4;550,9;511,6;574,6;484,3;…;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
нефтепроводным транспортом1);441,4;382,8;335,4;299,5;287,9;281,5;283,8;282,0;282,1;294,6;319,7;359,8;404,3;441,5;454,1;460,8;461,8;456,4;474,4;491,7;543,8;523,4;524,6;532,1;543,3;543,4;553,4;561,1;567,7;509,5;523,9;544,4;…;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
нефтепродуктопроводным транспортом1);55,1;40,5;26,1;18,3;20,9;20,4;22,1;20,9;20,9;23,1;24,9;25,7;27,6;27,6;28,2;28,4;28,7;31,6;30,6;33,2;32,0;32,0;33,1;34,0;34,7;35,2;36,1;41,8;40,5;40,4;42,9;44,1;…;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"морским транспортом2);3)";103,5;90,6;85,3;74,7;71,1;59,4;54,3;41,2;37,6;35,4;33,8;37,3;35,7;29,1;26,0;25,4;28,1;35,2;37,4;37,0;34,0;18,3;16,7;15,8;18,8;24,6;26,4;23,2;23,2;24,7;23,4;27,6;33,2;31,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"внутренним водным транспортом2);3)";514,3;307,5;220,3;160,4;144,9;106,1;106,7;104,0;102,8;116,8;129,5;118,7;125,8;135,0;134,2;139,2;153,4;150,8;96,9;102,4;126,2;140,5;134,9;119,1;121,4;118,0;118,5;116,2;108,2;109,0;110,5;116,4;109,3;105,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"воздушным транспортом4) 
(с 2000 г. включая перевозки грузов нерегулярными перевозчиками)";2,2;1,4;0,9;0,7;0,6;0,8;0,8;0,6;0,7;0,8;0,9;0,9;0,8;0,9;0,8;0,9;1,0;1,0;0,9;1,1;1,2;1,2;1,2;1,3;1,0;1,1;1,3;1,3;1,3;1,3;1,6;0,7;0,6;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Грузооборот всех видов транспорта,
млрд т-км";8 097,5;4 913,2;4 316,1;3 724,0;3 687,3;3 519,8;3 384,2;3 267,4;3 461,1;3 638,1;3 753,6;3 976,3;4 282,5;4 558,2;4 675,5;4 799,7;4 915,2;4 948,3;4 446,3;4 751,7;4 914,5;5 055,5;5 083,7;5 080,0;5 108,1;5 198,4;5 488,0;5 635,5;5 678,3;5 401,1;5 712,8;5 582,1;5 550,9;5 579,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
железнодорожного транспорта;2 325,9;1 967,1;1 607,7;1 195,5;1 213,7;1 131,3;1 100,3;1 019,5;1 204,5;1 373,2;1 433,6;1 510,2;1 668,9;1 801,6;1 858,1;1 950,8;2 090,3;2 116,2;1 865,3;2 011,3;2 127,8;2 222,4;2 196,2;2 300,5;2 305,9;2 344,1;2 493,4;2 597,8;2 602,5;2 545,3;2 639,4;2 637,8;2 638,3;2 525,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
автомобильного транспорта;300,2;257,2;207,2;182,0;156,5;147,0;137,1;125,8;140,0;152,7;159,9;167,2;173,1;182,1;193,6;198,8;205,8;216,3;180,1;199,3;222,8;248,9;250,1;246,8;247,1;248,3;254,5;259,1;275,4;271,8;296,7;313,9;362,2;387,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
трубопроводным транспортом - всего;2 404,5;2 145,9;2 019,4;1 935,5;1 899,1;1 913,0;1 844,0;1 887,8;1 903,9;1 916,5;1 961,5;2 099,7;2 272,5;2 413,2;2 473,5;2 498,9;2 464,5;2 464,1;2 246,2;2 382,1;2 421,9;2 453,1;2 512,8;2 423,1;2 444,2;2 489,1;2 614,9;2 667,8;2 686,2;2 470,1;2 653,0;2 514,8;2 423,0;2 531,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
газопроводного транспорта 1);1 353,1;1 306,4;1 269,9;1 257,4;1 230,6;1 247,4;1 165,4;1 197,0;1 194,3;1 171,5;1 164,4;1 203,4;1 269,9;1 297,0;1 317,2;1 345,0;1 323,6;1 351,2;1 123,4;1 259,1;1 301,8;1 265,5;1 288,9;1 202,7;1 175,6;1 181,0;1 299,7;1 336,2;1 317,8;1 220,8;1 371,4;1 162,6;…;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
нефтепроводного транспорта 1);1 012,5;811,5;733,1;666,6;649,8;645,5;656,1;669,6;685,4;717,9;769,3;866,7;970,9;1 083,4;1 123,1;1 119,3;1 106,2;1 077,1;1 087,2;1 084,4;1 082,6;1 151,9;1 182,3;1 178,0;1 226,4;1 262,0;1 265,4;1 276,3;1 317,7;1 197,5;1 230,1;1 301,5;…;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
нефтепродуктопроводного транспорта 1);38,9;27,9;16,3;11,6;18,7;20,1;22,5;21,3;24,1;27,1;27,8;29,7;31,7;32,8;33,2;34,6;34,7;35,8;35,6;38,5;37,6;35,8;41,7;42,4;42,1;46,1;49,9;55,3;50,7;51,8;51,5;50,7;…;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"морского транспорта2);3)";464,2;405,5;374,6;319,9;325,6;253,3;222,9;163,6;144,4;122,2;113,0;112,3;84,5;65,8;60,3;61,6;65,0;84,4;98,4;100,3;77,8;45,3;39,5;32,1;41,7;43,1;50,1;36,9;40,8;42,5;43,9;44,7;69,2;75,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
