;млн.$;2000;2010;2011;2012;2013
VS;всего;105033;392674;515409;527434;523275
NEF;Нефть сырая;25284;134757;181764;180930;173670
NFP;Нефтепродукты;10938;70085;96003;103624;109415
GAZ;Газ природный;16644;47579;63933;61768;67232
CHM;Черные металлы;6733;20843;24724;22607;20070
UGL;Уголь каменный;1163;9184;11410;13015;11821
HIM;Продукты неорганической химии;2178;6679;8273;7841;8035
AL;Алюминий необработанный;4157;6033;6809;6211;6133
AVI;Авиационная техника;1165;4859;6027;4335;5542
ZLA;Злаки;146;2416;4456;6252;4752
ORG;Органические химические соединения;202;3421;4636;4520;4600
LES;Лесоматериалы обработанные;739;3024;3468;3358;3652
NI;Никель необработанный;1706;5243;4497;3721;3626
UDO;Удобрения минеральные смешанные;644;2756;4058;3987;3571
IZM;Изделия из черных металлов;711;2570;3269;3063;3439
PR;прочее;30623;71215;90071;100190;95704