;% к итогу, по стоимости;1995;2000;2005;2006;2007;2008;2009;2010;2011
PROD;продовольственные товары;28,1;21,8;17,7;15,7;13,8;13,2;17,9;15,9;13,9
MIN;минеральные продукты;6,4;6,3;3,1;2,4;2,3;3,1;2,4;2,3;3,4
HIM;продукция химической промышленности;10,9;18;16,5;15,8;13,8;13,2;16,7;16,1;15,1
KOZ;кожевенное сырье, пушнина и изделия из них;0,3;0,4;0,3;0,3;0,4;0,4;0,5;0,5;0,5
DER;древесина и целлюлозно-бумажные изделия;2,4;3,8;3,3;2,9;2,7;2,4;3;2,6;2,2
TEX;текстиль, текстильные изделия и обувь;5,7;5,9;3,7;4;4,3;4,4;5,7;6,2;5,5
MET;металлы, драгоценные камни и изделия из них;8,5;8,3;7,7;7,7;8,2;7,2;6,8;7,3;7,5
MAS;машины, оборудование и транспортные средства;33,6;31,4;44;47,7;50,9;52,7;43,4;44,4;48,2
PRC;прочие товары;4,1;4,1;3,7;3,5;3,6;3,4;3,6;4,7;3,7
