;;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
GOS;на общегосударственные вопросы;;;;;;;;;;;;;;8,328827932;8,411127707;11,2350917;9,062330766;7,007173839;6,848529775;7,119059823;6,280728965;6,37562767
OB;на национальную оборону;22,5;20,33898305;19,97196917;18,02325581;17,93935991;18,6440678;13,78653113;17,33393312;18,62611737;18,73817989;14,38029403;15,08098024;15,93241691;16,53529864;15,91206124;13,89603448;13,74869566;12,30007971;12,61675315;13,87566816;14,0550601;15,76556996
GB;на правоохранительную деятельность и обеспечение безопасности государства;7,5;9,039548023;10,30133146;7,340116279;8,001122965;10,35272561;7,094451504;8,337082021;10,24096386;11,26408957;9,273683186;10,51047231;11,68624254;12,80767151;12,84073936;11,14154946;11,03699692;10,39844308;10,72794663;11,53071685;14,29236138;15,45079817
SOC;на социально-культурные мероприятия;10;7,344632768;7,498248073;7,122093023;7,720381808;14,08612002;13,06649725;12,76053381;13,04897007;15,43989712;30,09930873;12,91868057;13,06458187;13,55035142;14,38573562;12,96395283;13,41584224;12,47916688;12,46058809;40,00329501;41,02753005;
EC;на национальную экономику;27,5;12,14689266;13,31464611;;;;;;;;;;;7,076800501;8,0517177;11,56917115;13,538681;17,08781483;12,08500124;16,38537014;15,26560682;13,85970172
DOL;на обслуживание государственного и муниципального долга;;;;10,1744186;12,52105559;9,48236372;31,49089369;24,42645074;25,04858142;17,48241168;11,17710057;9,36572543;7,584571492;5,927211678;4,032860344;2,390338422;2,024858339;1,823997681;1,927353595;2,404444607;2,481582009;2,700292288
ZKH;на жилищно-коммунальное хозяйство;;;;;;;;;;;;;;0,196340665;1,229929052;4,926001403;1,710496771;1,569341932;2,321719792;2,560957751;1,774331136;1,330285543
MBT;на межбюджетные трансферты;;;;;;;;;;;;;;35,44375836;34,98179612;31,73921759;35,32737191;37,19837269;40,87867556;;;
PR;прочее;32,5;51,1299435;48,91380519;57,34011628;53,81807973;47,43472286;34,56162643;37,1420003;33,03536728;37,07542174;35,06961347;52,12414144;51,73218719;0,133739294;0,15403286;0,138642969;0,134726387;0,135609362;0,133432172;6,120487662;4,822799535;44,51772465
