;;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
VS;всего;4;35,4;142,7;275,2;356,2;436,6;472,2;666,9;1029,2;1321,9;2054,2;2358,6;2698,9;3514,3;4284,8;5986,6;7570,9;9660,1;10117,5;10925,6;12895;13 343,00
GOS;на общегосударственные вопросы;;;;;;;;;;;;;;292,7;360,4;672,6;686,1;676,9;692,9;777,8;809,9;850,70
OB;на национальную оборону;0,9;7,2;28,5;49,6;63,9;81,4;65,1;115,6;191,7;247,7;295,4;355,7;430;581,1;681,8;831,9;1040,9;1188,2;1276,5;1516;1812,4;2 103,60
GB;на правоохранительную деятельность и обеспечение безопасности государства;0,3;3,2;14,7;20,2;28,5;45,2;33,5;55,6;105,4;148,9;190,5;247,9;315,4;450,1;550,2;667;835,6;1004,5;1085,4;1259,8;1843;2061,6
SOC;на социально-культурные мероприятия;0,4;2,6;10,7;19,6;27,5;61,5;61,7;85,1;134,3;204,1;618,3;304,7;352,6;476,2;616,4;776,1;1015,7;1205,5;1260,7;4370,6;5290,5;
EC;на национальную экономику;1,1;4,3;19;;;;;;;;;;;248,7;345;692,6;1025;1650,7;1222,7;1790,2;1968,5;1849,3
DOL;на обслуживание государственного и муниципального долга;;;;28;44,6;41,4;148,7;162,9;257,8;231,1;229,6;220,9;204,7;208,3;172,8;143,1;153,3;176,2;195;262,7;320;360,3
ZKH;на жилищно-коммунальное хозяйство;;;;;;;;;;;;;;6,9;52,7;294,9;129,5;151,6;234,9;279,8;228,8;177,5
MBT;на межбюджетные трансферты;;;;;;;;;;;;;;1245,6;1498,9;1900,1;2674,6;3593,4;4135,9;0;0;
PR;прочее;1,3;18,1;69,8;157,8;191,7;207,1;163,2;247,7;340;490,1;720,4;1229,4;1396,2;4,7;6,6;8,3;10,2;13,1;13,5;668,7;621,9;5940
