СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;;;
21. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Организации, выполнявшие научные исследования и разработки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число организаций, выполнявших научные исследования и разработки, единиц;4564;4555;4269;3968;4059;4122;4137;4019;4089;4099;4037;3906;3797;3656;3566;3622;3957;3666;3536;3492;3682;3566;3605;3604;4175;4032;;;;;;;;;;;;;;;;;
Кадры науки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность персонала, занятого научными исследованиями и разработками, человек;1677784;1532618;1315008;1106250;1061044;990743;934637;855190;872363;887729;885568;870878;858470;839338;813207;807066;801135;761252;742433;736540;735273;726318;727029;732274;738857;722291;;;;;;;;;;;;;;;;;
Численность исследователей по областям науки, человек;1079088;804043;644881;525319;518690;484796;455108;416958;420212;425954;422176;414676;409775;401425;391121;388939;392849;375804;369237;368915;374746;372620;369015;373905;379411;370379;;;;;;;;;;;;;;;;;
в том числе по областям науки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
естественные;;;;116391;114335;110295;107800;100269;100458;99834;97615;96887;96328;91698;91570;89304;94668;91117;89856;89375;89733;88704;85588;88370;86722;85979;;;;;;;;;;;;;;;;;
технические;;;;345921;342906;317789;292675;265175;268307;274955;273597;266549;256921;258850;249358;248201;244475;232463;227403;224641;226492;225118;225082;226682;231809;225038;;;;;;;;;;;;;;;;;
медицинские;;;;18866;16781;16256;15456;15944;16230;15539;15669;16849;22039;15907;15672;15896;16734;16713;16652;16516;16793;16595;16352;15714;15819;16137;;;;;;;;;;;;;;;;;
сельскохозяйственные;;;;18228;18077;16326;15317;13889;13799;14390;14259;14061;13735;14280;13724;13447;13743;13622;13217;12734;12933;12288;11869;11869;11296;11066;;;;;;;;;;;;;;;;;
общественные;;;;17917;18049;16033;15527;13777;13534;13259;13159;12571;12565;12467;12497;13721;13740;13012;13272;14347;16967;17284;18384;18705;20874;19831;;;;;;;;;;;;;;;;;
гуманитарные;;;;7996;8542;8097;8333;7904;7884;7977;7877;7759;8187;8223;8300;8370;9489;8877;8837;11302;11828;12631;11740;12565;12891;12328;;;;;;;;;;;;;;;;;
Подготовка научных кадров;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число организаций, ведущих подготовку аспирантов, единиц;1276;1296;1338;1332;1334;1323;1332;1338;1357;1362;1393;1416;1441;1452;1473;1493;1490;1529;1547;1568;1570;1575;1557;1519;1446;1359;;;;;;;;;;;;;;;;;
Численность аспирантов, человек;59314;51915;50296;53541;62317;74944;88243;98355;107031;117714;128420;136242;140741;142662;142899;146111;147719;147674;154470;157437;156279;146754;132002;119868;109936;98352;;;;;;;;;;;;;;;;;
Прием в аспирантуру, человек;;13865;16507;19416;24025;29012;32670;34351;37666;43100;45241;46935;47803;47687;46896;50462;51633;49638;55540;54558;50582;45556;38971;32981;31647;26421;;;;;;;;;;;;;;;;;
Выпуск из аспирантуры, человек;16322;14857;13432;12292;11369;11931;14135;17972;21982;24828;25696;28101;30799;32595;33561;35530;35747;33670;34235;33763;33082;35162;34733;28273;25826;25992;;;;;;;;;;;;;;;;;
Выпуск из аспирантуры с защитой диссертации, человек;3105;3135;3198;2712;2609;2881;3553;4691;5953;7503;6172;7411;8378;10256;10650;11893;10970;8831;10770;9611;9635;9195;8979;5189;4651;3730;;;;;;;;;;;;;;;;;
Число организаций, ведущих подготовку докторантов, единиц;312;338;452;351;384;398;422;452;476;492;510;531;543;533;535;548;579;593;598;602;608;597;585;478;437;385;;;;;;;;;;;;;;;;;
Численность докторантов, человек;1834;1644;1687;1850;2190;2554;3182;3684;3993;4213;4462;4546;4567;4466;4282;4189;4109;4242;4294;4418;4562;4554;4572;3204;2007;921;;;;;;;;;;;;;;;;;
Прием в докторантуру, человек;618;540;701;740;904;1058;1330;1473;1466;1637;1630;1579;1611;1567;1457;1499;1520;1517;1569;1650;1696;1632;1582;166;419;397;;;;;;;;;;;;;;;;;
Выпуск из докторантуры, человек;430;617;573;464;464;574;662;821;1033;1251;1257;1267;1385;1451;1417;1383;1320;1216;1302;1259;1321;1371;1356;1359;1386;1346;;;;;;;;;;;;;;;;;
Выпуск из докторантуры с защитой диссертации, человек;154;247;194;168;137;200;226;312;356;486;397;411;414;505;516;450;429;297;435;336;382;394;323;231;181;151;;;;;;;;;;;;;;;;;
Финансирование науки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Расходы федерального бюджета на науку1), млн.руб. (до 1998 г. - млрд.руб.) ;…;95,3;700,0;2366,3;4413,6;5699,6;8808,7;6239,4;11621,5;17396,4;23687,7;31055,8;41576,3;47478,1;76909,3;97363,2;132703,4;162115,9;219057,6;237644,0;313899,3;355920,1;425301,7;437273,3;439392,8;402722,3;;;;;;;;;;;;;;;;;
Расходы федерального бюджета на фундаментальные исследования1), млн.руб.;;;;;;;;;;8219,3;11666,6;16301,5;21073,3;24850,3;32025,1;42773,4;54769,4;69735,8;83198,1;82172,0;91684,5;86623,2;112230,9;121599,5;120203,8;105247,6;;;;;;;;;;;;;;;;;
Расходы федерального бюджета на прикладные научные исследования1), млн.руб.;;;;;;;;;;9177,1;12021,1;14754,4;20503,0;22627,8;44884,2;54589,8;77934,0;92380,1;135859,5;155472,0;222214,8;269296,9;313070,8;315673,8;319188,9;297474,7;;;;;;;;;;;;;;;;;
Внутренние затраты на исследования и разработки, млн.руб. (до 1998 г. - млрд.руб.) ;…;140,6;1317,2;5146,1;12149,5;19393,9;24449,7;25082,1;48050,5;76697,1;105260,7;135004,5;169862,4;196039,9;230785,2;288805,2;371080,3;431073,2;485834,3;523377,2;610426,7;699869,8;749797,6;847527,0;914669,1;943815,2;;;;;;;;;;;;;;;;;
Внутренние текущие затраты на исследования и разработки, млн.руб. (до 1998 г. - млрд.руб.) ;;;;4996,9;11672,1;18641,6;23541,9;24372,9;46412,1;73873,3;100507,4;128243,3;161202,7;187210,5;221119,5;277784,8;352917,7;410865,0;461006,2;489450,8;568386,7;655061,7;699948,9;795407,9;854288,0;873778,7;;;;;;;;;;;;;;;;;
Капитальные затраты на научные исследования и разработки, млн.руб.(до 1998 г. - млрд.руб.) ;;;;149,2;477,4;752,3;907,8;709,1;1638,4;2823,8;4753,3;6761,2;8659,7;8829,4;9665,6;11020,5;18162,6;20208,2;24828,1;33926,4;42040,0;44808,0;49848,8;52119,1;60381,0;70036,5;;;;;;;;;;;;;;;;;
"1) До 2000 г. - ассигнования по разделу "" Фундаментальные исследования и содействие научно-техническому прогрессу"" федерального бюджета, 2007 – 2016 гг. –  по данным Федерального казначейства ""Отчет об исполнении консолидированного бюджета Российской Федерации и бюджетов государственных внебюджетных фондов"" на 1 января следующего за отчетным годом.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Результативность исследований и разработок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Подано заявок на выдачу патентов на изобретения1);;;32216;23081;22202;23211;19992;21362;24659;28688;29989;29225;30651;30192;32254;37691;39439;41849;38564;42500;41414;44211;44914;40308;45517;41587;;;;;;;;;;;;;;;;;
Выдано патентов на изобретения1);;;27757;40263;31556;33574;45975;23762;19508;17592;16292;18114;24726;23191;23390;23299;23028;28808;34824;30322;29999;32880;31638;33950;34706;33536;;;;;;;;;;;;;;;;;
Число действующих патентов на изобретения1);;;44321;60321;76186;109467;155247;173081;191129;144325;149684;102568;106717;108721;123089;123882;129910;147067;170264;181904;168558;181515;194248;208320;218974;230870;;;;;;;;;;;;;;;;;
Число созданных (разработанных) передовых производственных технологий2), единиц;;;;;;;996;736;711;688;637;727;821;676;637;735;780;787;789;864;1138;1323;1429;1409;1398;1534;;;;;;;;;;;;;;;;;
Число используемых передовых производственных технологий2), единиц;;;;;;;55452;58706;62390;70069;80012;93412;107015;119639;140983;168311;180324;184374;201586;203330;191650;191372;193830;204546;218018;232388;;;;;;;;;;;;;;;;;
Число соглашений по экспорту технологий;;;;;;;;;;1094;1178;1320;1480;1688;1682;1900;1825;1863;1766;1867;1670;1810;1914;2061;2236;2182;;;;;;;;;;;;;;;;;
Число соглашений по импорту технологий;;;;;;;;;;566;717;800;954;1112;1426;1675;1524;1733;1649;1943;1979;2330;2637;2842;2986;3449;;;;;;;;;;;;;;;;;
Стоимость предмета соглашения по экспорту технологий, млн.руб.3);;;;;;;;;;11926,9;18887,2;26431,0;23631,7;31069,1;35919,5;43067,2;53749,0;65052,9;67100,0;85473,7;86433,3;108232,2;115710,0;-;-;-;;;;;;;;;;;;;;;;;
Стоимость предмета соглашения по экспорту технологий, млн.долл.США;;;;;;;;;;1071,9;1319,2;1548,6;1418,2;1617,5;1800,3;2097,3;2576,2;3034,5;3008,8;3781,5;3716,3;4503,6;4701,2;8991,6;13703,8;27981,5;;;;;;;;;;;;;;;;;
Стоимость предмета соглашения по импорту технологий, млн.руб.3);;;;;;;;;;11854,3;33245,4;56759,9;40207,5;53933,3;65496,3;57542,3;65116,5;97886,7;94018,7;87187,1;130420,5;148393,0;211539,7;-;-;-;;;;;;;;;;;;;;;;;
Стоимость предмета соглашения по импорту технологий, млн.долл. США;;;;;;;;;;454,6;1286,9;1932,9;1449,4;1816,0;2365,8;2077,5;2470,1;3753,2;3427,3;3167,1;4709,3;5015,1;6877,0;7724,6;13496,7;14146,5;;;;;;;;;;;;;;;;;
Поступление средств по экспорту технологий за год, млн.руб.3);;;;;;;;;;5737,7;7063,4;6618,0;7254,5;10937,8;11077,0;14370,3;15935,8;21673,8;19264,3;19066,1;17413,2;21243,7;24633,3;-;-;-;;;;;;;;;;;;;;;;;
Поступление средств по экспорту технологий за год, млн.долл. США;;;;;;;;;;203,5;241,5;211,5;237,4;384,0;389,4;533,4;630,4;833,2;618,2;627,9;584,7;688,5;770,6;1279,2;1654,7;1277,0;;;;;;;;;;;;;;;;;
Выплаты средств по импорту технологий за год, млн.руб.3);;;;;;;;;;5163,5;11632,6;18093,1;20236,1;23588,6;27178,5;30939,9;35715,1;55111,3;49910,6;42822,8;56279,3;63317,0;78597,7;-;-;-;;;;;;;;;;;;;;;;;
Выплаты средств по импорту технологий за год, млн.долл. США;;;;;;;;;;182,9;395,4;572,5;666,1;823,0;954,2;1128,4;1426,4;2087,1;1619,0;1426,0;1862,6;2043,2;2463,6;2455,8;2205,4;2498,7;;;;;;;;;;;;;;;;;
