СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
20. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;;;;;;;;;;
Удельный вес организаций, использовавших информационные и коммуникационные технологии, в процентах от общего числа обследованных организаций:;;;;;;;;;;;;;;;;;;;;;;;;;;
Затраты организаций на информационные и коммуникационные технологии, млрд. руб. ;;;;;;;;;;;;;164,6;168,4;215,3;252;299,4;372,7;421,4;515,6;603;842,7;1245,7;1174,9;1153,1;1249,2
      в том числе затраты:;;;;;;;;;;;;;;;;;;;;;;;;;;
на приобретение вычислительной техники и оргтехники5);;;;;;;;;;;;;71,5;76,5;78,5;84,9;93,4;102,5;85,7;112,7;139,5;200,6;322,4;259,6;234,4;249,4
на приобретение программного обеспечения;;;;;;;;;;;;;15,6;16,6;21,9;28,5;44,2;59,3;69,1;81,2;104,2;169;170,1;162,4;202,6;279,9
на оплату услуг связи;;;;;;;;;;;;;43,6;40,2;56,7;79,3;87,9;117;142,6;167,9;184,8;250,5;405,1;279,3;256,1;240,6
на оплату доступа к сети Интернет3);;;;;;;;;;;;;;;;14,5;18;24,4;33,2;39,2;53,3;64,2;170,8;73;68,1;69,3
на обучение сотрудников, связанное с развитием и использованием информационных и коммуникационных технологий;;;;;;;;;;;;;1,5;1,4;2,2;2;2,2;2,9;5,2;3,7;4,7;5,6;4,6;12,2;6,8;6,5
"на оплату услуг сторонних организаций и специалистов по информационным и коммуникационным технологиям (кроме услуг связи и обучения)
";;;;;;;;;;;;;22,8;19,5;34,9;38,2;49,3;65,1;80;98,9;120;147,4;267,7;200;232,2;253,6
прочие затраты;;;;;;;;;;;;;10;14,3;21,1;19,1;22,4;25,8;38,9;51,1;49,8;69,5;75,7;107;65,1;74,2
1) До 2015 г. - ЭВМ других типов.;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Статистическое наблюдение ведется с 2007 г.;;;;;;;;;;;;;;;;;;;;;;;;;;
3) Статистическое наблюдение ведется с 2006 г.;;;;;;;;;;;;;;;;;;;;;;;;;;
4) Статистическое наблюдение ведется с 2011 г.;;;;;;;;;;;;;;;;;;;;;;;;;;
5) До 2015 г. - на приобретение вычислительной техники.;;;;;;;;;;;;;;;;;;;;;;;;;;
