СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;
газообразные и жидкие вещества;25365,9;22598,5;20042,2;18058,9;17669,2;17040,8;16291,1;15797,4;15771,2;15847,6;16150,4;16598,4;16961,4;17635,6;17623,3;17725,6;17893,5;17399,0;16680,1;16734,4;16879,2;17380,9;16438,0;15529,7;15475,3;15625,4;;;;;;;;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
диоксид серы;9165,4;8171,3;7217,9;6512,5;6424,8;6156,7;5991,1;5679,3;5505,5;5407,1;5254,0;4987,4;4959,6;4768,4;4675,0;4764,7;4573,1;4534,1;4370,6;4385,3;4342,7;4340,9;4173,3;4036,3;4099,4;4011,4;;;;;;;;;
оксиды азота4);3029,7;2718,1;2462,0;2085,2;1996,6;1920,4;1799,7;1753,3;1716,4;1698,4;1678,9;1646,2;1661,8;1628,9;1666,8;1703,1;1732,8;1816,6;1730,5;1855,2;1880,0;1937,5;1874,2;1805,5;1787,4;1830,1;;;;;;;;;
оксид углерода;7587,5;6813,0;5894,0;5140,8;5005,6;4876,6;4653,0;4562,9;4663,9;4997,9;5148,1;5857,5;5929,4;6774,4;6521,2;6338,3;6448,4;6091,5;5500,5;5565,1;5753,5;6001,8;5350,9;4938,4;4799,6;4907,1;;;;;;;;;
углеводороды (без летучих органических соединений);3460,6;2583,9;2386,7;2609,3;2735,7;2531,3;2554,2;2571,6;2767,7;2685,4;2723,6;2733,2;2834,1;2786,8;2868,1;2815,0;2992,4;3217,5;3347,3;3135,9;3105,8;3293,3;3424,8;3251,0;3323,0;3406,1;;;;;;;;;
летучие органические соединения;1741,6;1608,9;1604,8;1238,0;1110,9;1161,8;989,9;921,9;831,0;850,4;1130,8;1164,8;1356,5;1448,2;1650,6;1863,1;1908,6;1532,0;1546,0;1605,3;1622,8;1638,2;1455,8;1340,0;1294,5;1304,6;;;;;;;;;
Использование (утилизация) загрязняющих атмосферу веществ, уловленных очистными установками2), млн. т;60,1;49,5;44,6;35,6;36,8;33,0;32,9;27,5;30,7;33,6;28,6;28,1;28,5;27,8;29,7;29,9;31,3;29,4;24,3;27,6;29,2;26,2;27,5;28,9;27,2;25,5;;;;;;;;;
Использование (утилизация) загрязняющих атмосферу веществ, уловленных очистными установками, в процентах от общего количества уловленных загрязняющих атмосферу веществ2);54;52;52;50;52;51;51;47;50;51;47;49;50;50;51;49;51;49;46;46;49;46;51;53;52;52;;;;;;;;;
Образовалось отходов производства и потребления 5), млн. т;;;;;;;;;;;;2037,6;2613,5;2644,3;3035,5;3519,4;3899,3;3876,9;3505,0;3734,7;4303,3;5007,9;5152,8;5168,3;5060,2;5441,3;;;;;;;;;
Образовалось опасных отходов производства и потребления6), млн. т ;;;;;;;;;;;;210,6;287,3;142,8;142,5;140,0;287,7;122,9;141,0;114,4;120,2;113,7;116,7;124,3;110,1;98,3;;;;;;;;;
Использование и обезвреживание отходов производства и потребления5), млн. т ;;;;;;;;;;;;1215,9;1342,7;1140,9;1265,7;1395,8;2257,4;1960,7;1661,4;1738,1;1990,7;2348,1;2043,6;2357,2;2685,1;3243,7;;;;;;;;;
Число государственных природных заповедников;76;79;85;90;94;94;95;99;99;100;100;100;100;100;100;100;101;101;101;101;102;102;102;103;103;103;;;;;;;;;
их площадь, млн. га;19,9;20,4;28,7;29,5;30,2;31,0;31,1;33,2;33,3;33,3;33,7;33,7;33,7;33,7;33,7;33,7;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,9;33,9;;;;;;;;;
Число национальных парков;16;22;25;28;30;31;32;34;35;35;35;35;35;35;35;35;35;39;40;40;41;42;44;47;48;50;;;;;;;;;
