СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;
ПОКАЗАТЕЛИ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
13. ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ, ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА, ПРОИЗВОДСТВО И РАСПРЕДЕЛЕНИЕ ЭЛЕКТРОЭНЕРГИИ, ГАЗА И ВОДЫ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности, млрд.рублей:;;;;;;;;;;;;;;;;;;;;;;;;;;
Производство древесностружечных плит, тыс.условных м3;5409,4;4522,4;3940,8;2625,5;2205,6;1471,6;1490;1567,9;1986,5;2334,8;2545;2743,7;3203,7;3637,7;3929,9;4717,5;5500,8;5750,7;4599,5;;;;;;;
Производство древесноволокнистых плит, млн.условных м2;474,1;426,5;362,1;239,8;233,9;183,8;197,4;194,2;242,7;278,1;283,1;310,3;324,5;348,0;413,0;439,2;480,6;479,2;372,9;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство пиломатериалов (кроме шпал железнодорожных и трамвайных деревянных непропитанных), тыс. м3;;;;;;;;;;;;;;;;;;;18326,2;21774,4;22548,3;21096,9;21695,7;21468,6;22003,2;23735,6
Производство фанеры клееной, состоящей только из листов древесины, тыс.м3;;;;;;;;;;;;;;;;;;;2120,8;2696,7;3063;3200,5;3328,9;3568,6;3657,5;3811,6
Производство плит древесностружечных и аналогичных плит из древесины и других одревесневших материалов, тыс.условных м3;;;;;;;;;;;;;;;;;;;4604,9;5467,1;6530,9;6778,4;6638,3;6821,7;7207;7394
Производство плит древесноволокнистых или других одревесневших материалов, млн.условных м2;;;;;;;;;;;;;;;;;;;372,9;404,2;464,2;469;427,4;468,7;502,4;554,9
Целлюлозно-бумажное производство, издательская и полиграфическая деятельность;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство целлюлозы (по варке), тыс.т;6400;5676;4403;3314;4197;3075;3164;3210;4225;4960;5272;5579;5764;5922;6001;6008;5973;5913;5487;;;;;;;
Производство бумаги, тыс. т;4764,7;3608,1;2884,5;2216,1;2772,6;2302;2225,8;2453,1;2968,4;3326,4;3442,3;3551,8;3681,6;3903,2;4001;4037,9;4083,9;4006,5;3937,4;;;;;;;
Производство картона, тыс. т;2619,2;2156,7;1606,6;1195,6;1300,6;921,8;1113,5;1143,5;1579;1985,5;2183,1;2427,8;2695,5;2926,5;3124,6;3396;3497,5;3695,7;3457,9;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство целлюлозы древесной и целлюлозы из прочих волокнистых материалов, тыс. т;;;;;;;;;;;;;;;;;;;7229;7510;7661;7658;7211;7537;7875;8208
Производство бумаги, тыс. т;;;;;;;;;;;;;;;;;;;4513;4688;4784;4782;4765;5051;5073;5274
Производство картона, тыс. т;;;;;;;;;;;;;;;;;;;2795;2971;2847;3032;3022;3099;3121;3366
Производство кокса и нефтепродуктов;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Первичная переработка нефти, млн. т;287;256;223;186;182;176;177;164;169;173;179;185;190;195;208;220;229;237;236;;;;;;;
Производство бензина, млн. т;46,7;42,3;36,9;31,1;32,8;31,2;32,0;28,9;31,6;32,8;34,6;37,5;38,9;40,4;45,1;47,7;50,5;51,8;51,6;;;;;;;
Производство автомобильного бензина, млн. т;38,8;35,3;30,1;26,8;28,1;26,8;27,2;25,9;26,2;27,2;27,6;29,0;29,3;30,5;32,0;34,4;35,1;35,6;35,8;;;;;;;
Производство дизельного топлива, млн. т;72,2;65,1;56,7;46,7;47,3;46,7;47,2;45,1;46,8;49,2;50,2;42,7;53,9;55,4;60,0;64,2;66,3;68,9;67,2;;;;;;;
Производство топочного мазута, млн. т;90,9;84,6;77,1;66,0;61,4;60,0;57,4;52,8;50,2;48,2;50,3;54,2;54,6;53,6;56,7;59,3;62,7;63,9;64,4;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Нефть, поступившая на переработку (первичная переработка нефти), млн. т;;;;;;;;;;;;;;;;;;;237;250;258;272;281;295;287;285
Производство автомобильного бензина, млн. т;;;;;;;;;;;;;;;;;;;35,8;36,0;36,7;38,2;38,8;38,3;39,2;40,0
Производство дизельного топлива, млн. т;;;;;;;;;;;;;;;;;;;67,3;70,0;70,3;69,4;71,6;77,0;76,0;76,2
Производство топочного мазута, млн. т;;;;;;;;;;;;;;;;;;;64,0;69,6;73,2;74,4;77,0;78,5;71,1;57,1
Химическое производство;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство минеральных удобрений         (в пересчете на 100% питательных веществ), тыс.т;15042;12300;9917;8266;9639;9076;9546;9380;11496;12213;13026;13562;14053;15800;16625;16207;17300;16211;14640;;;;;;;
Производство синтетических смол и пластических масс, тыс. т;2963;2544;2246;1669;1804;1411;1578;1618;2206;2576;2771;2922;3118;3304;3418;3773;4464;4335;4649;;;;;;;
Производство лакокрасочных материалов, тыс. т;1914;1241;936;618;579;526;537;500;537;575;628;606;597;698;721;829;991;959;811;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство удобрений минеральных или химических (в пересчете на 100% питательных веществ), тыс.т;;;;;;;;;;;;;;;;;;;14643;17889;18828;17833;18441;19724;20146;20821
Производство пластмасс в первичных формах, тыс.т;;;;;;;;;;;;;;;;;;;4495;4963;5436;5517;6435;6643;7267;7597
Производство материалов лакокрасочных и аналогичных для нанесения покрытий, красок и мастик полиграфических, тыс.т ;;;;;;;;;;;;;;;;;;;859;1076;1136;1188;1253;1281;1215;1327
Производство резиновых и пластмассовых изделий;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство шин автомобильных для сельскохозяйственных машин, мотоциклов и мотороллеров, млн. шт.;44,8;41,8;36,5;19,8;18,8;21,2;24,7;23,5;28;29,9;33,7;35,8;38,6;39,5;41,4;40,4;43,3;38,4;28,3;;;;;;;
Производство труб и деталей трубопроводов из термопластов, тыс. т;94,8;68,4;38,9;22,7;28,2;31;33,9;39,2;44,1;50,7;61,7;59,6;65,2;75,4;114;161;215;266;221;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство шин, покрышек и камер резиновых новых, млн. шт;;;;;;;;;;;;;;;;;;;33,0;43,6;50,2;50,6;50,9;52,4;57,6;60,1
Трубы, трубки, шланги, рукава и их фитинги полимерные, тыс. т;;;;;;;;;;;;;;;;;;;258;375;497;663;578;582;507;573
Производство прочих неметаллических минеральных продуктов;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство стеновых материалов, млрд. условных кирпичей;34,2;29,9;26,3;19,2;17,3;13,3;12,1;11,6;13,4;13,3;13,5;14;14,1;14,8;15,2;16,3;18,7;19,8;12,8;;;;;;;
в том числе кирпич строительный;23,7;21,7;19;14,7;13,9;10,9;10,1;9,6;10,8;10,7;10,8;11;11;11,4;11,3;11,6;13,1;13,5;8,6;;;;;;;
Производство цемента, млн.т;77,5;61,7;49,9;37,2;36,5;27,8;26,7;26;28,5;32,4;35,3;37,7;41;45,6;48,5;54,7;59,9;53,5;44,3;;;;;;;
Производство конструкций и изделий сборных и железобетонных, млн.м3;75,1;58,6;50,4;33;28,1;20;16,6;14,7;15,8;18,3;19,8;20,1;21,1;22,6;23,2;25,6;29,1;28,8;17,7;;;;;;;
Производство листов асбесоцементных (шифер), млн.условных плиток;5023;4517;3249;1413;1666;1266;1263;1268;1693;1800;1722;1895;1932;1969;1938;2007;1844;1412;1221;;;;;;;
Производство труб и муфт асбестоцементных, тыс.км условных труб;42,8;25;7;7,8;9,1;8,1;7,7;7,1;7,7;9,4;10,5;11,2;12,1;13,5;10,9;11,2;12,3;10,8;7,5;;;;;;;
Производство материаловх мягких кровельных и изоляционных, млн.м2;1024;810;617;475;416;322;327;328;373;419;442;423;422;459;494;522;701;701;541;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство портландцемента, цемента глиноземистого, цемента шлакового и аналогичных цементов гидравлических, млн.тонн;;;;;;;;;;;;;;;;;;;44,3;50,4;56,2;61,7;66,5;69,1;62,1;54,9
Производство кирпича керамического неогнеупорного строительного, млрд.усл.кирпичей;;;;;;;;;;;;;;;;;;;5,2;5,5;6,3;7,0;7,2;7,5;6,7;5,6
Производство кирпича строительного (включая камни) из цемента,бетона или искусственного камня, млрд.усл.кирпичей;;;;;;;;;;;;;;;;;;;3,2;3,2;3,5;3,9;4,1;4,5;3,8;2,7
Производство блоков стеновых мелких из ячеистого бетона, млрд.усл.кирпичей;;;;;;;;;;;;;;;;;;;3,2;5,2;5,9;7,4;8,1;9,2;9,1;7,9
Производство блоков стеновых крупных (включая блоки стен подвалов) из бетона, млн.усл.кирпичей;;;;;;;;;;;;;;;;;;;599;673;735;796;826;722;597;498
Производство конструкций и деталей сборных железобетонных, млн.м3;;;;;;;;;;;;;;;;;;;17,8;21,8;23,6;25,6;27,2;27,2;22,3;21,3
Производство листов асбестоцементных волнистых (гофрированных) (шифера), млн.штук усл.плиток;;;;;;;;;;;;;;;;;;;1062;1044;933;633;663;476;395;446
Производство труб и муфт асбестоцементных, тыс.км условных труб;;;;;;;;;;;;;;;;;;;7,5;8,3;8,0;7,6;7,0;6,2;4,5;4,1
Производство материалы кровельные и гидроизоляционные рулонные  из асфальта или аналогичных материалов (нефтяного  битума, каменноугольного пека и т.д.), млн.м2;;;;;;;;;;;;;;;;;;;445;472;502;530;510;503;489;474
Металлургическое производство и производство готовых металлических изделий;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство готового проката черных металлов, млн. т;55,1;46,8;42,7;35,9;39,0;38,9;38,8;35,2;40,9;46,7;46,9;48,5;50,7;53,7;54,7;58,2;59,6;56,7;50,8;;;;;;;
Трубы стальные, млн. т;10,5;8,1;5,8;3,6;3,8;3,5;3,5;2,8;3,3;5;5,4;5,2;6,1;6;6,7;7,9;8,7;7,8;6,7;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство готового проката черных металлов, млн. т;;;;;;;;;;;;;;;;;;;51,9;55,0;56,5;60,0;59,2;61,2;60,4;60,5
Трубы стальные, млн. т;;;;;;;;;;;;;;;;;;;6,7;9,2;10,0;9,7;10,1;11,3;11,4;10,4
Производство отдельных видов машин и оборудования;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство турбин паровых, млн. кВт;7,8;5,9;5,1;4,8;3,7;2,4;2,5;1,2;1,1;1,3;0,5;3,1;1,8;2,1;2,4;2;1,6;3,1;2,2;;;;;;;
Производство холодильников и морозильников бытовых, тыс. шт.;3710;3184;3481;2662;1789;1064;1186;1043;1173;1327;1719;1938;2218;2589;2778;2995;3539;3728;2750;;;;;;;
Производство электропылесосов, тыс. шт.;4707;4319;3657;1553;1001;691;610;450;745;745;762;787;721;715;889;584;649;1252;222;;;;;;;
Производство металлорежущих станков, тыс. шт.;67,5;53,4;41,9;20,1;18;12,1;9,4;7,6;8,0;8,9;8,3;6,5;5,7;5,4;4,9;5,1;5,1;4,8;1,9;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство турбин на водяном паре и турбин паровых прочих, млн. кВт;;;;;;;;;;;;;;;;;;;2,2;4,2;4,3;3,5;3,1;1,0;1,8;0,8
Производство металлорежущих станков, тыс. шт.;;;;;;;;;;;;;;;;;;;2,0;2,8;3,3;3,5;2,9;3,9;3,4;4,4
Производство холодильников и морозильников бытовых, тыс. шт.;;;;;;;;;;;;;;;;;;;2811;3557;4100;4302;4128;3693;3117;3293
Производство электропылесосов, тыс. шт.;;;;;;;;;;;;;;;;;;;222;225;127;60,6;52,7;55,1;36,0;13,1
Производство отдельных видов электрооборудования, электронного и оптического оборудования;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство персональных ЭВМ, тыс. шт.;254;137;113;82,1;62,3;118;132;62,0;66,0;70,8;136;243;247;308;356;590;1329;861;315;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство компьютеров персональных настольных, тыс. шт.;;;;;;;;;;;;;;;;;;;308;296;455;620;522;317;303;281
Производство транспортных средств и оборудования;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство легковых автомобилей, тыс.шт.;1030,0;963;956;798;835;868;986;840;954;969;1022;981;1012;1110;1069;1178;1294;1470;600;;;;;;;
Производство кранов на автомобильном ходу, тыс. шт.;12,9;12;11,5;5,2;3,7;2,8;2,2;1,1;1,3;2,4;3,2;3;3,1;3,9;4,4;5,2;6,9;6,4;1,3;;;;;;;
Производство вагонов грузовых магистральных, тыс. шт.;22,4;16,9;12,3;7,8;7,1;7,4;5;3,9;4,1;4;6,5;10,7;27;35,3;35,2;33,7;38,6;42,7;23,4;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство легковых автомобилей, тыс.шт.;;;;;;;;;;;;;;;;;;;600;1210;1740;1964;1925;1695;1215;1120
Производство автокранов, тыс. шт.;;;;;;;;;;;;;;;;;;;1,3;2,9;4,1;4,8;5,4;3,3;2,1;2,2
Производство вагонов грузовых магистральных, тыс. шт.;;;;;;;;;;;;;;;;;;;23,6;50,5;63;71,7;60,1;55,1;28,7;36,4
Производство  и распределение электроэнергии, газа и воды ;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 ;;;;;;;;;;;;;;;;;;;;;;;;;;
Производство электроэнергии, млрд. кВт?ч;1068,2;1008,5;956,6;875,9;860,0;847,2;834,1;827,2;846,2;877,8;891,3;891,3;916,3;931,9;953,1;995,8;1015,3;1040,4;992,1;;;;;;;
Потребление электроэнергии, млрд. кВт?ч;1056,1;992,2;937,9;856,4;840,4;827,7;814,4;809,1;832,1;863,7;875,4;878,4;902,9;924,3;940,7;980,0;1002,5;1022,8;977,1;;;;;;;
Производство электроэнергии тепловыми электростанциями, млрд. кВт?ч;780;715;663;601;583;583;567;564;563;582;578;585;608;609;629;664;676;710;652;;;;;;;
Производство электроэнергии гидроэлектростанциями, млрд. кВт?ч;168;173;175;177;177;155;158;159;161;165;176;164;158;178;175;175;179;167;176;;;;;;;
Производство электроэнергии атомными электростанциями, млрд. кВт?ч;120;119,6;119,2;97,8;99,5;109;109;104;122;131;137;142;150;145;149;156;160;163;164;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство электроэнергии, млрд. кВт?ч;;;;;;;;;;;;;;;;;;;992;1038;1055;1069;1059;1064;1068;1091
Потребление электроэнергии, млрд. кВт?ч;;;;;;;;;;;;;;;;;;;977;1021;1041;1063;1055;1065;1060;1078
Производство электроэнергии тепловыми электростанциями, млрд. кВт?ч;;;;;;;;;;;;;;;;;;;652;699;717;726;703;707;701;706
Производство электроэнергии гидроэлектростанциями, млрд. кВт?ч;;;;;;;;;;;;;;;;;;;176;168;165;165;183;175;170;187
Производство электроэнергии атомными электростанциями, млрд. кВт?ч;;;;;;;;;;;;;;;;;;;164;171;173;178;173;181;196;197
Производство электроэнергии нетиповыми электростанциями, млрд. кВт?ч;;;;;;;;;;;;;;;;;;;0,5;0,5;0,5;0,5;0,4;0,7;0,9;1,1
Мощность электростанций;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 ;;;;;;;;;;;;;;;;;;;;;;;;;;
Мощность всех электростанций, млн.кВт;213;212,0;213,4;214,9;215,0;214,5;214,2;214,1;214,3;212,8;214,8;214,9;216,0;216,6;219,2;221,4;224,0;225,5;226,1;;;;;;;
Мощность тепловых станций, млн.кВт;149;148,4;148,8;149,7;149,7;149,2;149,0;148,7;148,3;146,8;147,4;147,3;148,0;148,3;149,5;151,5;153,3;155,1;155,4;;;;;;;
Мощность гидроэлектростанций, млн.кВт;43,3;43,4;43,4;44,0;44,0;44,0;43,9;44,1;44,3;44,3;44,7;44,8;45,2;45,5;45,9;46,1;46,8;47,1;47,3;;;;;;;
Мощность атомных станций, млн.кВт;20,2;20,2;21,2;21,2;21,3;21,3;21,3;21,3;21,7;21,7;22,7;22,7;22,7;22,7;23,7;23,7;23,7;23,3;23,3;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Мощность всех электростанций, млн.кВт;;;;;;;;;;;;;;;;;;;;230,0;233,3;239,7;242,2;256,0;257,1;266,5
Мощность тепловых станций, млн.кВт;;;;;;;;;;;;;;;;;;;;158,1;161,4;165,8;167,1;179,4;179,1;187,6
Мощность гидроэлектростанций, млн.кВт;;;;;;;;;;;;;;;;;;;;47,4;47,5;48,5;49,7;50,8;51,0;51,0
Мощность атомных станций, млн.кВт;;;;;;;;;;;;;;;;;;;;24,3;24,3;25,3;25,3;25,3;26,3;27,2
Мощность нетиповых электростанций, млн.кВт;;;;;;;;;;;;;;;;;;;;0,1;0,1;0,1;0,1;0,4;0,6;0,7
