СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;
ПОКАЗАТЕЛИ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
13. ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ, ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА, ПРОИЗВОДСТВО И РАСПРЕДЕЛЕНИЕ ЭЛЕКТРОЭНЕРГИИ, ГАЗА И ВОДЫ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности, млрд.рублей:;;;;;;;;;;;;;;;;;;;;;;;;;;
Турбины паровые;47;36;31;29;23;15;19;12;12;14;6;34;22;23;26;22;19;39;27;;;;;;;
Краны на автомобильном ходу;86;81;83;45;37;31;24;13;15;27;43;44;42;51;57;76;84;80;19;;;;;;;
Станки металлорежущие;77;64;54;27;24;18;16;13;14;17;18;14;12;13;13;13;14;16;6,3;;;;;;;
Персональные ЭВМ;;;;;;;;;;4;8;6;5;16;17;41;52;44;22;;;;;;;
Холодильники и морозильники бытовые;96;83;80;56;37;24;27;25;31;39;52;55;61;66;78;80;82;78;59;;;;;;;
Электропылесосы;85;75;60;24;19;13;14;12;20,9;20;20;22;23;26;42;38;35;45;17;;;;;;;
Электродвигатели переменного тока с высотой оси вращения 63-355 мм;65;48;38;18;20;16;18;16;29;37;39;40;44;44;41;52;53;33;19;;;;;;;
Автомобили легковые;88;82;82;65;68;70;77;66;73;74;71;70;68;75;68;76;77;73;30;;;;;;;
Автобусы;95;91;92;69;58;50;58;54;57;56;63;51;62;57;73;70;85;55;26;;;;;;;
Вагоны грузовые;80;62;48;29;21;25;14;12;15;14;26;38;56;66;68;74;83;84;43;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Уголь;;;;;;;;;;;;;;;;;;;;77;79;81;80;81;82;84
Переработка угля на обогатительных фабриках;;;;;;;;;;;;;;;;;;;;67;70;71;56;56;56;58
   Материалы строительные нерудные;;;;;;;;;;;;;;;;;;;;51;54;61;61;58;53;55
Производство мяса и субпродуктов пищевых убойных животных и домашней птицы;;;;;;;;;;;;;;;;;;;;66;70;69;66;67;74;76
Изделия колбасные;;;;;;;;;;;;;;;;;;;;64;62;59;56;57;56;59
Консервы мясные (мясосодержащие);;;;;;;;;;;;;;;;;;;;48;51;51;53;53;49;40
Плодоовощные консервы ;;;;;;;;;;;;;;;;;;;;34;49;57;55;59;60;56
Масла растительные нерафинированные3);;;;;;;;;;;;;;;;;;;;65;58;73;68;70;62;61
Цельномолочная продукция (в пересчете на молоко);;;;;;;;;;;;;;;;;;;;57;56;59;59;59;61;59
Масло сливочное и пасты масляные;;;;;;;;;;;;;;;;;;;;28;31;30;31;35;36;35
Сыры и продукты сырные;;;;;;;;;;;;;;;;;;;;63;63;62;59;64;66;64
Продукты молочные сгущенные;;;;;;;;;;;;;;;;;;;;58;55;63;60;62;60;59
Мука из зерновых культур, овощных и других растительных культур, смеси из них;;;;;;;;;;;;;;;;;;;;47;47;47;46;47;50;51
Крупы;;;;;;;;;;;;;;;;;;;;34;29;32;33;34;30;39
Хлеб и хлебобулочные изделия;;;;;;;;;;;;;;;;;;;;41;41;40;41;41;43;45
Сахар белый свекловичный в твердом состоянии;;;;;;;;;;;;;;;;;;;;91;89;86;91;85;89;96
Макаронные изделия;;;;;;;;;;;;;;;;;;;;67;65;62;59;62;63;60
Кондитерские изделия;;;;;;;;;;;;;;;;;;;;62;61;62;63;63;59;59
Пиво, кроме отходов пивоварения4);;;;;;;;;;;;;;;;;;;;61;62;60;55;55;52;53
Безалкогольные напитки;;;;;;;;;;;;;;;;;;;;46;40;34;31;32;33;29
Воды минеральные;;;;;;;;;;;;;;;;;;;;53;49;50;48;45;45;47
Ткани хлопчатобумажные суровые;;;;;;;;;;;;;;;;;;;;62;57;60;64;63;62;64
Ткани шерстяные готовые;;;;;;;;;;;;;;;;;;;;26;25;26;29;26;24;23
Ткани из синтетических волокони нитей (включая штапельные) готовые;;;;;;;;;;;;;;;;;;;;44;36;42;57;72;78;73
Обувь;;;;;;;;;;;;;;;;;;;;69;69;58;59;58;48;53
Лесоматериалы, продольно распиленные или расколотые, разделенные на слои или лущеныые, толщиной более 6 мм, шпалы железнодорожные или трамвайные деревянные, непропитанные;;;;;;;;;;;;;;;;;;;;52;51;43;44;49;51;57
Фанера клееная, состоящая только из листов древесины;;;;;;;;;;;;;;;;;;;;81;83;80;81;82;82;87
 Плиты древесностружечные и аналогичные плиты из древесины и других одревесневших материалов;;;;;;;;;;;;;;;;;;;;75;78;86;85;85;82;76
 Плиты древесноволокнистыеиз древесины или других одревесневших материалов;;;;;;;;;;;;;;;;;;;;80;80;84;78;77;80;78
 Бумага;;;;;;;;;;;;;;;;;;;;83;84;85;81;83;87;92
 Картон;;;;;;;;;;;;;;;;;;;;77;76;76;77;79;83;89
Нефть, поступившая на переработку (первичная переработка нефти);;;;;;;;;;;;;;;;;;;;90;93;91;93;92;87;86
Кислота серная, олеум;;;;;;;;;;;;;;;;;;;;84;84;85;79;72;73;80
Аммиак безводный;;;;;;;;;;;;;;;;;;;;88;93;91;94;95;94;93
Удобрения минеральные или химические (в пересчете на 100% питательных веществ);;;;;;;;;;;;;;;;;;;;86;86;82;81;86;87;85
Пластмассы в первичных формах;;;;;;;;;;;;;;;;;;;;70;72;70;73;72;78;81
Материалы лакокрасочные и аналогичные для нанесения покрытий, краски и мастики полиграфические;;;;;;;;;;;;;;;;;;;;40;43;37;43;42;42;44
Волокна и нити химические;;;;;;;;;;;;;;;;;;;;49;49;50;58;59;62;66
Шины, покрышки и камеры резиновые новые;;;;;;;;;;;;;;;;;;;;82;78;74;74;70;75;74
Трубы, трубки, шланги, рукава и их фитинги полимерные;;;;;;;;;;;;;;;;;;;;52;61;65;59;62;50;48
Пластикаты кабельные;;;;;;;;;;;;;;;;;;;;55;53;71;66;49;43;49
Пластикаты ПВХ (без кабельных);;;;;;;;;;;;;;;;;;;;75;69;60;52;44;32;30
Кирпич керамический неогнеупорный строительный;;;;;;;;;;;;;;;;;;;;58;69;73;70;72;65;63
Кирпич строительный (включая камни) из цемента;;;;;;;;;;;;;;;;;;;;39;45;49;55;59;54;40
Блоки стеновые мелкие из ячеистого бетона;;;;;;;;;;;;;;;;;;;;60;72;73;74;81;79;68
Блоки стеновые крупные (включая блоки стен подвалов) из бетона;;;;;;;;;;;;;;;;;;;;29;34;41;42;36;28;21
Портландцемент, цемент глиноземистый, цемент шлаковый и аналогичные цементы гидравлические;;;;;;;;;;;;;;;;;;;;65;66;65;69;67;58;52
Конструкции и детали сборные железобетонные;;;;;;;;;;;;;;;;;;;;52;55;60;58;55;47;41
Листы асбестоцементные волнистые (гофрированные)(шифер);;;;;;;;;;;;;;;;;;;;47;41;28;36;28;27;28
Трубы и муфты асбестоцементные;;;;;;;;;;;;;;;;;;;;36;35;38;44;41;34;31
Материалы кровельные и гидроизоляционные рулонные  из асфальта или аналогичных материалов (нефтяного  битума, каменноугольного пека и т.д.);;;;;;;;;;;;;;;;;;;;58;59;65;63;56;64;56
Чугун;;;;;;;;;;;;;;;;;;;;90;90;88;92;93;94;94
Сталь;;;;;;;;;;;;;;;;;;;;84;84;84;84;85;82;83
Прокат готовый черных металлов;;;;;;;;;;;;;;;;;;;;79;81;80;78;82;80;79
Трубы стальные;;;;;;;;;;;;;;;;;;;;72;71;70;70;73;72;64
Турбины на водяном паре и турбины паровые прочие;;;;;;;;;;;;;;;;;;;;41;54;44;38;12;20;9
Автокраны;;;;;;;;;;;;;;;;;;;;43;57;70;73;46;31;26
Станки металлорежущие;;;;;;;;;;;;;;;;;;;;8;13;10;24;17;17;14
Холодильники и морозильники бытовые;;;;;;;;;;;;;;;;;;;;68;70;65;61;53;46;53
Бытовые пылесосы;;;;;;;;;;;;;;;;;;;;24;17;12; -; -; -;24
Автомобили легковые;;;;;;;;;;;;;;;;;;;;57;72;80;68;59;43;41
Вагоны грузовые магистральные;;;;;;;;;;;;;;;;;;;;84;82;81;65;54;23;30
Использование вторичных горючих энергетических ресурсов, млн.т условного топлива;;13;11;10;13;9;12;11;12;14;16;17;19;18;17;18;19;17;16;18;19;19;19;20;20;19
"1) Агрегированный индекс производства по видам экономической деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Производство и распределение электроэнергии, газа и воды"".   ";;;;;;;;;;;;;;;;;;;;;;;;;;
2) Без субъектов малого предпринимательства.;;;;;;;;;;;;;;;;;;;;;;;;;;
3) С 2012 г. - включая масло кукурузное и его фракции, без изменения химического состава.;;;;;;;;;;;;;;;;;;;;;;;;;;
4) С 2012 г. - включая напитки, изготавливаемые на основе пива.;;;;;;;;;;;;;;;;;;;;;;;;;;
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;
