СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;;;
19. СВЯЗЬ*);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Отправлено (исходящий обмен), млн.:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
письменной корреспонденции;3964,2;3032,7;2294,2;1820,4;1511,6;1335,4;1305,9;1161,0;1051,5;1116,6;1188,5;1230,0;1262,6;1349,2;1329,2;1425,7;1649,3;1785,9;1628,1;1608,7;1651,3;1767,2;1722,2;1672,6;1537,4;1433,1;;;;;;;;;;;;;;;;;
печатных изданий;17903,5;12042,3;8128,9;6996,9;5597,9;4743,9;4109,7;3932,8;3493,9;3362,0;3317,9;3208,0;3076,4;2609,7;2297,0;2080,6;1989,4;1800,2;1558,9;1510,2;1483,9;1359,6;1253,7;1048,9;861,5;757,0;;;;;;;;;;;;;;;;;
посылок;129,7;59,9;33,9;30,0;25,9;28,2;24,9;16,9;10,4;13,5;13,4;12,4;13,4;14,0;25,4;40,7;50,5;57,1;51,4;51,0;62,4;67,5;71,8;72,6;70,0;80,9;;;;;;;;;;;;;;;;;
почтовых переводов денежных средств;208,1;148,5;104,6;77,3;71,0;67,0;75,3;73,4;56,4;49,2;52,8;54,0;57,3;76,5;135,6;184,5;181,5;181,1;136,1;112,7;102,5;88,7;75,5;69,4;58,2;53,3;;;;;;;;;;;;;;;;;
Объем услуг связи - всего, млн. руб.;13,6;136,3;1607,3;8212,6;21416,5;35801,4;43119,8;65882,8;102236,0;146431,2;195689,3;269949,8;395642,2;540250,0;659909,5;833168,1;1035949,7;1221499,7;1274257,3;1355549,9;1424869,3;1530986,3;1608804,9;1650601,9;1672028,0;1683481,2;;;;;;;;;;;;;;;;;
в том числе от услуг:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
почтовой связи;4,3;40,9;455,4;1874,8;3907,2;5756,8;7186,0;6760,8;8573,0;11696,8;15475,3;19965,1;27394,9;32859,7;41022,2;51457,2;65544,8;81533,8;89607,1;95779,4;110796,0;120364,0;125570,3;126548,8;134645,3;146384,9;;;;;;;;;;;;;;;;;
спецсвязи;0,3;1,8;19,9;78,9;163,2;238,3;375,7;381,8;711,5;821,9;997,6;1295,3;1278,2;1470,4;1658,8;2236,6;2776,4;3556,9;4237,3;4547,4;5170,8;5803,8;6727,6;7895,8;8489,8;9699,9;;;;;;;;;;;;;;;;;
местной телефоной связи;2,9;42,5;422,1;2341,6;5915,4;9981,9;12129,3;16480,3;22075,8;31990,1;39995,8;56628,2;72706,1;88024,1;105792,2;118630,4;133921,6;137500,4;142801,0;158182,7;156289,7;157484,1;143352,2;137971,6;131088,1;121983,2;;;;;;;;;;;;;;;;;
от соединений, предоставленных с использованием  всех типов таксофонов;;;;;;535,1;652,4;802,5;1312,3;2134,1;2499,7;2307,8;2742,5;2151,4;1470,6;787,6;224,6;156,0;122,5;106,3;122,1;102,4;80,5;64,8;70,9;50,5;;;;;;;;;;;;;;;;;
междугородной, внутризоновой и международной телефонной связи;3,8;28,9;466,2;2862,7;8925,0;15399,0;18247,2;25016,1;36837,7;46761,5;56445,4;68564,2;72142,2;79068,8;78470,2;96798,9;113310,3;125460,4;115341,0;109186,8;93446,8;88592,3;79417,4;72442,0;64992,2;55300,4;;;;;;;;;;;;;;;;;
документальной электросвязи;0,9;6,3;72,6;342,3;957,9;1413,0;1474,7;2829,3;5325,8;8192,6;13512,5;15641,6;26488,3;38229,7;48648,1;64165,7;82135,8;110235,5;134711,8;147321,3;164873,5;202143,7;214213,4;317228,4;389668,1;420215,3;;;;;;;;;;;;;;;;;
радиосвязи, радиовещания, телевидения и спутниковой связи;0,9;12,7;140,6;525,7;952,3;1320,5;1556,4;3503,8;5446,2;5308,5;7437,6;9625,4;13315,7;16105,5;22235,9;25071,3;34522,9;42436,5;44082,4;47347,7;54759,3;57384,1;70346,0;79611,0;88751,5;107955,3;;;;;;;;;;;;;;;;;
проводного радиовещания;0,4;2,9;26,3;154,6;499,1;973,1;1118,0;1082,8;1255,6;1511,6;1869,7;2246,7;2553,3;2944,0;3167,3;3360,3;3438,5;3580,5;3898,6;3925,9;3961,8;3865,9;3821,2;3781,2;3980,6;4012,2;;;;;;;;;;;;;;;;;
подвижной связи;;;;;;;116,7;8687,2;20236,1;37389,8;56767,1;92477,3;140229,2;221841,5;282915,8;380231,7;456095,6;545115,7;554600,0;593700,3;629337,8;679202,9;718605,6;637456,8;576098,2;551432,8;;;;;;;;;;;;;;;;;
присоединения и пропуска трафика;;;;;;;;;;;;;34616,5;54755,5;71285,1;85140,2;136852,7;163810,6;176750,0;186739,6;196364,7;212466,3;243028,1;262808,4;270015,4;262712,1;;;;;;;;;;;;;;;;;
обеспечения регулирования использования радиочастотного спектра и радиоэлектронных средств;0,1;0,3;4,2;32,0;96,4;183,7;263,4;338,2;462,0;624,3;688,6;1198,2;2175,3;2799,4;3243,5;5288,2;7126,5;8113,3;8105,5;8712,6;9746,8;3576,8;3642,6;4458,9;3919,7;3306,2;;;;;;;;;;;;;;;;;
Объем услуг связи, оказанных населению - всего, млн. руб.;3,7;23,8;305,1;2038,8;6830,4;12583,3;16330,2;26630,4;35272,3;52052,5;72367,7;119193,4;190237,4;282450,0;351141,6;453325,4;566358,3;655219,3;690862,9;750523,6;798012,0;843395,3;904148,9;906994,4;886971,5;880817,9;;;;;;;;;;;;;;;;;
в том числе от услуг:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
почтовой связи;1,3;7,1;87,5;521,2;1395,4;2274,4;2919,7;3059,1;3717,9;4662,4;5982,2;7445,3;8937,6;9825,7;10540,8;12273,2;15397,5;18486,4;20239,2;21686,9;23002,2;24036,6;24909,3;26183,0;27846,5;31091,0;;;;;;;;;;;;;;;;;
местной телефоной связи;0,8;6,9;68,1;519,6;1888,9;3399,6;4914,5;6708,2;9536,9;13846,4;19058,2;28126,0;41279,6;53038,1;62603,4;68625,0;77111,6;76467,7;80108,1;85441,2;89126,4;88053,3;88114,1;82997,5;72922,1;65823,5;;;;;;;;;;;;;;;;;
от соединений, предоставленных с использованием  всех типов таксофонов;;;;;;501,7;616,2;784,0;1265,5;1865,0;2452,3;2235,6;2742,5;2034,5;1400,1;748,0;191,5;140,3;107,5;98,0;118,0;98,4;78,4;61,2;61,7;45,3;;;;;;;;;;;;;;;;;
междугородной, внутризоновой и международной телефонной связи;1,1;7,6;132,1;881,4;2962,0;5346,9;6609,9;9064,9;12031,2;16714,2;21728,6;26039,6;29965,0;35455,7;33901,3;38239,6;42829,3;41582,8;39008,4;35938,0;30953,8;27093,8;23846,1;17890,6;14632,7;11149,0;;;;;;;;;;;;;;;;;
документальной электросвязи;0,2;0,3;1,1;15,5;228,0;342,0;366,6;454,1;582,3;1012,5;2114,2;2837,6;4887,2;7533,2;10763,1;15306,9;22785,5;34433,5;50463,5;63006,7;77397,6;86623,9;102947,5;192068,9;244950,7;268165,8;;;;;;;;;;;;;;;;;
радиосвязи, радиовещания, телевидения и спутниковой связи;0,0;0,1;0,5;4,2;13,7;11,7;11,3;338,6;459,7;945,2;1288,1;2007,0;2936,5;3945,1;5210,4;6367,6;8390,7;10852,4;11954,4;12104,4;15740,1;16951,7;25458,8;32877,4;36537,4;35421,3;;;;;;;;;;;;;;;;;
проводного радиовещания;0,3;1,8;15,8;96,9;341,6;703,6;848,7;839,6;988,4;1205,2;1516,2;1835,9;2110,6;2494,6;2705,4;2862,9;2912,1;3088,7;3405,5;3447,0;3496,7;3423,3;3416,1;3394,5;3537,7;3527,7;;;;;;;;;;;;;;;;;
подвижной связи;;;;;;;37,7;5376,4;6682,7;11792,3;18213,9;48648,0;97353,6;168097,0;223992,6;308879,7;396718,8;470145,5;485554,2;528784,3;558164,8;597111,3;635377,1;551520,6;486481,8;465593,0;;;;;;;;;;;;;;;;;
обеспечения регулирования использования радиочастотного спектра и радиоэлектронных средств;;;;;0,8;3,4;5,6;5,5;7,7;9,3;14,0;18,4;24,8;26,1;24,4;22,6;21,3;21,9;22,0;17,1;12,4;2,9;1,4;0,8;0,8;1,3;;;;;;;;;;;;;;;;;
Число почтовых ящиков на 10000 человек населения:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;9,5;8,8;8,2;7,6;7,0;6,6;6,3;6,2;6,1;6,0;6,0;6,0;5,8;5,7;5,7;5,4;5,4;5,2;5,1;5,0;4,9;4,7;4,6;4,5;4,2;4,2;;;;;;;;;;;;;;;;;
в сельской местности;46,3;44,3;41,5;38,9;36,3;33,9;32,1;30,5;29,6;29,1;29,8;29,5;28,2;27,8;27,6;26,8;26,2;25,7;25,2;25,0;24,7;24,5;24,0;23,0;22,2;21,8;;;;;;;;;;;;;;;;;
Общая монтированная емкость телефонных станций - всего, тыс номеров;22034,1;22677,4;23603,0;24579,7;25668,1;26977,2;28268,2;32077,2;35467,2;36150,5;37880,0;39969,2;42280,4;45192,7;47620,4;49247,4;51335,5;53175,2;54678,5;56222,2;58478,4;59587,0;63328,4;63818,4;62911,6;65632,8;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;18351,6;18855,8;19675,5;20599,2;21579,4;22809,0;24027,4;27740,5;31012,6;31635,1;33303,0;35288,6;37419,7;40024,0;42194,5;43730,1;45726,2;47470,1;48959,3;50495,8;52723,6;53891,8;57110,0;57621,5;56734,2;59449,5;;;;;;;;;;;;;;;;;
в сельской местности;3682,5;3821,6;3927,5;3980,5;4088,7;4168,2;4240,8;4336,7;4454,6;4515,4;4577,0;4680,7;4860,7;5168,6;5425,9;5517,3;5609,3;5705,2;5719,2;5726,4;5754,8;5695,2;6218,4;6196,8;6177,3;6183,3;;;;;;;;;;;;;;;;;
Число телефонных аппаратов (включая таксофоны) телефонной сети общего пользования - всего, тыс. шт.;24352,6;24795,9;25451,1;25967,9;26827,9;27559,9;28644,5;30183,5;31870,9;33032,8;34745,1;36496,5;38404,6;40771,6;42882,1;44154,1;45218,2;45539,3;45379,6;44915,8;44151,5;43154,6;41482,5;39129,5;36382,7;34255,2;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;20859,1;21303,9;21910,6;22460,5;23319,6;24044,5;25071,8;26526,9;28087,4;29069,9;30623,6;32219,5;33910,8;35913,0;37753,6;38866,9;39824,0;40100,7;39998,8;39602,1;38935,8;38055,2;36580,7;34494,6;32029,7;30110,1;;;;;;;;;;;;;;;;;
в сельской местности;3493,5;3492,0;3540,5;3507,4;3508,3;3515,3;3572,7;3656,6;3783,5;3963,0;4121,5;4277,0;4493,7;4858,7;5128,5;5287,3;5394,3;5438,5;5380,8;5313,7;5215,6;5099,5;4901,8;4634,9;4352,9;4145,2;;;;;;;;;;;;;;;;;
Удельный вес телефонных аппаратов, имеющих выход на автоматическую междугородную телефонную станцию,  в общем числе телефонных аппаратов, процентов:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;82,2;83,9;85,1;86,5;88,6;90,5;91,7;88,2;88,8;91,7;92,7;93,7;94,1;94,5;95,2;96,1;96,2;96,7;97,5;97,5;97,4;97,7;97,8;97,5;97,2;97,0;;;;;;;;;;;;;;;;;
в сельской местности;23,2;26,8;29,2;33,2;38,4;44,8;53,5;61,7;70,3;79,0;85,2;89,3;92,2;95,5;96,7;97,8;98,2;98,6;98,8;99,1;99,3;99,2;99,2;99,3;99,2;99,1;;;;;;;;;;;;;;;;;
Из общего числа телефонных аппаратов телефонной сети общего пользования – число таксофонов всех типов - всего, тыс.;258,0;229,6;215,1;209,4;212,8;215,7;214,7;214,3;207,4;209,0;202,3;194,7;184,6;166,6;150,8;112,6;151,3;209,0;194,5;190,0;182,8;175,3;170,7;169,6;164,2;164,9;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;248,0;221,0;207,9;202,8;206,2;209,0;207,8;206,8;199,4;200,7;193,8;185,7;174,7;156,5;139,9;95,3;77,8;69,1;55,3;51,2;44,4;38,9;32,6;28,2;25,0;26,2;;;;;;;;;;;;;;;;;
в сельской местности;10,0;8,6;7,2;6,7;6,6;6,7;6,9;7,5;8,0;8,3;8,4;9,0;9,9;10,2;10,9;17,3;73,5;139,9;139,2;138,7;138,4;136,3;138,1;141,3;139,2;138,7;;;;;;;;;;;;;;;;;
Из общего числа телефонных аппаратов телефонной сети общего пользования – число квартирных телефонных аппаратов - всего,  тыс. шт.;15448,8;16222,8;16955,6;17691,7;18707,4;19707,0;21022,0;22357,4;23814,9;25022,8;26144,9;27560,9;29122,5;30915,7;32454,3;33163,8;33833,8;33935,6;33713,5;33209,2;32359,9;31236,8;29342,6;27134,8;24962,1;23122,7;;;;;;;;;;;;;;;;;
